股票代號,股票名稱,法人持股,上榜區塊
00400A,主動國泰動能高息,1.6,60日
00401A,主動摩根台灣鑫收,5.75,"5日,60日"
00405A,主動富邦台灣龍耀,0.97,5日
0050,元大台灣50,7.608445330296128,"60日,120日"
0057,富邦摩台,6.95,"20日,120日"
00634R,富邦上証反1,8.17,"60日,120日"
00636,國泰中國A50,0.9625553012967201,5日
00637L,元大滬深300正2,0.9,5日
00640L,富邦日本正2,2.2,20日
00643,群益深証中小,16.47,"5日,20日,120日"
00647L,元大S&P500正2,5.794389027431421,60日
00650L,復華香港正2,2.04,"5日,20日"
00653L,富邦印度正2,3.77,"60日,5日,20日,120日"
00657,國泰日經225,12.85,"60日,5日,20日,120日"
00661,元大日經225,8.268537886872998,"60日,5日,20日,120日"
00665L,富邦恒生國企正2,1.89,"5日,20日"
00674R,期元大S&P黃金反1,7.49,"5日,60日,120日"
00675L,富邦臺灣加權正2,2.23,"5日,20日"
00678,群益那斯達克生技,4.46,60日
00681R,元大美債20反1,18.46,"5日,60日,120日"
00683L,期元大美元指正2,20.32,"60日,20日,120日"
00689R,國泰20年美債反1,44.94,"60日,5日,20日,120日"
00693U,期街口S&P黃豆,3.56,"60日,5日,20日"
00700,富邦恒生國企,5.24,"60日,5日,20日"
00714,群益道瓊美國地產,5.16,"60日,120日"
00731,復華富時高息低波,6.43524886877828,60日
00736,國泰新興市場,24.23,"60日,20日,120日"
00739,元大MSCI A股,2.25,20日
00752,中信中國50,2.142694879673011,5日
00753L,中信中國50正2,3.07,"5日,20日"
00762,元大全球AI,2.2294412203614655,5日
00763U,期街口道瓊銅,3.98,"5日,120日"
00770,國泰北美科技,1.22,5日
00783,富邦中証500,6.1,"20日,120日"
00830,國泰費城半導體,5.605760413386206,"5日,120日"
00865B,國泰US短期公債,3.0,20日
00875,國泰網路資安,6.4,"60日,120日"
00876,元大全球5G,2.11,"5日,60日"
00893,國泰智能電動車,0.9449625704894966,5日
00894,中信小資高價30,1.19,5日
00896,中信綠能及電動車,1.01,20日
00897,富邦基因免疫生技,3.97,"5日,60日,120日"
00898,國泰基因免疫革命,3.0,5日
00909,國泰數位支付服務,2.04,5日
00910,第一金太空衛星,6.57,"60日,120日"
00913,兆豐台灣晶圓製造,1.62,5日
00916,國泰全球品牌50,2.59,"5日,20日"
00917,中信特選金融,3.35,"60日,120日"
00918,大華優利高填息30,1.7,20日
00922,國泰台灣領袖50,20.494816295811578,"60日,120日"
00924,復華S&P500成長,1.27,"5日,20日"
00926,凱基全球菁英55,3.15,"60日,20日"
00935,野村臺灣新科技50,5.761370659770265,"5日,120日"
00938,凱基優選30,2.54,"5日,20日"
00941,中信上游半導體,0.92,5日
00943,兆豐電子高息等權,24.71,"60日,120日"
00944,野村趨勢動能高息,2.6,60日
00947,台新臺灣IC設計,4.797470057709596,120日
00951,台新日本半導體,2.42,5日
00954,中信日本半導體,2.69,5日
00963,中信全球高股息,3.39,20日
00971,野村美國研發龍頭,1.96,5日
00972,野村日本動能高息,18.46,5日
00983A,主動中信ARK創新,2.67,5日
00985A,主動野村台灣50,1.21,5日
00986A,主動台新龍頭成長,3.27,5日
00987A,主動台新優勢成長,2.08,60日
00988A,主動統一全球創新,5.3250196987878216,"5日,60日,120日"
00989A,主動摩根美國科技,4.8,5日
00990A,主動元大AI新經濟,2.77,5日
00991A,主動復華未來50,1.8931905424524635,5日
00993A,主動安聯台灣,1.33,5日
00994A,主動第一金台股優,4.51,"60日,120日"
00996A,主動兆豐台灣豐收,5.61,60日
00997A,主動群益美國增長,7.267259313999701,"5日,60日"
1232,大統益,2.7725035281312698,5日
1301,台塑,32.25744439987746,"5日,20日,120日"
1303,南亞,36.947326407540245,"60日,20日,120日"
1313,聯成,6.881277382855206,20日
1314,中石化,10.23873796749252,20日
1326,台化,37.933308956879564,120日
1342,八貫,33.44794677579498,"60日,20日,120日"
1402,遠東新,15.094272916948379,20日
1434,福懋,8.267284798202837,"5日,20日"
1476,儒鴻,30.776881899376054,"5日,20日"
1477,聚陽,12.562403777999805,20日
1513,中興電,16.540711819999153,"5日,20日"
1515,力山,4.43,20日
1516,川飛,5.8,120日
1536,和大,5.1526750635315315,5日
1560,中砂,41.36139496267415,"60日,20日,120日"
1563,巧新,3.38,60日
1568,倉佑,4.13,"60日,5日,20日,120日"
1590,亞德客-KY,82.42544601565446,"60日,20日,120日"
1597,直得,6.835556301326825,"5日,120日"
1609,大亞,12.896809949776454,20日
1623,大東電,2.63,"60日,20日"
1707,葡萄王,15.826332376975525,5日
1709,和益,6.75,"60日,5日,20日,120日"
1710,東聯,5.919460109557782,"60日,20日"
1711,永光,5.36,5日
1717,長興,11.942487564330415,20日
1718,中纖,7.76,"60日,5日,20日"
1723,中碳,8.659755817196872,"5日,120日"
1727,中華化,5.268437738720846,20日
1730,花仙子,7.17,5日
1733,五鼎,3.5450024916410365,5日
1734,杏輝,6.31,20日
1760,寶齡富錦,11.792332660395799,20日
1762,中化生,3.37,20日
1806,冠軍,8.424095136147088,60日
1810,和成,5.753388902039938,"60日,20日"
1909,榮成,7.946263111179773,20日
2006,東和鋼鐵,19.646331845366422,"5日,20日,120日"
2014,中鴻,6.196065704858016,60日
2027,大成鋼,23.470156905904787,"5日,60日,120日"
2030,彰源,5.3,"60日,20日,120日"
2031,新光鋼,8.624703448886562,5日
2032,新鋼,3.74,"60日,120日"
2049,上銀,36.72638251195108,"60日,120日"
2101,南港,6.859715233600609,"60日,20日"
2103,台橡,24.642355196754085,"60日,20日,120日"
2105,正新,7.254446091702819,"5日,20日"
2206,三陽工業,7.066489135154376,20日
2233,宇隆,8.23851129300184,"5日,60日"
2236,百達-KY,52.85,20日
2243,宏旭-KY,30.173876178481507,"60日,120日"
2301,光寶科,34.89588215076502,"60日,120日"
2302,麗正,1.9330065624659862,5日
2303,聯電,33.3371434252111,5日
2305,全友,5.916467810177579,"60日,120日"
2312,金寶,7.541673791419091,5日
2313,華通,23.656118199800623,5日
2316,楠梓電,35.97502708167607,"60日,120日"
2317,鴻海,39.86946018615322,60日
2323,中環,11.750163110288447,20日
2324,仁寶,24.303136027100074,5日
2327,國巨*,56.38702890674861,120日
2328,廣宇,8.489481328815627,5日
2337,旺宏,28.688255852916456,60日
2338,光罩,5.811081643406577,60日
2344,華邦電,29.789589032488735,"60日,120日"
2347,聯強,28.514121990286206,"5日,120日"
2349,錸德,14.22,"60日,120日"
2351,順德,21.30465213677181,"60日,5日,20日,120日"
2352,佳世達,11.287524311834451,20日
2353,宏碁,11.521240554519139,"5日,20日"
2355,敬鵬,15.023942846435816,"5日,120日"
2356,英業達,18.011394723789838,"60日,120日"
2357,華碩,40.963942177414225,5日
2359,所羅門,6.031337957849585,"60日,5日,20日,120日"
2360,致茂,62.679792086430815,5日
2363,矽統,7.937598237369966,120日
2365,昆盈,2.87,60日
2367,燿華,12.203801015124641,"60日,5日,20日"
2368,金像電,33.74072040816073,120日
2369,菱生,18.338254154412684,"60日,120日"
2376,技嘉,25.941551422007024,"60日,120日"
2377,微星,15.224474293299231,"60日,5日,20日,120日"
2379,瑞昱,49.48276119737285,60日
2382,廣達,26.821146684260384,120日
2385,群光,16.273809517466297,5日
2388,威盛,15.602800356135337,"20日,120日"
2395,研華,36.22870523171854,"60日,120日"
2401,凌陽,18.477666126776334,"60日,20日,120日"
2404,漢唐,32.30495049974579,"60日,5日,20日"
2406,國碩,15.161709861135936,"60日,120日"
2408,南亞科,18.481119742976144,"5日,60日"
2409,友達,11.254568167981883,20日
2426,鼎元,7.855072445801516,20日
2428,興勤,19.96890481215738,"60日,20日,120日"
2434,統懋,3.41,"60日,5日,20日"
2436,偉詮電,13.133767972095999,"20日,120日"
2444,兆勁,3.07,60日
2449,京元電子,31.23900947181496,20日
2455,全新,44.722977346241564,"5日,60日,120日"
2458,義隆,26.806913429281085,"60日,20日,120日"
2461,光群雷,8.62,"60日,120日"
2464,盟立,6.7262621882089215,120日
2465,麗臺,5.15,"5日,60日,120日"
