股票代號,股票名稱,法人持股,上榜區塊,累積衰退
00400A,主動國泰動能高息,-50.35427984307864,30日衰退,-7.198658630430771
00401A,主動摩根台灣鑫收,-2.2350418763967497,"20日衰退,5日衰退,10日衰退,30日衰退",-2.9667830809286517
00403A,主動統一升級50,-36.64920021999802,30日衰退,-2.429846754044206
00405A,主動富邦台灣龍耀,-55.72754080618166,30日衰退,-9.825887528012103
00406A,主動中信台灣收益,-56.15032820144521,"30日衰退,20日衰退",-24.338290725358913
00407A,主動凱基台灣,-61.77745187336172,30日衰退,-3.8813207351571535
0050,元大台灣50,-7.265602219790527,"30日衰退,20日衰退",-1.9230392837952248
0051,元大中型100,-5.243857142857143,30日衰退,-1.3382408163265307
0053,元大電子,-13.423866618075802,30日衰退,-2.6380174927113718
0056,元大高股息,-2.2582735377838707,"30日衰退,20日衰退",-0.7264740538043699
0057,富邦摩台,-8.92646365422397,"30日衰退,20日衰退",-5.908323510150622
00631L,元大台灣50正2,-52.35821904009625,30日衰退,-5.743853626782084
00632R,元大台灣50反1,-19.871771604938026,"20日衰退,5日衰退,10日衰退,30日衰退",-10.182689299245952
00633L,富邦上証正2,54.619692182438634,5日衰退,-0.6311701224687809
00634R,富邦上証反1,15.852626834010959,30日衰退,-3.008425730742726
00637L,元大滬深300正2,72.8937492911988,5日衰退,-3.1126241217918533
00641R,富邦日本反1,-24.726362375078583,"20日衰退,5日衰退,10日衰退,30日衰退",-5.219081857978111
00643,群益深証中小,63.06061804339131,5日衰退,-0.9895665006965189
00646,元大S&P500,-19.705335300134408,"30日衰退,5日衰退,10日衰退",-1.2910831064613788
00648R,元大S&P500反1,9.28472387306571,"20日衰退,5日衰退,10日衰退,30日衰退",-0.5645676283268113
00650L,復華香港正2,42.0516013668768,5日衰退,-1.70106306093993
00651R,復華香港反1,46.60245154075547,30日衰退,-2.850611953280314
00655L,國泰中國A50正2,57.438610373028745,"5日衰退,10日衰退",-2.1241343731667754
00660,元大歐洲50,8.38242862833621,10日衰退,-0.7072009029345381
00661,元大日經225,-4.655581643543225,"20日衰退,5日衰退,10日衰退",-0.48778655282817596
00662,富邦NASDAQ,-30.372664645106592,"20日衰退,5日衰退,10日衰退,30日衰退",-1.2003101191057617
00664R,國泰臺灣加權反1,-1.9994831250201854,"20日衰退,5日衰退,10日衰退",-7.559513128831293
00665L,富邦恒生國企正2,9.112612693017741,"5日衰退,10日衰退",-2.362164951576837
00666R,富邦恒生國企反1,5.367419310722101,"20日衰退,10日衰退,30日衰退",-6.725845185995623
00668,國泰美國道瓊,-11.62205666176667,"5日衰退,10日衰退",-23.96392526874758
00670L,富邦NASDAQ正2,-17.63555058655778,"30日衰退,20日衰退",-1.2811504247127488
00671R,富邦NASDAQ反1,26.512038180224565,5日衰退,-0.5271981397246606
00673R,期元大S&P原油反1,-42.03822609087877,"20日衰退,5日衰退,10日衰退,30日衰退",-5.054547477868212
00674R,期元大S&P黃金反1,121.35381959317195,5日衰退,-1.553601732643358
00676R,富邦臺灣加權反1,-31.38136614854444,"20日衰退,5日衰退,10日衰退,30日衰退",-8.69304665374915
00678,群益那斯達克生技,-11.637102272727272,"20日衰退,5日衰退,10日衰退,30日衰退",-1.1713494318181805
00685L,群益臺灣加權正2,-55.146207719041705,20日衰退,-3.5676405335638677
00686R,群益臺灣加權反1,-38.887218962349955,"20日衰退,5日衰退,10日衰退,30日衰退",-6.448180178122968
00690,兆豐藍籌30,-12.278189127565103,30日衰退,-3.223810802685728
00693U,期街口S&P黃豆,-4.120875097099081,"5日衰退,10日衰退",-0.7292844843220267
00700,富邦恒生國企,31.42566665640489,"5日衰退,10日衰退",-4.750072988565524
00701,國泰股利精選30,29.54288741776267,"5日衰退,10日衰退",-0.7004695670546077
00708L,期元大S&P黃金正2,-64.35908570033492,"30日衰退,10日衰退",-0.7319967395046447
00713,元大台灣高息低波,55.829076215902546,5日衰退,-0.3386227414607248
00714,群益道瓊美國地產,10.515988779153336,10日衰退,-1.4153436364729988
00717,富邦美國特別股,-0.6477496760168888,30日衰退,-1.6996275639360072
00733,富邦臺灣中小,91.20880640332388,"30日衰退,20日衰退",-0.904076925426935
00735,國泰臺韓科技,-59.918305236402226,"30日衰退,10日衰退",-1.9146684575194755
00736,國泰新興市場,38.04603537981269,30日衰退,-2.5480982318783276
