證券代號,證券名稱,交易別,成交價,成交股數,成交金額
00878,國泰永續高股息,配對交易,30.40,"700,000","21,280,000"
2317,鴻海,配對交易,251.86,"97,000","24,430,420"
2317,鴻海,配對交易,251.70,"334,000","84,067,800"
2317,鴻海,配對交易,251.15,"180,000","45,207,000"
2317,鴻海,配對交易,251.00,"104,000","26,104,000"
2327,國巨*,配對交易,540.39,"123,000","66,467,970"
2330,台積電,配對交易,"2,459.07","13,000","31,967,910"
2330,台積電,配對交易,"2,411.07","20,001","48,223,811"
2330,台積電,配對交易,"2,411.05","25,999","62,684,889"
2330,台積電,配對交易,"2,410.91","45,005","108,503,005"
2330,台積電,配對交易,"2,410.90","13,995","33,740,546"
2330,台積電,配對交易,"2,403.55","158,000","379,760,900"
2330,台積電,配對交易,"2,397.50","26,000","62,335,000"
2330,台積電,配對交易,"2,396.65","46,000","110,245,900"
2330,台積電,配對交易,"2,396.64","22,000","52,726,080"
2330,台積電,配對交易,"2,393.76","104,000","248,951,040"
2330,台積電,配對交易,"2,390.00","7,000","16,730,000"
2330,台積電,配對交易,"2,387.95","135,000","322,373,250"
2330,台積電,配對交易,"2,385.00","1,026,000","2,447,010,000"
2330,台積電,配對交易,"2,339.78","10,000","23,397,800"
2368,金像電,配對交易,"1,172.98","22,000","25,805,560"
2454,聯發科,配對交易,"4,278.45","4,000","17,113,800"
2618,長榮航,配對交易,42.15,"500,000","21,075,000"
2618,長榮航,配對交易,41.93,"529,620","22,206,967"
2618,長榮航,配對交易,41.92,"828,380","34,725,690"
2881,富邦金,配對交易,144.75,"237,000","34,305,750"
2882,國泰金,配對交易,122.00,"760,000","92,720,000"
2885,元大金,配對交易,66.70,"2,426,000","161,814,200"
2885,元大金,配對交易,66.45,"634,000","42,129,300"
2885,元大金,配對交易,60.10,"300,000","18,030,000"
2887,台新新光金,配對交易,40.93,"667,000","27,300,310"
2887,台新新光金,配對交易,40.90,"2,580,000","105,522,000"
2887,台新新光金,配對交易,40.88,"725,000","29,638,000"
2887,台新新光金,配對交易,40.86,"504,000","20,593,440"
2887,台新新光金,配對交易,40.77,"1,264,620","51,558,557"
2887,台新新光金,配對交易,40.76,"484,380","19,743,329"
2887,台新新光金,配對交易,40.26,"677,000","27,256,020"
2887,台新新光金,配對交易,40.24,"690,000","27,765,600"
2890,永豐金,配對交易,41.89,"400,000","16,756,000"
2890,永豐金,配對交易,41.88,"400,000","16,752,000"
2890,永豐金,配對交易,37.35,"1,300,000","48,555,000"
2891,中信金,配對交易,66.09,"1,600,000","105,744,000"
2891,中信金,配對交易,66.08,"3,400,000","224,672,000"
2891,中信金,配對交易,65.45,"1,655,000","108,319,750"
3017,奇鋐,配對交易,"3,367.22","77,000","259,275,940"
3017,奇鋐,配對交易,"3,367.21","23,000","77,445,830"
3017,奇鋐,配對交易,"3,338.21","7,000","23,367,470"
3034,聯詠,配對交易,548.65,"128,000","70,227,200"
3036,文曄,配對交易,195.00,"129,000","25,155,000"
3036,文曄,配對交易,187.00,"2,497,589","467,049,143"
總計,,,,"28,639,589","6,438,830,175"
