排名,代號,名稱,成交,漲跌 價,漲跌 幅,法人 買賣 日期,當日 買賣超 佔 成交,2日 買賣超 佔 成交,3日 買賣超 佔 成交,5日 買賣超 佔 成交,10日 買賣超 佔 成交,1個月 買賣超 佔 成交,3個月 買賣超 佔 成交,半年 買賣超 佔 成交,1年 買賣超 佔 成交,3年 買賣超 佔 成交,10年 買賣超 佔 成交,今年 買賣超 佔 成交
1,00634R,富邦上証反1,3.14,0.04,1.29,09/02,-99.0,-90.9,-91.1,-78.3,-43.9,-9.44,-0.91,0.4,-0.05,0.33,0.21,-0.27
2,6212,理銘,30.95,0.0,0.0,09/02,,0.0,-89.4,16.3,0.0,-3.28,-3.0,-0.87,-1.19,-42.5,-41.8,-0.98
3,5310,天剛,24.25,-0.05,-0.21,09/02,-100.0,-78.2,-78.0,-30.0,-3.39,-1.61,-0.44,0.17,-0.24,-0.05,0.0,-0.08
4,8905,裕國,34.0,-0.6,-1.73,09/02,-88.2,-72.9,-69.8,-27.1,-15.1,-9.6,-7.8,-2.33,-0.82,-0.31,-0.01,-0.78
5,5906,台南-KY,38.0,0.0,0.0,09/02,-97.4,-97.2,-66.0,0.0,11.6,17.9,5.49,3.84,1.58,-0.45,0.08,4.07
6,5287,數字,135.5,-1.0,-0.73,09/02,-63.0,-63.9,-65.0,-52.1,-47.2,-34.6,-17.6,-20.2,-14.4,-14.4,-2.34,-19.0
7,1726,永記,77.0,0.0,0.0,09/02,-69.4,-55.7,-62.3,-38.2,-24.1,-25.5,-15.1,-13.5,-6.8,-3.78,0.26,-10.4
8,5531,鄉林,7.22,-0.05,-0.69,09/02,-67.7,-56.0,-59.0,-60.0,-38.9,-30.4,-10.6,-9.13,-7.22,-1.59,-0.58,-8.27
9,1227,佳格,28.6,0.15,0.53,09/02,-0.48,-57.8,-58.8,-57.6,-32.4,-24.3,10.5,6.69,3.48,1.18,-5.68,5.11
10,1516,川飛,14.55,0.75,5.43,09/02,23.0,-59.8,-57.4,-51.4,-45.6,-9.88,-1.33,-3.23,9.13,1.39,0.41,12.0
11,00870B,元大15年EM主權債,27.25,0.02,0.07,09/02,98.2,29.8,-56.5,-53.0,24.9,18.9,11.7,97.1,95.1,76.0,,96.6
12,4129,聯合,81.5,-0.3,-0.37,09/02,-37.2,-48.7,-55.7,-29.6,-8.97,-8.06,-9.42,-16.1,-8.01,-1.38,0.13,-13.1
13,7730,暉盛-創,171.0,-2.0,-1.16,09/02,-58.9,-39.3,-54.1,-27.3,8.57,5.18,-0.49,2.57,,,,1.35
14,4163,鐿鈦,137.5,-0.5,-0.36,09/02,-38.9,-56.0,-51.8,-14.5,-10.4,4.77,-1.16,-1.23,-1.52,-1.89,-1.52,-1.23
15,2538,基泰,8.81,-0.02,-0.23,09/02,-51.2,-49.3,-51.6,-41.6,-18.4,-26.8,-12.4,-5.2,-5.03,-1.63,-1.45,-5.48
16,1201,味全,12.25,0.05,0.41,09/02,-63.7,-47.0,-50.1,-35.4,-12.2,-16.0,-3.36,-5.94,-5.26,-7.57,-1.78,-5.09
17,1760,寶齡富錦,57.2,-0.8,-1.38,09/02,-62.0,-50.9,-50.1,-33.3,-22.4,-14.1,-0.18,-2.72,-1.46,0.64,,-1.58
18,4174,浩鼎,25.0,-0.05,-0.2,09/02,-35.9,-54.6,-48.8,-43.0,-18.8,-7.12,-3.17,-2.76,2.0,-1.35,-0.95,-2.76
19,6464,台數科,76.8,-0.5,-0.65,09/02,-25.0,-33.1,-48.0,-4.9,-2.43,-4.55,1.5,2.1,0.71,1.16,-0.61,2.66
20,00867B,台新A-BBB電信債,29.23,0.0,0.0,09/02,-100.0,-47.9,-47.9,87.9,-23.8,-14.7,-7.99,-2.46,65.4,75.5,,-1.84
21,2762,世界健身-KY,82.1,-0.2,-0.24,09/02,-49.8,-42.8,-47.6,-31.2,-11.5,-15.6,-3.65,-0.73,20.1,,,-1.29
22,9917,中保科,106.0,0.0,0.0,09/02,-34.7,-44.4,-46.6,-25.2,5.01,-0.97,-4.57,2.27,-2.26,0.01,-0.18,-3.13
23,2707,晶華,179.0,0.0,0.0,09/02,-9.24,-19.8,-46.0,-47.6,3.06,-11.7,17.3,0.4,-1.31,-1.13,-0.45,-2.19
24,6958,日盛台駿,17.1,-0.15,-0.87,09/02,-49.3,-25.5,-45.9,-35.9,4.21,-7.27,10.6,4.89,4.31,,,6.19
25,1737,臺鹽,30.65,-0.05,-0.16,09/02,-54.8,-52.4,-45.3,-44.1,-31.6,-26.9,-10.7,-5.2,-3.85,1.27,-2.79,-4.04
26,1598,岱宇,20.15,-0.1,-0.49,09/02,-51.2,-52.2,-45.2,-20.0,16.1,5.11,7.45,3.17,-0.59,-2.46,,0.34
27,2008,高興昌,30.55,-0.65,-2.08,09/02,-26.3,-30.4,-45.0,-10.8,2.37,3.08,13.9,4.46,3.98,0.82,0.11,5.53
28,5519,隆大,27.45,-0.25,-0.9,09/02,-64.6,-39.8,-44.7,-15.4,-3.09,-1.81,-5.13,-5.6,0.71,0.15,0.15,-3.6
29,2548,華固,93.4,0.2,0.21,09/02,4.8,-17.5,-44.0,-48.1,-16.1,-35.4,-9.05,-3.93,-1.24,-1.43,-1.08,-3.37
30,5306,桂盟,93.2,-0.7,-0.75,09/02,-63.2,-46.6,-43.7,-33.4,-17.3,3.12,3.87,3.53,-1.06,-4.57,-0.77,3.18
31,1531,高林股,11.75,-0.2,-1.67,09/02,-71.4,-56.1,-42.2,-19.2,-12.6,-9.54,-3.93,-0.14,-0.76,-0.61,-2.43,0.16
