"代號","名稱","成交","漲跌價","漲跌幅","法人買賣週別","更新日期","外資連續買賣週數","外資連續買賣張數","外資連續買賣佔成交(%)","外資連續買賣佔發行量(%)","投信連續買賣週數","投信連續買賣張數","投信連續買賣佔成交(%)","投信連續買賣佔發行量(%)","自營商連續買賣週數","自營商連續買賣張數","自營商連續買賣佔成交(%)","自營商連續買賣佔發行量(%)","三大法人連續買賣週數","三大法人連續買賣張數","三大法人連續買賣佔成交(%)","三大法人連續買賣佔發行量(%)"
"00931B","統一美債20年","12.96","+0.02","+0.15","26W36","09/02","+33","+339,089","47.9","15.1","0","0","0","0","-1","-131","-2.01","-0.01","+3","+3,836","12.1","0.17"
"00900","富邦特選高股息30","19.61","+0.07","+0.36","26W36","09/02","+22","+264,807","25.4","17","0","0","0","0","+22","+376,984","36.1","24.2","+22","+660,291","63.3","42.5"
"6657","華安","30.75","+0.15","+0.49","26W36","09/02","+17","+2,041","13.8","2.3","0","0","0","0","+2","+2","0.33","0","+17","+2,040","13.8","2.3"
"00898","國泰基因免疫革命","10.86","+0.1","+0.93","26W36","09/02","+15","+35,510","42.7","30.4","0","0","0","0","-1","-477","-19.6","-0.41","-1","-147","-6.05","-0.13"
"4438","廣越","58.3","-0.2","-0.34","26W36","09/02","+15","+696","12","0.61","0","0","0","0","-1","-5","-0.7","0","+15","+768","13.2","0.68"
"1565","精華","100.5","+0.9","+0.9","26W36","09/02","+14","+961","10.1","1.91","0","0","0","0","+1","+63","16","0.13","+14","+1,034","10.8","2.05"
"00916","國泰全球品牌50","26.77","-0.06","-0.22","26W36","09/02","+13","+12,617","7.22","11.9","0","0","0","0","+11","+30,073","40.5","28.4","+11","+41,543","56","39.2"
"3714","富采","62","-0.5","-0.8","26W36","09/02","+13","+29,566","4.92","4.01","0","0","0","0","+3","+370","0.32","0.05","+13","+28,947","4.81","3.92"
"2606","裕民","75.1","+0.1","+0.13","26W36","09/02","+12","+82,542","21.9","9.77","+1","+349","1.65","0.04","+1","+47","0.22","0.01","+3","+28,179","16.2","3.33"
"2603","長榮","234.5","-3.5","-1.47","26W36","09/02","+11","+207,506","27.2","9.58","-2","-5,940","-4.31","-0.27","-2","-1,886","-1.37","-0.09","+11","+190,913","25","8.82"
