排名,代號,名稱,成交,漲跌 價,漲跌 幅,更新 日期,當日 增減 (萬元),2日 增減 (萬元),3日 增減 (萬元),5日 增減 (萬元),10日 增減 (萬元),1個月 增減 (萬元),3個月 增減 (萬元),半年 增減 (萬元),1年 增減 (萬元),今年 增減 (萬元)
1,2344,華邦電,169.0,-10.0,-5.59,09/02,145565.0,-300419.0,96997.0,808982,1080166.0,-159502.0,-549609.0,563350.0,421003.0,885634.0
2,8299,群聯,2000.0,-65.0,-3.15,09/02,21738.0,75444.0,244545.0,589365,1133294.0,1904359.0,1756824.0,3338184.0,3848494.0,3895727.0
3,6669,緯穎,2475.0,-135.0,-5.17,09/02,154130.0,301113.0,421631.0,528965,595114.0,467592.0,-84103.0,1367196.0,3244502.0,2229214.0
4,6488,環球晶,927.0,-40.0,-4.14,09/02,89214.0,156581.0,360974.0,527828,921710.0,1099963.0,617767.0,-273993.0,-504012.0,207741.0
5,2327,國巨*,511.0,-29.0,-5.37,09/02,2007.0,201461.0,221469.0,337906,335145.0,869792.0,857462.0,1073652.0,667903.0,677416.0
6,3231,緯創,188.5,3.0,1.62,09/02,52254.0,79291.0,37369.0,279246,510846.0,488085.0,1755130.0,737747.0,2481901.0,1806242.0
7,8996,高力,1185.0,-80.0,-6.32,09/02,69966.0,99505.0,132714.0,259615,437315.0,584529.0,608489.0,517291.0,296103.0,570393.0
8,2454,聯發科,4340.0,65.0,1.52,09/02,37073.0,186727.0,191474.0,258092,518633.0,1010804.0,1190207.0,1056194.0,651624.0,454884.0
9,2449,京元電子,261.0,-9.5,-3.51,09/02,124132.0,174454.0,186091.0,255443,381067.0,829513.0,185291.0,1227225.0,1157327.0,1277881.0
10,2368,金像電,1100.0,-75.0,-6.38,09/02,61133.0,81701.0,91041.0,245843,278389.0,392514.0,228263.0,-547832.0,-524909.0,-599740.0
11,8046,南電,1080.0,-120.0,-10.0,09/02,101248.0,111048.0,188453.0,240257,298501.0,629901.0,390492.0,354279.0,74963.0,393091.0
12,3036,文曄,190.5,3.5,1.87,09/02,48120.0,102289.0,111029.0,149376,356845.0,446881.0,502329.0,1190125.0,1502200.0,1301121.0
13,6446,藥華藥,1350.0,45.0,3.45,09/02,15492.0,17198.0,14392.0,145482,161382.0,17840.0,203943.0,100900.0,-451625.0,-363751.0
14,3026,禾伸堂,638.0,-48.0,-7.0,09/02,20190.0,42984.0,58971.0,131948,221042.0,327424.0,493979.0,457373.0,466737.0,455668.0
15,6139,亞翔,712.0,-9.0,-1.25,09/02,22549.0,86485.0,83859.0,129723,176547.0,278272.0,616779.0,581104.0,501517.0,601235.0
16,2881,富邦金,147.0,3.5,2.44,09/02,6535.0,21007.0,73525.0,129172,96629.0,124593.0,-403833.0,-1461216.0,-2019981.0,-1595632.0
17,3443,創意,5800.0,-95.0,-1.61,09/02,32944.0,28784.0,101572.0,127416,316558.0,59081.0,276617.0,265737.0,12191.0,340265.0
18,8039,台虹,293.0,-20.5,-6.54,09/02,30462.0,66300.0,84426.0,113937,181019.0,205693.0,259035.0,222715.0,172869.0,247245.0
19,3081,聯亞,3120.0,-275.0,-8.1,09/02,104387.0,151786.0,114659.0,111508,-196887.0,194741.0,540843.0,515062.0,341858.0,444693.0
20,3491,昇達科,1405.0,-40.0,-2.77,09/02,4733.0,16113.0,23139.0,99514,149454.0,172188.0,560598.0,510051.0,225979.0,475862.0
21,5483,中美晶,176.0,-3.0,-1.68,09/02,-21215.0,-19364.0,-3661.0,90284,224041.0,307967.0,642934.0,611982.0,667878.0,571477.0
22,3105,穩懋,446.5,-23.0,-4.9,09/02,46781.0,58052.0,64614.0,86301,42883.0,267392.0,370801.0,619145.0,508780.0,603086.0
23,2887,台新新光金,41.45,0.25,0.61,09/02,39472.0,3170.0,37193.0,81776,103055.0,75332.0,461207.0,773291.0,848613.0,605032.0
24,8069,元太,147.0,-7.5,-4.85,09/02,-4742.0,-1611.0,29131.0,81574,109394.0,521492.0,981522.0,931010.0,1159395.0,1051409.0
25,6257,矽格,209.0,-7.0,-3.24,09/02,12204.0,45022.0,58941.0,80231,93987.0,108375.0,-67314.0,-117946.0,-40226.0,-68248.0
26,2330,台積電,2390.0,5.0,0.21,09/02,2629.0,5744.0,86720.0,78906,549.0,-209172.0,148865.0,3213552.0,204371.0,3102399.0
27,8021,尖點,413.5,-45.5,-9.91,09/02,43126.0,48442.0,51273.0,72322,72802.0,162648.0,203047.0,49726.0,-28050.0,39582.0
28,2891,中信金,67.5,0.9,1.35,09/02,7106.0,14128.0,33639.0,72181,64839.0,114952.0,-422829.0,660282.0,299149.0,558564.0
29,2882,國泰金,112.5,3.5,3.21,09/02,23474.0,44280.0,49303.0,71684,63511.0,37923.0,-728206.0,-684757.0,-2796573.0,-1121171.0
30,2303,聯電,125.0,-1.0,-0.79,09/02,-3677.0,6732.0,32343.0,70094,160344.0,27733.0,-4685436.0,-6146590.0,-9349892.0,-7085517.0
31,4991,環宇-KY,484.5,-45.5,-8.58,09/02,35526.0,52670.0,53523.0,65059,134429.0,162712.0,125595.0,153182.0,104196.0,187684.0
32,5289,宜鼎,1345.0,-75.0,-5.28,09/02,26023.0,59008.0,62056.0,64736,57046.0,48613.0,-242326.0,187264.0,124267.0,134126.0
33,00918,大華優利高填息30,35.46,-0.02,-0.06,09/02,3334.0,24352.0,52820.0,61171,65763.0,52998.0,-25228.0,14641.0,2113.0,-74502.0
34,6182,合晶,104.5,-6.0,-5.43,09/02,11556.0,30679.0,31719.0,55899,118800.0,343124.0,378244.0,273597.0,367316.0,297416.0
35,00685L,群益臺灣加權正2,11.69,-0.2,-1.68,09/02,4516.0,40457.0,40457.0,47052,52976.0,62213.0,392577.0,425508.0,443907.0,432104.0
36,6451,訊芯-KY,450.0,-50.0,-10.0,09/02,39097.0,45893.0,51192.0,44476,51120.0,78386.0,56766.0,-4141.0,-12456.0,26378.0
37,5904,寶雅*,70.6,-2.8,-3.81,09/02,14938.0,17955.0,30924.0,44186,78892.0,,130746.0,99647.0,103767.0,116531.0
38,1519,華城,722.0,-19.0,-2.56,09/02,-4182.0,-4378.0,-1722.0,42449,115356.0,98424.0,238965.0,1265519.0,814616.0,906780.0
39,6510,精測,3350.0,-85.0,-2.47,09/02,22910.0,38009.0,39827.0,42349,34726.0,50689.0,40494.0,-142047.0,-215601.0,-221068.0
40,6290,良維,245.5,-11.0,-4.29,09/02,5173.0,5949.0,19931.0,40064,83741.0,37099.0,216740.0,254729.0,232747.0,206116.0
41,4749,新應材,759.0,-28.0,-3.56,09/02,4195.0,12404.0,13916.0,39830,56013.0,75143.0,362520.0,229528.0,469869.0,260940.0
42,5439,高技,261.0,-8.5,-3.15,09/02,1997.0,11312.0,21145.0,38982,37870.0,56943.0,61867.0,-43292.0,-17881.0,-88584.0
43,6442,光聖,1770.0,-25.0,-1.39,09/02,20786.0,28613.0,22910.0,37444,56450.0,262973.0,221131.0,308812.0,112215.0,171511.0
44,2404,漢唐,1035.0,10.0,0.98,09/02,0.0,32269.0,33034.0,37260,37363.0,-26369.0,-502438.0,-253073.0,-174480.0,-295605.0
45,6415,矽力*-KY,411.0,-15.0,-3.52,09/02,1306.0,5957.0,9254.0,35356,47366.0,59397.0,-250089.0,-498029.0,-338891.0,-179427.0
46,2308,台達電,1760.0,30.0,1.73,09/02,5402.0,96827.0,101828.0,35013,-161252.0,-424919.0,98276.0,965761.0,581383.0,1032926.0
47,3090,日電貿,162.5,-6.0,-3.56,09/02,738.0,2763.0,6540.0,34140,37679.0,181816.0,195994.0,127476.0,187937.0,136328.0
48,8033,雷虎,173.0,-8.0,-4.42,09/02,6652.0,15681.0,20148.0,33977,51938.0,63994.0,-26787.0,2905.0,27783.0,1169.0
49,2634,漢翔,64.4,-2.0,-3.01,09/02,7645.0,18856.0,23931.0,33247,3368.0,-31277.0,-68849.0,-32291.0,-61947.0,-81880.0
50,2618,長榮航,42.8,0.65,1.54,09/02,5255.0,13818.0,22493.0,33214,44265.0,32727.0,-946874.0,-247075.0,-257149.0,-615089.0
51,2645,長榮航太,171.5,-4.5,-2.56,09/02,9770.0,10830.0,14599.0,32692,58829.0,88410.0,32830.0,-10416.0,80287.0,57017.0
52,5425,台半,91.2,-1.3,-1.41,09/02,9614.0,15808.0,20391.0,32432,55181.0,84818.0,40435.0,77512.0,93009.0,71119.0
53,3715,定穎投控,118.0,-6.5,-5.22,09/02,4679.0,18768.0,22577.0,31753,24628.0,33293.0,55118.0,10442.0,147857.0,55570.0
54,2359,所羅門,140.5,-4.0,-2.77,09/02,11200.0,18126.0,22731.0,30924,24253.0,-7273.0,-23523.0,-41284.0,-14260.0,-55258.0
55,6472,保瑞,411.5,-11.0,-2.6,09/02,7055.0,10680.0,17999.0,29461,66783.0,27657.0,-32810.0,-144233.0,170408.0,28822.0
56,2376,技嘉,350.5,-11.0,-3.04,09/02,38320.0,41771.0,37447.0,29314,-48338.0,-300319.0,-10950.0,-311281.0,686894.0,401534.0
57,3189,景碩,775.0,-72.0,-8.5,09/02,-49757.0,-86271.0,-76668.0,27442,59522.0,109187.0,56041.0,-334030.0,-176372.0,-186548.0
58,2426,鼎元,95.0,-9.5,-9.09,09/02,26322.0,34541.0,35895.0,26831,1627.0,16725.0,124.0,63480.0,68519.0,94387.0
59,6197,佳必琪,299.0,-14.5,-4.63,09/02,11816.0,26737.0,23405.0,26575,13213.0,14841.0,73824.0,79957.0,148570.0,80102.0
60,3605,宏致,114.5,-12.5,-9.84,09/02,4433.0,17836.0,14593.0,25451,28480.0,23761.0,-14639.0,-19048.0,4333.0,-8493.0
61,1590,亞德客-KY,1375.0,-20.0,-1.43,09/02,834.0,7716.0,11331.0,25224,-1393.0,-46023.0,50936.0,29655.0,9689.0,-22260.0
62,2458,義隆,133.0,-4.0,-2.92,09/02,5793.0,8529.0,10197.0,24136,6139.0,127711.0,254696.0,108841.0,195757.0,99637.0
63,4931,新盛力,239.5,-10.5,-4.2,09/02,3458.0,3690.0,2830.0,23758,17126.0,-8380.0,29632.0,18962.0,19123.0,36624.0
64,00708L,期元大S&P黃金正2,82.05,4.2,5.39,09/02,603.0,1878.0,9351.0,23623,23581.0,28278.0,26212.0,34025.0,37588.0,49794.0
65,2484,希華,70.1,-4.4,-5.91,09/02,1842.0,9677.0,11577.0,23442,41485.0,19460.0,33541.0,44764.0,57514.0,58036.0
66,6515,穎崴,7000.0,-50.0,-0.71,09/02,-2162.0,15516.0,25634.0,22528,15108.0,-37163.0,96182.0,-219149.0,-503567.0,-418841.0
67,8086,宏捷科,112.0,-5.0,-4.27,09/02,9987.0,15982.0,15087.0,22511,36824.0,52630.0,29707.0,-33367.0,4934.0,184.0
68,00712,復華富時不動產,8.64,0.03,0.35,09/02,826.0,7492.0,17919.0,22414,39443.0,31967.0,20336.0,23035.0,21487.0,37895.0
69,2375,凱美,118.0,-7.0,-5.6,09/02,3358.0,6112.0,10800.0,21702,25217.0,40601.0,37618.0,25969.0,35344.0,-4169.0
70,6409,旭隼,972.0,-33.0,-3.28,09/02,7532.0,9459.0,9667.0,20577,24823.0,23899.0,155717.0,397781.0,405799.0,423336.0
71,2301,光寶科,299.0,-16.0,-5.08,09/02,-13717.0,-1733.0,1195.0,20330,-195600.0,-536163.0,-834584.0,-770919.0,-650733.0,-458520.0
72,3006,晶豪科,277.0,-4.5,-1.6,09/02,9281.0,12963.0,15896.0,18982,20146.0,4964.0,-28313.0,-16256.0,-107730.0,-62016.0
73,7750,新代,2200.0,-100.0,-4.35,09/03,-1344.0,5291.0,10101.0,18268,50505.0,58714.0,77067.0,,,
74,3037,欣興,923.0,-50.0,-5.14,09/02,-122820.0,-86291.0,-98803.0,18169,-109869.0,-291108.0,-522903.0,107080.0,-1383144.0,-94513.0
75,6187,萬潤,1300.0,-40.0,-2.99,09/02,5268.0,1018.0,-7178.0,17868,63289.0,71995.0,117069.0,44037.0,-193611.0,-102112.0
76,2316,楠梓電,153.0,-8.5,-5.26,09/02,6889.0,13731.0,16999.0,17636,-1846.0,8311.0,-4749.0,24240.0,6082.0,43765.0
77,5274,信驊,17850.0,125.0,0.71,09/02,7312.0,9095.0,15909.0,17476,518.0,-32823.0,-130544.0,-579062.0,-583549.0,-813628.0
78,6613,朋億*,257.0,-7.5,-2.84,09/02,4040.0,8230.0,11816.0,17049,20993.0,28616.0,28394.0,16035.0,14676.0,19403.0
79,00830,國泰費城半導體,79.4,-0.25,-0.31,09/02,-3380.0,-324.0,1305.0,16917,11403.0,-13051.0,-157440.0,-177305.0,-59081.0,-81825.0
80,1597,直得,144.5,-4.0,-2.69,09/02,2649.0,5725.0,3887.0,16468,16262.0,9663.0,7586.0,11633.0,4343.0,6901.0
81,3413,京鼎,280.0,-5.5,-1.93,09/02,4642.0,6992.0,5541.0,16322,41386.0,58320.0,-64383.0,-108705.0,61136.0,-19684.0
82,2345,智邦,2090.0,-50.0,-2.34,09/02,-31168.0,-18510.0,-11601.0,15790,-53583.0,-107378.0,-100475.0,-64797.0,-243748.0,-275654.0
83,5388,中磊,75.1,-1.7,-2.21,09/02,9153.0,11186.0,12587.0,15639,34343.0,96452.0,98739.0,68181.0,165808.0,134680.0
84,3653,健策,5615.0,-155.0,-2.69,09/02,-19986.0,-54947.0,13704.0,15493,-666596.0,-495327.0,-242217.0,-1065213.0,-197981.0,-1077421.0
85,4906,正文,35.5,-1.45,-3.92,09/02,1149.0,4676.0,6659.0,15219,14780.0,20775.0,7712.0,67199.0,79134.0,75397.0
86,6176,瑞儀,90.3,-2.0,-2.17,09/02,2587.0,2026.0,4883.0,15129,,,-296284.0,18847.0,17721.0,-80675.0
87,1785,光洋科,100.0,-2.0,-1.96,09/02,7290.0,11826.0,9789.0,14874,-22443.0,-52039.0,-56007.0,426826.0,377517.0,431072.0
88,8027,鈦昇,177.0,-5.0,-2.75,09/02,6519.0,8788.0,8286.0,14569,18531.0,1534.0,29492.0,22715.0,26483.0,45621.0
89,1514,亞力,100.5,-2.5,-2.43,09/02,2874.0,5860.0,5734.0,13992,13729.0,22707.0,121129.0,105110.0,92664.0,79959.0
90,8064,東捷,102.0,-2.5,-2.39,09/02,6998.0,10295.0,10412.0,13814,7716.0,3240.0,32346.0,52606.0,31376.0,52339.0
91,2337,旺宏,117.0,-6.0,-4.88,09/02,2939.0,2366.0,4084.0,13791,-1191.0,-35571.0,71343.0,-130108.0,-600920.0,-616138.0
