"排名","代號","名稱","成交","漲跌價","漲跌幅","法人買賣日期","當日買賣超佔成交","2日買賣超佔成交","3日買賣超佔成交","5日買賣超佔成交","10日買賣超佔成交","1個月買賣超佔成交","3個月買賣超佔成交","半年買賣超佔成交","1年買賣超佔成交","3年買賣超佔成交","10年買賣超佔成交","今年買賣超佔成交"
"1","00867B","台新A-BBB電信債","29.23","0","0","09/03","0","-78.8","-42.5","+87.3","+5.37","-15.2","-8.15","-2.46","+65.6","+75.5","","-1.84"
"2","00836B","永豐10年A公司債","27.71","+0.06","+0.22","09/03","+91.7","+93.5","+91.9","+87","+25.1","+3.4","+9.42","+10.5","+74.1","+83.2","","+81.1"
"3","5403","中菲","93.3","0","0","09/03","+47.3","+52.4","+66.4","+66.8","+57.9","+31.3","+12.1","+2.49","-1.73","-2.02","+0.36","-0.57"
"4","2886","兆豐金","50.4","+1.4","+2.86","09/03","+61.5","+57.2","+55.9","+53.3","+52","+24.1","-6.2","-1.49","+1.15","+0.51","-2.04","-1.09"
"5","2812","台中銀","19.45","+0.05","+0.26","09/03","+27.6","+56.8","+59.2","+47.6","+42.5","+6.78","+11.4","-0.16","-2.22","-0.68","-0.14","-2.82"
"6","4417","金洲","47","0","0","09/03","+55.1","+58.8","+53.8","+44","+21.5","+7.98","-3.62","-7.92","-4.58","-0.34","+0.4","-7.98"
"7","2880","華南金","43.45","+0.45","+1.05","09/03","+46.2","+51.3","+47","+43.4","+35.6","+3.41","-7.43","-10.8","-7.12","-3.26","-1.83","-7.69"
"8","4113","聯上","15.1","0","0","09/03","+29.3","+43.4","+44.2","+43.3","+34","+9.44","+2.22","+2.02","+1.68","-0.37","+0.04","+2.3"
"9","5880","合庫金","26.7","+0.4","+1.52","09/03","+53.6","+64.8","+55.2","+41.6","+38.7","+0.43","+19.7","+6.92","+5.01","-0.82","-0.3","+4.46"
"10","2892","第一金","36.85","+0.6","+1.66","09/03","+32.5","+34.2","+36.5","+41.4","+43.4","+19.2","+5.32","-0.34","+3.65","+2.42","+0.72","-0.25"
"11","2897","王道銀行","10.9","+0.2","+1.87","09/03","+49.8","+42.5","+45.6","+40.7","+43.8","+28","+19.9","+19","+12.1","+2.74","","+15.7"
"12","2034","允強","20.65","+0.15","+0.73","09/03","+41.8","+40.4","+38.4","+39.8","+31.6","+38.3","+14.6","+8.2","+0.72","-0.82","-0.64","+3.3"
"13","6124","業強","26.65","+0.1","+0.38","09/03","-13.6","+6.46","+6.41","+38.2","+33.3","+18.6","-3.06","+0.54","-0.05","+2.3","+6.57","+0.17"
"14","1437","勤益控","31.95","-0.05","-0.16","09/03","-2.52","+26","+26.8","+37.7","+15.8","+1.25","+4.05","+1.6","+2.87","+0.86","+0.46","+0.73"
"15","00876","元大全球5G","83.7","-0.8","-0.95","09/03","+26.3","+7.39","+50.5","+37.4","+11.9","+7.79","-1.92","+0.94","+2.34","+6.21","","+0.62"
"16","2597","潤弘","168","-2","-1.18","09/03","-21.3","+29","+39","+36","+37.8","+35.5","-2.54","-8.01","-3.73","-1.09","-0.68","-6.8"
"17","9919","康那香","13.85","-0.05","-0.36","09/03","+34","+28","+24.6","+35.7","+38.6","+27","+3.47","+2.77","+2.1","0","+0.02","+0.73"
"18","9906","欣巴巴","42.6","+1.35","+3.27","09/03","+53.9","+51.1","+44.3","+35.7","+38.2","+32.9","-2.85","-0.5","-2.96","-0.15","-0.04","-0.42"
