排名,代號,名稱,成交,漲跌 價,漲跌 幅,法人 買賣 日期,當日 買賣超 佔 成交,2日 買賣超 佔 成交,3日 買賣超 佔 成交,5日 買賣超 佔 成交,10日 買賣超 佔 成交,1個月 買賣超 佔 成交,3個月 買賣超 佔 成交,半年 買賣超 佔 成交,1年 買賣超 佔 成交,3年 買賣超 佔 成交,10年 買賣超 佔 成交,今年 買賣超 佔 成交
1,00709,富邦歐洲,40.92,0.24,0.59,09/04,0.0,26.6,62.9,40.5,32.0,25.5,20.2,8.45,4.02,1.43,,6.03
2,9802,鈺齊-KY,72.3,0.1,0.14,09/04,40.9,47.3,37.7,34.2,19.1,0.57,-2.04,-0.42,-0.29,0.6,0.03,-0.57
3,2542,興富發,48.55,-0.1,-0.21,09/04,48.0,37.8,34.8,33.0,20.8,11.6,16.2,10.7,6.78,1.46,0.6,8.91
4,009814,富邦標普500,11.43,0.12,1.06,09/04,0.0,0.0,31.4,29.0,24.5,27.4,14.6,5.49,,,,3.25
5,00694B,富邦美債1-3,41.73,0.02,0.05,09/04,0.0,50.4,30.0,25.2,17.3,8.43,3.0,1.0,0.95,-1.14,,0.87
6,2903,遠百,22.3,0.0,0.0,09/04,20.1,43.9,31.9,23.6,11.4,8.36,10.5,3.53,5.38,0.36,0.75,0.27
7,006205,富邦上証,40.78,0.28,0.69,09/04,0.0,15.1,24.5,22.7,12.9,6.83,1.04,-1.01,-0.5,-0.43,-1.08,-0.75
8,2855,統一證,50.7,0.1,0.2,09/04,5.08,14.2,18.6,22.0,18.9,20.0,13.5,10.0,6.69,3.59,1.68,7.58
9,2850,新產,159.0,0.0,0.0,09/04,12.8,30.1,25.0,21.3,11.3,4.56,-2.32,-3.45,-5.01,1.98,0.8,-4.04
10,6515,穎崴,7075.0,75.0,1.07,09/04,29.4,28.5,26.0,20.9,9.69,-5.03,-5.8,-3.68,0.38,0.18,,-1.35
11,5306,桂盟,92.6,-1.9,-2.01,09/04,5.3,21.2,17.5,20.6,14.1,3.4,1.18,0.66,0.27,0.04,-0.25,0.38
12,1229,聯華,41.85,-0.25,-0.59,09/04,15.2,29.1,20.7,20.3,11.8,4.44,1.55,0.73,0.47,0.21,0.06,0.61
13,2027,大成鋼,50.2,0.0,0.0,09/04,14.9,16.5,17.2,17.3,8.79,-1.36,-0.23,-1.14,0.44,-0.35,0.02,-0.46
14,8464,億豐,373.5,6.0,1.63,09/04,0.58,0.33,19.6,16.5,8.73,4.23,12.0,3.68,2.11,0.85,0.28,3.36
15,2379,瑞昱,713.0,6.0,0.85,09/04,10.1,13.0,16.0,16.2,10.7,5.65,8.5,4.33,1.14,1.39,0.98,2.54
16,6592,和潤企業,61.0,0.1,0.16,09/04,11.2,32.5,20.1,15.5,8.61,4.23,-0.65,0.03,-0.06,-0.23,,0.01
17,1102,亞泥,35.1,-0.1,-0.28,09/04,14.8,29.6,19.3,15.4,6.87,2.83,-11.2,-8.03,-3.51,-1.82,-0.62,-7.07
18,7780,大研生醫*,16.7,0.05,0.3,09/04,10.6,20.6,13.4,15.3,9.11,4.29,0.92,0.26,,,,0.11
19,2006,東和鋼鐵,81.6,-1.0,-1.21,09/04,9.04,24.2,16.5,14.4,8.69,3.64,-10.2,-7.26,-6.76,-2.3,-0.04,-7.14
20,1402,遠東新,29.15,0.05,0.17,09/04,11.9,26.8,19.7,14.3,13.9,10.2,18.9,4.5,1.04,-0.36,1.23,2.49
