排名,代號,名稱,成交,漲跌 價,漲跌 幅,更新 日期,當日 增減 (萬元),2日 增減 (萬元),3日 增減 (萬元),5日 增減 (萬元),10日 增減 (萬元),1個月 增減 (萬元),3個月 增減 (萬元),半年 增減 (萬元),1年 增減 (萬元),今年 增減 (萬元)
1,3008,大立光,6660.0,-740.0,-10.0,09/07,15747.0,-79598.0,-164103.0,-1275671,-1533362.0,-1330264.0,-257040.0,-1266764.0,105811.0,-491333.0
2,3293,鈊象,710.0,1.0,0.14,09/07,-3834.0,-24822.0,-233831.0,-1230615,-1247300.0,-1270794.0,-981532.0,-901056.0,-322513.0,-1054071.0
3,1101,台泥,24.3,-0.3,-1.22,09/07,-11617.0,-13038.0,-86648.0,-985115,-929030.0,-871078.0,-601096.0,140992.0,193133.0,305719.0
4,2408,南亞科,517.0,21.0,4.23,09/07,16391.0,-83181.0,-249848.0,-951915,-407484.0,-2141270.0,162936.0,-136525.0,-243084.0,-118564.0
5,3529,力旺,2570.0,185.0,7.76,09/07,764.0,-9406.0,-74685.0,-671979,-601613.0,-373151.0,-169623.0,-1296163.0,-681490.0,-1109946.0
6,2834,臺企銀,17.2,0.2,1.18,09/07,-3381.0,-14644.0,-28992.0,-640550,-558101.0,-398899.0,-331868.0,22454.0,55078.0,73747.0
7,2884,玉山金,43.55,0.0,0.0,09/07,-58703.0,-92521.0,-231565.0,-528503,-433780.0,-311743.0,-512440.0,-612367.0,211814.0,-402501.0
8,2609,陽明,58.1,-0.1,-0.17,09/07,286.0,-9976.0,-138936.0,-332890,-370477.0,-426720.0,-825824.0,-733280.0,-1028507.0,-991614.0
9,2886,兆豐金,50.2,0.65,1.31,09/07,-6950.0,-19239.0,-39663.0,-310959,-487964.0,-548844.0,-8696.0,52872.0,-69739.0,113642.0
10,2059,川湖,13905.0,45.0,0.32,09/07,-2784.0,-12311.0,-23338.0,-283770,-374963.0,-378336.0,-499761.0,-795545.0,-811905.0,-1089664.0
11,3665,貿聯-KY,2070.0,-75.0,-3.5,09/07,38518.0,87957.0,-27347.0,-282421,-443007.0,-774661.0,1679185.0,1574001.0,2007878.0,956033.0
12,3324,雙鴻,1440.0,-45.0,-3.03,09/07,-1307.0,-65555.0,-124790.0,-273214,-342244.0,-426195.0,-326588.0,-2299.0,-288635.0,32346.0
13,2382,廣達,347.5,2.5,0.72,09/07,-9779.0,-119989.0,-207637.0,-270383,-862552.0,-6559036.0,-4013323.0,-470565.0,-1367985.0,-943227.0
14,1815,富喬,130.0,11.5,9.7,09/07,-25051.0,-24220.0,-78294.0,-193660,-430561.0,-484013.0,-515751.0,-209685.0,-357132.0,-219608.0
15,4958,臻鼎-KY,501.0,38.0,8.21,09/07,3904.0,72755.0,156685.0,-188976,56392.0,947613.0,483288.0,433369.0,-357789.0,439447.0
16,3711,日月光投控,621.0,33.0,5.61,09/07,34513.0,73881.0,32546.0,-178722,-30986.0,444290.0,-1991332.0,-456365.0,-2347353.0,-541243.0
17,2357,華碩,999.0,-26.0,-2.54,09/07,-11826.0,-31983.0,-90923.0,-158615,-175743.0,-878979.0,-2651898.0,-2649671.0,-558034.0,-1687790.0
18,3374,精材,469.5,39.5,9.19,09/07,-6998.0,-8929.0,-47798.0,-154243,-186699.0,-47821.0,-80164.0,24414.0,-212270.0,-78764.0
19,2880,華南金,44.35,0.35,0.8,09/07,-120.0,-11182.0,-45918.0,-151509,-142489.0,-37042.0,755722.0,1094728.0,1167976.0,1084146.0
