排名,代號,名稱,成交,漲跌 價,漲跌 幅,成交 張數,更新 日期,當日 增減 (%),2日 增減 (%),3日 增減 (%),5日 增減 (%),10日 增減 (%),1個月 增減 (%),3個月 增減 (%),半年 增減 (%),1年 增減 (%),今年 增減 (%)
1,6949,沛爾生醫*-創,67.1,-7.4,-9.93,24486,09/07,-0.93,1877.0,1877.0,1877.0,1839.0,1882.0,1892.0,2399.0,7621.0,2961.0
2,00933B,國泰10Y+金融債,15.44,-0.09,-0.58,10393,09/07,749.0,749.0,743.0,800.0,793.0,1496.0,90.0,40.7,-44.8,-28.5
3,2892,第一金,37.3,0.0,0.0,38994,09/07,646.0,644.0,615.0,456.0,325.0,475.0,-17.4,12.2,216.0,4.04
4,009828,中信台日韓PCB,9.72,0.29,3.08,94914,09/07,-4.85,36.9,419.0,,,,,,,
5,00885,富邦越南,18.73,-0.1,-0.53,3857,09/07,1.15,234.0,240.0,173.0,192.0,205.0,181.0,-14.0,-38.5,-49.6
6,00962,台新AI優息動能,15.6,-0.06,-0.38,9156,09/07,105.0,111.0,186.0,152.0,149.0,711.0,165.0,205.0,261.0,98.1
7,7738,東聯互動,168.0,3.0,1.82,203,09/07,108.0,167.0,173.0,173.0,176.0,167.0,211.0,,,
8,00958B,永豐ESG銀行債15+,8.96,-0.02,-0.22,153,09/07,167.0,167.0,167.0,-27.3,-33.3,60.0,167.0,-42.9,-98.0,-55.6
9,009822,華南永昌未來金融,9.96,-0.1,-0.99,728,09/07,0.0,150.0,150.0,25.0,66.7,-50.0,-98.6,,,
10,6272,驊陞,29.7,-0.1,-0.34,762,09/07,-4.96,34.5,150.0,164.0,379.0,379.0,,,,
11,2939,永邑-KY,19.75,-0.25,-1.25,65,09/07,6.39,149.0,149.0,148.0,149.0,143.0,179.0,7.16,13.0,26.9
12,00936,台新永續高息中小,21.54,0.12,0.56,944,09/07,-4.76,81.8,122.0,42.9,25.0,66.7,81.8,300.0,-98.7,-96.2
13,00921,兆豐龍頭等權重,24.67,-0.06,-0.24,989,09/07,60.3,71.2,112.0,6150.0,6150.0,205.0,3025.0,942.0,160.0,221.0
14,7823,奧義賽博-KY創,83.2,0.2,0.24,27,09/07,100.0,100.0,100.0,100.0,100.0,,,,,
15,0055,元大MSCI金融,48.63,-0.37,-0.76,958,09/07,7.74,2.84,98.9,67.6,118.0,57.4,-17.0,906.0,1408.0,96.7
16,00770,國泰北美科技,68.45,0.3,0.44,982,09/07,29.5,68.1,88.1,155.0,204.0,394.0,216.0,-45.5,36.2,27.4
17,3045,台灣大,117.0,-1.0,-0.85,4447,09/07,101.0,109.0,74.7,26.9,-51.0,-76.2,-47.2,-66.9,-69.8,-56.9
18,2812,台中銀,19.25,-0.1,-0.52,14117,09/07,2.14,2.11,71.4,51.4,48.9,50.3,-42.0,-5.87,-19.0,17.1
19,00713,元大台灣高息低波,63.45,0.0,0.0,5686,09/07,43.5,66.5,69.5,65.8,49.8,112.0,135.0,5.07,-62.2,-34.6
20,00998A,主動復華金融股息,18.13,0.04,0.22,7486,09/07,1.04,0.47,69.5,67.5,96.2,185.0,1158.0,,,
21,6620,漢達,113.0,5.5,5.12,9391,09/07,11.7,55.2,67.9,90.7,149.0,158.0,,,,
22,8431,匯鑽科,67.3,-1.5,-2.18,5372,09/07,2.41,19.4,67.2,103.0,138.0,134.0,81.3,43.3,48.0,-14.5
23,6486,互動,82.4,0.2,0.24,246,09/07,3.0,5.91,56.1,53.7,131.0,126.0,82.3,74.6,304.0,-1.44
24,0061,元大寶滬深,24.27,-0.09,-0.37,51,09/07,13.3,41.7,54.5,41.7,30.8,30.8,-46.9,-90.0,-95.8,-93.8
25,3094,聯傑,44.8,-1.7,-3.66,19618,09/07,-13.9,45.5,52.4,62.2,74.7,76.3,94.6,175.0,193.0,256.0
26,8488,吉源-KY,10.75,0.35,3.37,366,09/07,34.6,45.8,52.2,45.8,52.2,84.2,66.7,66.7,-2.78,59.1
27,00938,凱基優選30,26.44,-0.02,-0.08,1455,09/07,20.0,20.0,50.0,50.0,-45.5,-76.0,-33.3,50.0,-77.8,-40.0
28,00409A,主動復華全球50,9.91,0.01,0.1,35744,09/07,9.49,26.2,49.6,,,,,,,
29,2412,中華電,138.0,0.5,0.36,8954,09/07,65.3,59.8,49.5,29.0,43.5,-1.8,382.0,174.0,285.0,240.0
30,8064,東捷,122.5,10.5,9.38,17323,09/07,13.1,32.6,46.2,56.2,45.9,39.8,0.06,66.6,29.8,17.4
31,009818,華南永昌NASDAQxT,19.99,-0.06,-0.3,57,09/07,0.0,43.5,43.5,43.5,154.0,175.0,106.0,,,
32,00918,大華優利高填息30,35.78,-0.1,-0.28,150734,09/07,16.1,16.8,42.2,197.0,204.0,263.0,22.2,260.0,146.0,214.0
33,1264,德麥,251.0,-1.0,-0.4,25,09/07,40.0,40.0,40.0,40.0,40.0,250.0,600.0,,,
34,00955,中信日本商社,16.33,0.1,0.62,4084,09/07,13.4,35.1,38.5,56.4,42.0,8.8,-19.0,-57.2,13.7,20.3
35,7730,暉盛-創,180.5,-6.0,-3.22,195,09/07,8.38,11.6,35.5,36.3,35.5,23.8,43.1,,,
36,00922,國泰台灣領袖50,42.85,0.72,1.71,12758,09/07,36.7,30.6,34.9,38.2,28.1,12.4,24.1,-60.1,210.0,84.6
37,3229,晟鈦,50.6,0.8,1.61,548,09/07,-0.22,38.8,34.8,42.4,516.0,,,,,
38,00682U,期元大美元指數,20.41,0.0,0.0,0,09/07,0.0,33.3,33.3,-66.7,-66.7,-90.9,-20.0,33.3,-66.7,-33.3
39,009810,玉山全球藍籌100,21.28,-0.24,-1.12,247,09/07,0.0,33.3,33.3,33.3,,,-42.9,300.0,-83.3,-42.9
40,00673R,期元大S&P原油反1,11.11,-0.15,-1.33,42061,09/07,2.49,27.3,32.4,63.1,56.4,127.0,25.0,284.0,548.0,3483.0
41,1216,統一,75.2,-0.4,-0.53,6437,09/07,8.56,12.2,32.1,3.19,4.22,2.63,-17.4,-36.1,-24.2,1.96
42,00915,凱基優選高股息30,32.91,0.27,0.83,2813,09/07,-24.8,-20.2,31.9,37.9,168.0,184.0,107.0,-53.8,-89.5,-78.4
43,00982T,平衡兆豐台美動能,16.34,0.58,3.68,249,09/07,16.0,26.1,31.8,867.0,1350.0,,,314.0,,-14.7
44,00948B,中信優息投資級債,9.09,-0.05,-0.55,3009,09/07,31.8,31.8,31.8,31.8,38.4,47.5,48.8,14.2,-43.2,-40.0
45,1623,大東電,205.0,-3.0,-1.44,56,09/07,4.74,9.94,31.8,73.0,76.1,665.0,,,,
46,2421,建準,171.5,-6.5,-3.65,6517,09/07,18.7,30.3,30.8,-14.0,0.07,7.35,-13.2,-1.47,-26.0,-15.2
47,6934,心誠鎂,77.6,5.0,6.89,91,09/07,5.88,12.5,30.4,66.7,157.0,,,,,
48,00964,中信亞太高股息,15.01,-0.03,-0.2,2648,09/07,12.8,15.2,29.3,39.5,12.8,12.8,-28.4,-19.7,5200.0,29.3
49,9925,新保,39.55,0.0,0.0,766,09/07,0.0,0.0,28.6,-85.9,350.0,350.0,0.0,12.5,80.0,-35.7
50,2889,國票金,16.45,-0.15,-0.9,15633,09/07,3.95,-6.77,26.2,13.6,40.9,35.5,43.7,410.0,37.8,257.0
51,2436,偉詮電,71.7,6.5,9.97,15539,09/07,22.3,25.2,25.2,24.8,30.5,33.2,16.3,72.3,69.9,93.2
52,00917,中信特選金融,24.08,-0.19,-0.78,626,09/07,25.0,25.0,25.0,29.2,4.55,-83.2,35.3,-31.1,539.0,448.0
53,5310,天剛,23.55,-0.55,-2.28,6,09/07,25.0,25.0,25.0,25.0,0.0,,,,,
54,5604,中連,31.3,-0.05,-0.16,60,09/07,0.0,25.0,25.0,25.0,-64.3,-72.2,-50.0,-94.7,-95.6,-95.5
55,3489,森寶,22.65,-0.2,-0.88,168,09/07,20.7,24.0,24.8,30.6,35.9,-0.54,-78.5,-72.1,-66.5,-66.7
56,8432,東生華,50.3,-0.6,-1.18,95,09/07,9.91,9.91,24.5,23.2,22.0,13.0,-24.2,-31.8,9.91,32.6
57,3564,其陽,49.2,-1.0,-1.99,356,09/07,0.84,-7.24,24.2,36.8,31.0,0.42,5.28,-34.2,-55.7,-35.9
58,00961,FT臺灣永續高息,13.55,-0.05,-0.37,55196,09/07,9.03,18.2,23.9,25.1,5.25,143.0,607.0,1512.0,133.0,2886.0
59,6669,緯穎,2490.0,-75.0,-2.92,5527,09/07,11.3,16.5,23.1,80.1,95.1,87.3,27.3,19.8,27.3,38.3
60,6722,輝創,32.9,-0.15,-0.45,53,09/07,12.0,20.2,22.4,32.3,23.6,77.0,,,,
