排名,代號,名稱,成交,漲跌 價,漲跌 幅,法人 買賣 日期,當日 買賣超 佔 發行 張數,2日 買賣超 佔 發行 張數,3日 買賣超 佔 發行 張數,5日 買賣超 佔 發行 張數,10日 買賣超 佔 發行 張數,1個月 買賣超 佔 發行 張數,3個月 買賣超 佔 發行 張數,半年 買賣超 佔 發行 張數,1年 買賣超 佔 發行 張數,3年 買賣超 佔 發行 張數,10年 買賣超 佔 發行 張數,今年 買賣超 佔 發行 張數
1,6510,精測,3610.0,-10.0,-0.28,09/09,0.96,1.84,2.88,5.24,5.91,5.74,2.09,-2.67,2.4,10.8,6.95,0.28
2,1815,富喬,126.0,-2.0,-1.56,09/09,1.79,3.5,4.27,3.95,3.96,7.14,9.32,6.67,8.62,9.75,8.33,7.06
3,00694B,富邦美債1-3,41.37,-0.06,-0.14,09/09,0.54,2.24,2.24,3.87,3.87,3.87,3.87,3.87,5.24,-7.24,,4.19
4,3529,力旺,2780.0,-45.0,-1.59,09/09,0.29,1.1,1.91,1.92,1.81,1.27,1.54,0.52,0.16,-1.96,6.13,1.78
5,6515,穎崴,7280.0,-420.0,-5.45,09/09,0.38,0.64,0.73,1.92,2.15,-0.6,-3.69,-5.26,2.57,2.66,,-2.32
6,6640,均華,1200.0,-15.0,-1.23,09/09,0.0,0.0,0.45,1.7,1.91,2.07,1.92,1.84,0.53,2.28,,1.7
7,3105,穩懋,464.0,22.5,5.1,09/09,0.56,1.29,1.73,1.69,3.31,5.07,3.2,8.05,9.5,9.21,6.42,9.25
8,2481,強茂,152.0,-0.5,-0.33,09/09,0.0,0.09,0.6,1.67,1.97,1.7,0.18,6.83,8.32,11.2,11.8,3.81
9,3026,禾伸堂,758.0,11.0,1.47,09/09,0.63,0.93,0.98,0.97,1.77,3.02,6.75,14.5,14.6,14.8,14.0,14.2
10,6278,台表科,193.5,5.0,2.65,09/09,0.29,0.36,0.74,0.9,2.14,2.34,1.11,-3.86,-10.2,11.3,11.7,-7.45
11,3532,台勝科,424.0,26.0,6.53,09/09,0.36,0.36,0.59,0.81,1.26,3.04,4.12,5.15,5.9,5.05,2.63,5.46
12,4979,華星光,610.0,5.0,0.83,09/09,0.41,1.24,0.78,0.8,1.55,10.1,7.89,4.87,15.0,17.0,19.2,12.4
13,3406,玉晶光,1110.0,100.0,9.9,09/09,0.77,0.77,0.75,0.72,4.58,7.09,5.67,4.38,4.95,8.65,10.1,2.58
14,3491,昇達科,1455.0,-35.0,-2.35,09/09,0.0,0.13,0.18,0.68,1.93,2.73,2.24,2.4,-0.78,7.09,5.86,1.43
15,3231,緯創,189.0,2.5,1.34,09/09,-0.06,0.01,0.1,0.66,0.95,0.73,3.21,4.46,3.6,0.75,5.38,3.96
16,6442,光聖,1700.0,5.0,0.29,09/09,-0.14,0.12,0.12,0.66,0.45,1.36,-0.07,-3.99,-0.75,5.69,5.62,-3.46
17,6531,愛普*,999.0,68.0,7.3,09/09,0.3,0.28,0.31,0.57,1.06,-1.83,-3.1,3.64,3.29,3.39,3.68,2.24
18,00652,富邦印度,32.15,-0.33,-1.02,09/09,0.19,0.57,0.57,0.57,0.92,1.18,1.9,1.9,1.9,1.52,1.63,1.9
19,6727,亞泰金屬,508.0,-18.0,-3.42,09/09,0.0,0.0,0.57,0.57,3.12,3.12,3.12,3.12,3.12,3.12,,3.12
20,00645,富邦日本,57.4,-0.45,-0.78,09/09,0.23,0.38,0.38,0.53,0.81,1.23,2.24,2.24,2.24,2.24,2.01,2.24
21,2542,興富發,48.2,0.5,1.05,09/09,0.06,0.09,0.21,0.52,0.75,1.11,4.14,6.74,6.3,3.79,3.47,6.28
22,6187,萬潤,1330.0,-55.0,-3.97,09/09,0.0,0.36,0.41,0.5,1.74,3.84,3.8,11.8,9.89,10.3,7.93,12.4
23,8028,昇陽半導體,236.0,-0.5,-0.21,09/09,0.0,0.26,0.47,0.47,0.04,-2.69,-2.7,-0.67,-0.29,0.12,,0.71
24,2357,華碩,979.0,11.0,1.14,09/09,-0.01,0.16,0.35,0.41,0.69,0.77,0.03,1.23,4.44,9.61,14.2,0.18
25,9802,鈺齊-KY,71.2,0.0,0.0,09/09,0.08,0.08,0.16,0.41,0.56,0.47,-0.08,0.09,-0.14,2.2,0.43,-0.29
26,8112,至上,86.5,-3.0,-3.35,09/09,0.35,0.37,0.37,0.38,0.4,0.69,3.89,2.33,2.11,4.4,2.24,0.21
27,3624,光頡,103.5,6.9,7.14,09/09,0.0,0.17,0.34,0.34,0.34,0.34,-0.81,0.79,0.79,-1.72,0.79,0.79
28,2855,統一證,52.1,-0.1,-0.19,09/09,0.14,0.23,0.23,0.33,0.55,1.09,2.4,6.71,6.86,6.87,6.82,6.56
29,5274,信驊,18605.0,-615.0,-3.2,09/09,-0.15,-0.15,-0.02,0.3,0.34,0.46,1.12,1.91,5.16,2.91,-2.76,2.79
30,2027,大成鋼,48.6,-0.75,-1.52,09/09,0.0,0.0,0.12,0.3,0.55,-0.31,1.0,-1.39,1.57,-1.63,0.33,-0.56
31,2360,致茂,2335.0,70.0,3.09,09/09,0.17,0.3,0.31,0.3,0.22,-0.2,-0.85,-0.25,0.59,2.93,4.4,-0.32
32,3234,光環,200.0,3.0,1.52,09/09,0.0,0.0,0.0,0.29,0.29,0.29,0.29,0.4,0.4,-0.42,0.09,0.4
33,4938,和碩,91.1,-0.6,-0.65,09/09,0.04,0.12,0.22,0.28,0.39,0.95,-0.32,3.54,-2.19,2.94,3.4,1.46
34,3706,神達,81.8,1.5,1.87,09/09,0.01,0.05,0.11,0.25,0.4,0.67,4.51,5.7,3.57,5.71,3.28,5.57
35,6620,漢達,132.0,8.0,6.45,09/09,0.0,0.14,0.24,0.24,0.24,0.24,0.24,0.24,,,,0.24
36,3090,日電貿,166.0,-1.5,-0.9,09/09,0.0,-0.01,-0.01,0.23,0.21,1.21,0.24,2.28,2.08,6.11,6.24,0.14
37,6426,統新,321.0,14.0,4.56,09/09,0.0,0.0,0.0,0.23,0.39,0.39,0.39,0.39,0.39,0.39,0.17,0.39
38,6683,雍智科技,1370.0,-35.0,-2.49,09/09,0.09,0.09,0.24,0.22,-0.78,-2.09,-1.2,0.16,1.3,0.81,,1.07
39,006205,富邦上証,40.17,-0.04,-0.1,09/09,0.02,0.13,0.13,0.22,0.38,0.47,0.49,-0.67,-0.67,-2.81,-58.0,-0.67
40,2351,順德,237.5,10.0,4.4,09/09,-0.01,0.02,0.02,0.22,0.52,-0.39,0.84,2.29,2.28,1.31,0.42,2.29
41,2887,台新新光金,42.4,-0.4,-0.93,09/09,0.08,0.14,0.2,0.22,0.3,0.79,1.79,2.31,7.85,12.6,12.8,3.2
42,6223,旺矽,5615.0,-180.0,-3.11,09/09,0.22,0.63,0.62,0.21,-1.24,-2.31,0.08,1.83,0.42,15.8,14.2,0.09
43,5347,世界,157.0,5.0,3.29,09/09,0.0,0.12,0.2,0.21,-0.03,0.18,1.58,-1.84,-9.06,8.83,9.03,-5.98
44,2436,偉詮電,69.0,1.9,2.83,09/09,0.21,0.2,0.2,0.2,0.2,0.04,0.09,0.26,-0.76,0.24,0.02,0.31
45,7769,鴻勁,6720.0,-250.0,-3.59,09/09,0.01,0.17,0.2,0.19,-0.36,-0.42,-0.42,0.77,,,,0.81
46,3167,大量,900.0,-38.0,-4.05,09/09,-0.22,0.34,0.34,0.18,0.21,1.15,-1.53,-0.57,3.47,7.48,7.44,-2.25
47,3131,弘塑,2555.0,-80.0,-3.04,09/09,-0.17,0.15,0.17,0.18,0.31,0.22,-0.05,1.18,-5.37,-6.18,0.36,-2.64
48,4958,臻鼎-KY,502.0,-3.0,-0.59,09/09,0.04,0.0,0.25,0.18,0.88,0.39,3.14,4.77,2.05,1.53,5.54,4.33
49,2603,長榮,234.0,5.0,2.18,09/09,0.01,0.01,0.04,0.17,-0.08,0.04,-0.29,3.43,1.72,14.6,15.0,1.82
50,4967,十銓,281.5,1.0,0.36,09/09,0.0,0.0,0.0,0.17,0.28,0.26,1.23,0.89,1.23,1.08,,0.64
51,2884,玉山金,44.25,-1.3,-2.85,09/09,0.02,0.08,0.13,0.17,0.24,0.78,1.49,0.15,3.14,5.01,5.37,0.46
52,6770,力積電,72.4,0.0,0.0,09/09,0.0,0.0,0.16,0.16,0.15,0.14,0.23,0.24,0.52,-1.17,,0.19
53,2377,微星,156.5,4.0,2.62,09/09,-0.11,-0.08,-0.03,0.16,0.18,0.26,5.96,5.5,0.33,-1.82,-3.43,5.73
54,2464,盟立,197.5,3.0,1.54,09/09,0.03,0.06,0.09,0.15,0.3,0.72,1.01,1.06,1.06,1.07,-3.32,1.06
55,2303,聯電,141.5,4.5,3.28,09/09,0.04,0.08,0.2,0.14,0.15,-0.49,-3.99,-9.03,-13.2,3.5,6.47,-10.2
56,6271,同欣電,226.5,3.5,1.57,09/09,0.0,0.08,0.08,0.14,-0.19,-0.19,1.26,1.57,2.23,1.55,-6.89,2.07
57,6173,信昌電,268.5,-5.0,-1.83,09/09,0.0,0.04,0.04,0.14,0.18,1.3,2.28,2.28,2.28,2.28,-2.17,2.28
58,4763,材料*-KY,48.3,-0.85,-1.73,09/09,0.0,0.0,0.0,0.14,0.24,0.23,0.42,-2.48,-2.89,-2.56,-2.34,-3.45
59,2801,彰銀,26.85,-0.4,-1.47,09/09,0.0,0.07,0.11,0.14,0.19,0.18,1.75,1.88,1.34,0.88,1.93,0.98
60,3605,宏致,129.5,5.5,4.44,09/09,0.0,0.13,0.13,0.13,0.58,1.5,1.5,1.47,1.19,1.5,1.49,1.5
61,2454,聯發科,4625.0,-85.0,-1.8,09/09,0.01,0.02,0.08,0.13,0.15,-0.29,-0.9,-0.76,-0.15,-0.08,2.64,-0.42
62,7828,創新服務,2080.0,45.0,2.21,09/09,0.01,0.0,0.09,0.13,0.14,0.11,0.66,,,,,
63,1303,南亞,236.5,1.5,0.64,09/09,0.0,0.06,0.13,0.13,0.4,0.61,4.04,3.97,4.41,1.51,3.49,4.13
64,2379,瑞昱,705.0,13.0,1.88,09/09,-0.01,-0.01,0.02,0.13,0.43,0.55,3.3,4.79,2.09,5.94,15.0,3.61
65,5269,祥碩,1395.0,-5.0,-0.36,09/09,0.0,0.06,0.11,0.13,0.24,0.16,3.71,5.05,4.05,4.25,2.16,5.38
66,00982A,主動群益台灣強棒,22.89,0.12,0.53,09/09,0.0,0.0,0.12,0.12,0.2,0.2,0.06,0.2,0.2,,,0.2
67,6177,達麗,48.45,0.7,1.47,09/09,0.0,0.0,0.01,0.12,0.18,0.18,0.68,-0.09,-1.8,0.79,0.79,-0.52
68,6584,南俊國際,586.0,-16.0,-2.66,09/09,0.0,0.0,0.0,0.12,0.11,0.21,-0.51,2.95,0.81,4.15,,1.25
69,00713,元大台灣高息低波,63.65,0.0,0.0,09/09,0.0,0.0,0.06,0.12,0.22,0.37,0.42,0.64,0.17,0.74,,0.54
70,2006,東和鋼鐵,82.0,0.1,0.12,09/09,0.0,0.0,0.0,0.12,0.2,0.3,-3.16,-4.19,-6.19,-4.88,-0.53,-4.91
71,1102,亞泥,35.4,0.2,0.57,09/09,0.0,0.01,0.02,0.12,0.17,0.2,-3.04,-4.16,-2.68,-3.33,-3.28,-4.39
72,4991,環宇-KY,499.0,6.0,1.22,09/09,0.0,-0.01,-0.01,0.11,0.35,0.19,-3.47,-3.43,-4.91,3.7,3.61,-4.93
73,2618,長榮航,42.55,0.1,0.24,09/09,0.0,0.0,0.03,0.11,0.24,0.24,-0.27,4.71,0.63,18.2,18.0,2.27
74,5876,上海商銀,47.5,-1.25,-2.56,09/09,0.0,0.01,0.03,0.11,0.08,0.11,1.42,2.27,-1.04,6.04,,1.68
75,2520,冠德,36.9,0.1,0.27,09/09,0.0,0.0,0.0,0.1,0.18,0.18,0.15,0.15,-8.62,-0.51,-0.78,-0.49
76,2347,聯強,88.6,-0.3,-0.34,09/09,0.02,0.07,0.11,0.1,0.08,0.26,0.91,4.45,-2.09,-0.61,5.65,2.89
77,2449,京元電子,270.0,1.5,0.56,09/09,0.0,-0.02,0.11,0.1,0.78,0.4,-0.13,-6.97,-4.65,-5.81,-7.38,-6.53
78,2474,可成,206.0,1.0,0.49,09/09,-0.02,0.07,0.08,0.1,0.11,0.27,2.44,-6.08,-15.8,-0.39,12.5,-10.6
79,4736,泰博,125.5,1.0,0.8,09/09,0.03,0.04,0.05,0.09,0.36,0.51,0.54,0.51,0.2,-0.57,-0.71,0.19
80,6206,飛捷,137.5,3.5,2.61,09/09,0.09,0.09,0.09,0.09,0.08,0.08,0.04,0.03,-4.39,0.08,0.62,-0.84
81,2376,技嘉,349.5,-7.5,-2.1,09/09,0.0,0.1,0.17,0.09,0.15,0.21,1.73,3.91,3.56,-4.0,0.76,3.81
82,2637,慧洋-KY,100.5,2.4,2.45,09/09,0.0,0.01,0.07,0.09,0.11,-1.42,-1.48,-3.02,-5.47,0.21,5.22,-4.56
83,00953B,群益優選非投等債,9.5,-0.01,-0.11,09/09,0.02,0.06,0.06,0.09,0.09,0.54,0.77,0.33,-0.85,,,0.22
84,2049,上銀,370.5,20.5,5.86,09/09,0.03,0.07,0.07,0.09,-0.45,0.27,-0.17,0.37,0.38,0.51,0.59,0.58
85,3443,創意,5925.0,-35.0,-0.59,09/09,0.03,0.12,0.04,0.09,0.05,0.85,3.68,5.61,7.8,5.23,11.6,6.32
86,6214,精誠,187.5,2.5,1.35,09/09,0.0,0.0,0.0,0.08,0.13,1.42,1.6,1.67,1.42,0.35,1.73,1.66
87,6121,新普,383.0,4.5,1.19,09/09,0.0,0.02,0.05,0.08,0.1,0.17,-1.41,-4.11,-10.2,2.15,9.6,-7.89
88,9933,中鼎,40.15,1.05,2.69,09/09,0.0,0.0,0.01,0.08,0.14,0.14,0.1,0.18,0.19,0.18,0.18,0.14
89,2467,志聖,581.0,-29.0,-4.75,09/09,0.0,0.0,0.0,0.08,0.11,-0.19,-0.55,0.17,0.64,1.09,1.09,0.43
90,5536,聖暉*,862.0,11.0,1.29,09/09,0.0,0.0,0.0,0.08,0.06,-3.29,-4.14,-2.75,-3.24,5.77,5.91,-4.49
91,2353,宏碁,31.8,0.75,2.42,09/09,0.0,0.01,0.06,0.08,0.28,0.31,-2.49,-2.83,-3.91,-8.42,3.49,-3.25
92,2891,中信金,66.6,-1.6,-2.35,09/09,0.01,0.03,0.05,0.08,0.17,0.13,-0.01,-0.62,-3.18,9.33,12.2,-1.0
93,1808,潤隆,35.1,0.25,0.72,09/09,0.0,0.0,0.0,0.08,0.13,0.13,0.13,0.12,-2.04,0.33,0.34,-0.96
94,2883,凱基金,36.75,-0.55,-1.47,09/09,0.04,0.03,0.07,0.08,0.05,0.57,1.11,4.32,4.37,6.17,8.85,4.42
95,009803,玉山市值動能50,22.24,0.05,0.23,09/09,0.0,0.07,0.07,0.07,0.07,0.14,0.39,1.51,1.51,,,1.51
96,2851,中再保,45.5,-0.15,-0.33,09/09,0.01,0.01,0.01,0.07,0.12,0.11,0.27,0.21,0.3,0.27,0.27,0.25
97,6739,竹陞科技,1200.0,55.0,4.8,09/09,0.0,0.0,0.07,0.07,0.07,-0.07,-0.11,-0.94,-0.67,,,-0.5
98,2903,遠百,22.4,-0.05,-0.22,09/09,0.0,0.0,0.0,0.07,0.12,0.28,1.26,0.76,2.56,0.54,2.59,0.08
99,8938,明安,51.9,-0.1,-0.19,09/09,0.0,0.0,0.01,0.07,0.07,0.07,0.34,0.34,0.34,0.42,0.34,0.34
100,00709,富邦歐洲,40.3,-0.15,-0.37,09/09,0.0,0.0,0.0,0.07,1.19,2.57,7.45,7.45,7.45,7.45,,7.45
101,1514,亞力,103.5,1.5,1.47,09/09,0.05,0.05,0.06,0.07,0.07,0.07,0.07,0.11,0.02,0.09,0.17,0.11
102,3045,台灣大,119.5,1.5,1.27,09/09,0.02,0.02,0.02,0.07,0.1,0.12,0.81,1.88,4.95,9.39,11.9,1.35
103,2633,台灣高鐵,26.1,0.0,0.0,09/09,0.0,0.01,0.04,0.07,0.08,0.2,1.85,1.93,1.92,1.92,,1.92
104,4576,大銀微系統,244.0,8.5,3.61,09/09,0.0,0.07,0.07,0.07,0.07,0.07,-0.56,0.45,0.15,0.42,,0.38
105,00980A,主動野村臺灣優選,24.86,0.03,0.12,09/09,0.0,0.0,0.0,0.06,0.06,0.87,8.79,9.17,9.17,,,9.17
106,3260,威剛,414.5,0.5,0.12,09/09,0.0,0.02,0.02,0.06,0.08,0.19,-0.23,-7.73,-0.85,1.82,4.24,-9.65
107,2897,王道銀行,10.85,-0.1,-0.91,09/09,0.0,0.0,0.0,0.06,0.11,0.11,0.11,0.03,-0.02,0.06,,0.03
108,8016,矽創,284.0,6.0,2.16,09/09,0.06,0.06,0.06,0.06,0.06,-2.0,-2.27,-1.46,-2.19,3.77,-1.32,-3.2
109,6509,聚和,45.8,0.2,0.44,09/09,0.01,0.01,0.02,0.06,0.09,0.09,0.11,0.22,0.41,0.64,0.67,0.2
110,6670,復盛應用,279.5,0.5,0.18,09/09,0.0,0.0,0.01,0.06,0.15,0.15,2.15,2.06,-3.53,7.46,,1.49
111,5306,桂盟,93.7,1.0,1.08,09/09,0.0,0.0,0.0,0.06,0.1,0.1,0.12,0.12,0.09,0.05,-1.28,0.09
112,1229,聯華,41.95,0.25,0.6,09/09,0.0,0.0,0.0,0.06,0.1,0.1,0.15,0.16,0.15,0.13,0.13,0.16
113,00646,元大S&P500,76.1,-0.4,-0.52,09/09,0.06,0.06,0.06,0.06,0.12,0.09,0.43,0.84,0.83,0.83,0.83,1.13
114,8215,明基材,25.5,0.35,1.39,09/09,0.01,0.01,0.01,0.06,0.09,0.08,0.1,0.22,0.2,0.23,0.06,0.27
