代號,名稱,成交,漲跌 價,漲跌 幅,法人 買賣 日期,外資 連續 買賣 日數,外資 連續 買賣 張數,外資 連續 買賣 佔 成交 (%),外資 連續 買賣 佔發 行量 (%),投信 連續 買賣 日數,投信 連續 買賣 張數,投信 連續 買賣 佔 成交 (%),投信 連續 買賣 佔發 行量 (%),自營 商 連續 買賣 日數,自營 商 連續 買賣 張數,自營 商 連續 買賣 佔 成交 (%),自營 商 連續 買賣 佔發 行量 (%),三大 法人 連續 買賣 日數,三大 法人 連續 買賣 張數,三大 法人 連續 買賣 佔 成交 (%),三大 法人 連續 買賣 佔發 行量 (%)
2884,玉山金,44.25,-1.3,-2.85,09/09,-1,-20077,-25.1,-0.11,25,140017,12.2,0.79,-1,-231,-0.29,0.0,-1,-17176,-21.5,-0.1
2887,台新新光金,42.4,-0.4,-0.93,09/09,-1,-32416,-47.0,-0.13,12,76520,9.17,0.3,-2,-80,-0.06,0.0,-1,-12106,-17.5,-0.05
1476,儒鴻,295.5,-4.5,-1.5,09/09,-3,-2113,-34.2,-0.77,9,437,3.91,0.16,-2,-25,-0.58,-0.01,-3,-2086,-33.8,-0.76
2382,廣達,342.0,14.0,4.27,09/09,1,13099,49.9,0.32,9,6435,4.01,0.16,1,494,1.88,0.01,1,13598,51.8,0.33
2542,興富發,48.2,0.5,1.05,09/09,1,1377,16.9,0.06,9,16235,26.8,0.75,1,69,0.85,0.0,1,2788,34.3,0.13
2891,中信金,66.6,-1.6,-2.35,09/09,-1,-11360,-38.9,-0.06,9,33748,10.7,0.17,1,11,0.04,0.0,-1,-10000,-34.2,-0.05
3706,神達,81.8,1.5,1.87,09/09,-6,-17213,-21.2,-1.3,9,5319,4.23,0.4,-1,-1425,-8.29,-0.11,-6,-15590,-19.2,-1.17
5269,祥碩,1395.0,-5.0,-0.36,09/09,-6,-337,-13.0,-0.45,9,178,4.45,0.24,-2,-30,-3.87,-0.04,-2,-148,-19.4,-0.2
1102,亞泥,35.4,0.2,0.57,09/09,2,7078,42.5,0.2,8,6582,10.6,0.19,-2,-373,-2.24,-0.01,2,6962,41.8,0.2
1802,台玻,60.2,0.3,0.5,09/09,1,2412,20.3,0.08,8,1044,0.47,0.04,1,124,1.04,0.0,1,2584,21.7,0.09
2353,宏碁,31.8,0.75,2.42,09/09,1,7398,51.2,0.24,8,8699,5.14,0.29,-3,-906,-1.36,-0.03,1,7290,50.4,0.24
2633,台灣高鐵,26.1,0.0,0.0,09/09,-1,-418,-21.9,-0.01,8,4659,17.3,0.08,-2,-45,-0.98,0.0,-1,-307,-16.1,-0.01
4938,和碩,91.1,-0.6,-0.65,09/09,-3,-13668,-44.1,-0.51,8,10575,11.1,0.4,1,52,0.8,0.0,1,471,7.26,0.02
6121,新普,383.0,4.5,1.19,09/09,1,1,0.32,0.0,8,192,5.01,0.1,-2,-21,-1.9,-0.01,-2,-229,-21.2,-0.12
6191,精成科,83.1,1.4,1.71,09/09,1,673,39.7,0.13,8,255,2.35,0.05,-1,-19,-1.12,0.0,1,668,39.4,0.13
6278,台表科,193.5,5.0,2.65,09/09,1,452,16.0,0.15,8,2803,9.92,0.96,-8,-387,-1.37,-0.13,1,1267,44.8,0.43
6510,精測,3610.0,-10.0,-0.28,09/09,1,39,2.13,0.12,8,1994,17.0,6.06,-2,-52,-1.57,-0.16,2,451,13.7,1.37
9910,豐泰,68.6,-3.2,-4.46,09/09,-1,-572,-28.8,-0.06,8,504,4.39,0.05,-2,-34,-0.59,0.0,-1,-564,-28.4,-0.06
2352,佳世達,28.8,0.15,0.52,09/09,1,604,25.3,0.04,7,951,2.9,0.06,1,117,4.89,0.01,1,793,33.3,0.05
6515,穎崴,7280.0,-420.0,-5.45,09/09,-1,-288,-19.1,-0.8,7,983,16.9,2.73,1,4,0.28,0.01,-1,-148,-9.78,-0.41
1101,台泥,24.75,0.45,1.85,09/09,1,17400,51.6,0.23,6,1137,0.73,0.02,1,107,0.32,0.0,1,17607,52.2,0.23
1605,華新,38.35,0.25,0.66,09/09,2,8300,28.8,0.19,6,748,0.79,0.02,-1,-119,-0.86,0.0,2,8391,29.1,0.19
1723,中碳,83.6,-0.3,-0.36,09/09,-4,-1156,-36.2,-0.49,6,92,2.1,0.04,-4,-24,-0.76,-0.01,-4,-1143,-35.8,-0.48
2454,聯發科,4625.0,-85.0,-1.8,09/09,-1,-758,-14.0,-0.05,6,2926,4.11,0.18,-2,-252,-2.11,-0.02,-1,-612,-11.3,-0.04
2603,長榮,234.0,5.0,2.18,09/09,1,2413,27.9,0.11,6,4174,7.21,0.19,1,302,3.49,0.01,1,2964,34.3,0.14
3015,全漢,52.5,0.1,0.19,09/09,1,21,7.71,0.01,6,136,8.33,0.07,-2,-3,-0.59,0.0,1,25,9.17,0.01
3708,上緯投控,99.1,-0.5,-0.5,09/09,-4,-143,-8.87,-0.16,6,62,2.44,0.07,-4,-52,-3.22,-0.06,-4,-171,-10.6,-0.19
