排名,代號,名稱,成交,漲跌 價,漲跌 幅,法人 買賣 日期,當日 買賣超 佔 成交,2日 買賣超 佔 成交,3日 買賣超 佔 成交,5日 買賣超 佔 成交,10日 買賣超 佔 成交,1個月 買賣超 佔 成交,3個月 買賣超 佔 成交,半年 買賣超 佔 成交,1年 買賣超 佔 成交,3年 買賣超 佔 成交,10年 買賣超 佔 成交,今年 買賣超 佔 成交
1,020001,富邦存股雙十N,28.5,0.01,0.04,09/10,100.0,100.0,100.0,100.0,100.0,100.0,76.5,87.9,90.9,34.6,,89.3
2,020012,富邦行動通訊N,23.22,0.0,0.0,09/10,,100.0,100.0,100.0,100.0,60.0,89.6,76.6,71.6,53.2,,69.2
3,020032,元大綠能N,10.46,0.0,0.0,09/10,,100.0,100.0,100.0,100.0,100.0,85.9,65.9,44.8,26.6,,50.7
4,020028,元大特選電動車N,20.5,-0.6,-2.84,09/10,100.0,97.8,97.8,96.6,97.3,97.1,78.3,69.9,39.0,50.5,,72.3
5,020031,統一IC設計臺灣N,10.93,0.09,0.83,09/10,100.0,100.0,100.0,91.1,44.2,56.4,12.2,-1.54,14.2,19.3,,13.6
6,009822,華南永昌未來金融,9.78,-0.17,-1.71,09/10,-7.48,30.2,33.3,87.4,83.2,78.6,70.2,,,,,
7,020029,元大ESG高股息N,20.11,0.01,0.05,09/10,33.3,88.6,81.1,86.4,87.3,84.0,66.9,69.2,70.5,41.6,,69.0
8,020025,統一亞洲半導體N,39.88,-0.07,-0.18,09/10,100.0,96.9,97.1,85.0,86.3,69.7,-23.6,-1.3,-12.1,20.8,,-11.0
9,00654R,富邦印度反1,6.92,0.05,0.73,09/10,90.6,50.0,71.1,83.6,59.6,51.3,18.0,15.3,21.0,4.63,-1.42,17.4
10,00836B,永豐10年A公司債,27.47,-0.09,-0.33,09/10,58.6,71.2,79.0,79.6,72.7,35.1,17.7,15.5,74.1,82.7,,80.4
11,009825,聯邦美國金融創新,10.0,-0.18,-1.77,09/10,-75.4,5.85,37.8,79.3,69.8,82.1,,,,,,
12,00641R,富邦日本反1,3.72,0.01,0.27,09/10,40.2,50.2,50.9,71.9,39.9,9.38,-6.0,-2.97,-3.79,-3.69,-2.52,-0.1
13,2752,豆府,179.5,-0.5,-0.28,09/10,0.0,0.0,64.4,70.8,43.4,17.4,7.06,1.76,2.29,-0.62,,2.34
14,009818,華南永昌NASDAQxT,19.92,0.01,0.05,09/10,83.2,44.1,58.1,68.3,60.1,61.2,63.2,,,,,
15,00900,富邦特選高股息30,19.46,-0.12,-0.61,09/10,38.8,60.9,64.0,67.4,71.0,69.1,57.0,58.2,27.8,16.8,,56.0
16,009824,群益美國科技巨頭,10.07,0.0,0.0,09/10,17.7,28.7,50.0,67.4,44.1,39.4,,,,,,
17,020020,元大台股領航N,29.16,-0.4,-1.35,09/10,20.0,33.3,57.9,67.4,79.2,93.0,42.0,25.1,33.2,29.2,,33.8
18,00916,國泰全球品牌50,26.54,-0.1,-0.38,09/10,68.2,40.9,34.5,65.2,54.6,52.4,22.3,-0.91,2.47,-0.18,,-0.06
19,00717,富邦美國特別股,14.54,-0.03,-0.21,09/10,72.9,73.1,66.9,65.1,60.4,61.8,65.6,73.6,65.9,52.3,,68.2
20,020039,元大加權N,15.0,-0.1,-0.66,09/10,-42.9,0.0,16.7,64.3,84.1,83.5,48.8,50.4,34.9,,,40.1
21,8482,商億-KY,49.6,-1.3,-2.55,09/10,0.0,49.0,68.9,63.5,19.0,12.2,25.2,18.2,6.59,0.39,,11.4
22,00898,國泰基因免疫革命,10.62,-0.13,-1.21,09/10,76.1,51.9,51.0,62.6,37.8,55.2,55.6,54.0,47.3,41.2,,50.1
23,00403A,主動統一升級50,10.34,-0.01,-0.1,09/10,43.6,66.4,52.4,62.2,57.8,51.7,12.0,,,,,
24,00666R,富邦恒生國企反1,9.2,0.09,0.99,09/10,38.0,24.4,24.7,62.1,0.46,-30.7,-33.1,-17.1,-1.26,-2.23,-2.32,-9.22
25,1435,中福,23.3,0.0,0.0,09/10,74.6,74.7,77.6,61.8,40.9,36.3,7.36,4.7,2.67,1.56,0.07,4.31
26,00861,元大全球未來通訊,86.1,-0.25,-0.29,09/10,74.4,68.4,60.5,61.6,36.0,29.0,-10.6,2.54,9.37,26.2,,7.66
27,020030,統一智慧電動車N,19.87,-0.23,-1.14,09/10,-81.8,-23.1,-25.9,61.3,65.4,70.4,50.2,37.0,45.9,79.1,,44.2
28,9926,新海,49.45,0.25,0.51,09/10,-9.07,23.8,38.4,61.2,28.4,9.47,22.3,4.81,2.53,1.33,0.94,3.71
29,00693U,期街口S&P黃豆,23.73,-0.03,-0.13,09/10,87.7,82.5,64.8,61.1,44.3,22.6,36.5,17.4,1.14,-6.3,,12.3
