代號,名稱,成交,漲跌 價,漲跌 幅,法人 買賣 週別,更新 日期,外資 連續 買賣 週數,外資 連續 買賣 張數,外資 連續 買賣 佔 成交 (%),外資 連續 買賣 佔發 行量 (%),投信 連續 買賣 週數,投信 連續 買賣 張數,投信 連續 買賣 佔 成交 (%),投信 連續 買賣 佔發 行量 (%),自營 商 連續 買賣 週數,自營 商 連續 買賣 張數,自營 商 連續 買賣 佔 成交 (%),自營 商 連續 買賣 佔發 行量 (%),三大 法人 連續 買賣 週數,三大 法人 連續 買賣 張數,三大 法人 連續 買賣 佔 成交 (%),三大 法人 連續 買賣 佔發 行量 (%)
2542,興富發,46.5,0.0,0.0,26W37,09/11,-2,-13956,-18.6,-0.65,19,162544,15.1,7.55,-1,-163,-0.41,-0.01,-1,-4932,-12.4,-0.23
2855,統一證,51.9,0.2,0.39,26W37,09/11,-9,-21983,-11.1,-1.37,15,104619,17.0,6.53,0,0,0.0,0.0,5,12249,12.4,0.76
6187,萬潤,1250.0,-30.0,-2.34,26W37,09/11,-2,-1176,-4.58,-1.2,10,4898,3.19,4.98,-1,-34,-0.27,-0.03,-2,-458,-1.78,-0.47
006205,富邦上証,39.65,-0.52,-1.29,26W37,09/11,-6,-565,-6.8,-0.6,9,930,4.7,1.0,1,7,0.61,0.01,3,332,11.1,0.36
00645,富邦日本,56.9,-0.3,-0.52,26W37,09/11,-5,-483,-13.8,-1.11,9,966,13.7,2.22,-1,-196,-24.9,-0.45,-1,-143,-18.2,-0.33
00652,富邦印度,31.86,-0.17,-0.53,26W37,09/11,-1,-250,-17.0,-0.41,9,1162,9.59,1.9,-1,-254,-17.3,-0.42,-1,-154,-10.5,-0.25
00662,富邦NASDAQ,118.4,-0.8,-0.67,26W37,09/11,3,456,1.12,0.05,9,1472,0.93,0.16,-24,-175121,-32.2,-19.1,-24,-166651,-30.6,-18.2
009814,富邦標普500,11.24,-0.01,-0.09,26W37,09/11,-6,-1532,-5.38,-1.0,9,11615,25.9,7.61,-6,-9186,-32.3,-6.02,-4,-4920,-24.7,-3.22
2884,玉山金,46.3,1.35,3.0,26W37,09/11,-1,-12906,-4.18,-0.07,9,158533,7.42,0.89,1,1084,0.35,0.01,2,63722,10.1,0.36
3491,昇達科,1415.0,60.0,4.43,26W37,09/11,-6,-3344,-6.37,-4.86,9,2335,2.71,3.39,-1,-84,-1.08,-0.12,-2,-762,-4.35,-1.11
2207,和泰車,530.0,2.0,0.38,26W37,09/11,3,250,7.13,0.04,8,297,1.95,0.05,-2,-39,-1.49,-0.01,3,326,9.26,0.06
2379,瑞昱,704.0,8.0,1.15,26W37,09/11,1,1754,11.3,0.34,8,6086,4.56,1.18,-1,-379,-2.45,-0.07,1,1475,9.53,0.29
2610,華航,20.4,0.2,0.99,26W37,09/11,3,30416,10.1,0.5,8,35591,2.63,0.58,1,168,0.26,0.0,3,37110,12.3,0.61
00980A,主動野村臺灣優選,24.32,-0.42,-1.7,26W37,09/11,2,4882,6.82,0.62,7,74106,14.9,9.35,3,9754,8.56,1.23,3,16463,14.4,2.08
1476,儒鴻,288.5,-1.5,-0.52,26W37,09/11,-1,-2811,-33.3,-1.02,7,992,1.9,0.36,-1,-107,-1.27,-0.04,-1,-2834,-33.5,-1.03
2464,盟立,188.5,-5.0,-2.58,26W37,09/11,-1,-8237,-12.3,-3.8,7,2448,0.44,1.13,-1,-116,-0.17,-0.05,-1,-8103,-12.1,-3.74
2495,普安,37.45,0.5,1.35,26W37,09/11,1,333,5.74,0.12,7,162,0.32,0.06,-5,-243,-0.83,-0.09,1,309,5.34,0.11
2903,遠百,22.3,-0.2,-0.89,26W37,09/11,-2,-2395,-18.9,-0.17,7,4851,6.66,0.34,1,119,2.3,0.01,1,492,9.5,0.03
3044,健鼎,508.0,5.0,0.99,26W37,09/11,1,198,1.53,0.04,7,4877,3.8,0.93,-4,-595,-0.95,-0.11,1,496,3.81,0.09
