排名,代號,名稱,成交,漲跌 價,漲跌 幅,成交 張數,更新 日期,當日 增減 (%),2日 增減 (%),3日 增減 (%),5日 增減 (%),10日 增減 (%),1個月 增減 (%),3個月 增減 (%),半年 增減 (%),1年 增減 (%),今年 增減 (%)
1,6109,亞元,10.65,-0.1,-0.93,100,09/11,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
2,8444,綠河-KY,4.5,-0.26,-5.46,1,09/11,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
3,6183,關貿,91.2,-0.1,-0.11,19,09/11,0.0,0.0,0.0,-77.8,-77.8,-77.8,-80.0,-85.7,-94.4,-87.5
4,00924,復華S&P500成長,32.54,-0.2,-0.61,1751,09/11,-3.33,0.0,-29.3,-77.0,-77.2,-71.8,-50.8,-76.8,-89.9,-87.4
5,00932,兆豐永續高息等權,17.2,-0.06,-0.35,400,09/11,0.0,0.0,0.0,-75.0,-73.7,-93.1,25.0,-87.2,-97.2,-94.8
6,2235,謚源,28.8,1.0,3.6,2,09/11,0.0,0.0,-10.0,-71.0,-71.0,-71.9,-74.3,-76.3,-80.0,-75.7
7,6103,合邦,30.3,-2.0,-6.19,14,09/11,-21.1,-37.5,-34.8,-60.5,-59.5,87.5,25.0,,,
8,3045,台灣大,121.0,1.0,0.83,5785,09/11,-42.7,-31.6,-56.8,-54.7,-90.7,-95.8,-72.7,-93.9,-93.1,-90.3
9,00898,國泰基因免疫革命,10.52,-0.1,-0.94,511,09/11,0.99,-51.4,-51.5,-52.4,-53.1,-20.8,2300.0,920.0,348.0,392.0
10,00741B,富邦全球非投等債,36.83,-0.04,-0.11,68,09/11,-50.0,-50.0,-50.0,-50.0,-75.0,-75.0,-90.0,-95.7,-92.9,-93.8
11,00901,永豐智能車供應鏈,45.85,-0.87,-1.86,182,09/11,0.0,0.0,0.0,-50.0,-50.0,-50.0,-80.0,-99.4,-90.0,-99.7
12,1516,川飛,13.95,-0.55,-3.79,18,09/11,0.0,0.0,0.0,-50.0,-50.0,-50.0,-50.0,-95.5,-99.6,-99.3
13,6464,台數科,76.5,-1.2,-1.54,13,09/11,0.0,0.0,0.0,-50.0,-50.0,0.0,,,-85.7,0.0
14,6730,常廣,31.5,-0.3,-0.94,7,09/11,-50.0,-50.0,-50.0,-50.0,-50.0,0.0,,,,
15,6918,愛派司,72.9,-1.8,-2.41,65,09/11,-47.4,-45.1,-45.1,-46.8,-47.4,-42.5,-18.0,127.0,,525.0
16,009814,富邦標普500,11.24,-0.01,-0.09,407,09/11,10.0,-26.7,-57.7,-45.0,-45.0,-8.33,-54.2,-66.7,,-54.2
17,00733,富邦臺灣中小,66.35,-1.3,-1.92,238,09/11,-15.8,-20.0,-56.2,-40.7,-37.3,-68.9,-47.5,-73.8,-92.9,-87.4
18,8481,政伸,40.9,-0.5,-1.21,10,09/11,0.0,-40.0,-40.0,-40.0,-40.0,-70.0,0.0,-70.0,-70.0,-25.0
19,009802,富邦旗艦50,19.92,-0.35,-1.73,6116,09/11,-0.73,-12.5,-15.7,-35.5,-12.6,102.0,1.87,514.0,14.3,381.0
20,6136,富爾特,24.7,0.05,0.2,246,09/11,-7.98,-23.6,-30.5,-35.3,-41.8,-59.1,-58.6,-50.4,-71.1,-60.8
21,00923,群益台ESG低碳50,39.85,-0.53,-1.31,6327,09/11,0.4,-0.87,-1.06,-34.2,-41.4,-4.06,781.0,-13.9,927.0,1536.0
22,3094,聯傑,40.9,-1.0,-2.39,2294,09/11,-3.39,-4.38,-2.2,-34.2,17.0,38.6,49.1,112.0,131.0,172.0
23,6277,宏正,76.3,-1.3,-1.68,245,09/11,-31.9,-33.8,-33.6,-33.3,-32.7,0.66,-29.4,-1.93,13.4,12.5
24,00930,永豐ESG低碳高息,23.91,-0.21,-0.87,1853,09/11,43.1,56.6,59.6,-32.0,-19.4,-17.0,277.0,-62.6,-81.3,-69.5
25,2755,揚秦,98.2,-0.5,-0.51,34,09/11,-4.0,-4.0,-4.0,-31.4,-29.4,-33.3,-63.6,-75.8,-69.2,-70.0
26,5547,久舜,19.95,0.1,0.5,42,09/11,-16.4,-17.7,-17.7,-30.1,-3.77,143.0,,,,
27,1268,漢來美食,171.5,-1.0,-0.58,25,09/11,-14.3,-5.26,-5.26,-28.0,-14.3,0.0,38.5,-76.6,-82.5,-82.5
28,00402A,主動安聯美國科技,9.46,-0.08,-0.84,4089,09/11,-2.71,-24.8,-27.1,-27.8,-28.3,-37.2,-60.4,,,
29,00715L,期街口布蘭特正2,70.65,7.65,12.1,14497,09/11,-21.2,-25.7,-28.9,-27.4,-37.1,-54.5,-72.1,-78.8,-92.0,-90.0
30,1604,聲寶,23.45,-0.05,-0.21,204,09/11,-25.4,-25.4,-25.4,-27.1,-1.24,-20.5,-26.0,-58.5,-61.0,-54.0
31,00407A,主動凱基台灣,9.55,-0.13,-1.34,29329,09/11,0.05,-28.1,-26.8,-26.6,-28.7,-34.4,,,,
32,5538,東明-KY,35.7,-0.8,-2.19,72,09/11,-14.3,-14.3,-17.0,-26.4,1.3,-6.02,388.0,66.0,-17.9,14.7
33,5274,信驊,17885.0,-815.0,-4.36,230,09/11,9.74,2.42,-10.6,-25.6,-0.59,29.0,79.8,76.0,-16.7,19.0
34,00682U,期元大美元指數,20.39,0.07,0.34,7,09/11,0.0,-25.0,-25.0,-25.0,-75.0,-75.0,-40.0,0.0,-80.0,-50.0
35,00957B,兆豐US優選投等債,12.75,-0.05,-0.39,352,09/11,-25.0,-25.0,-25.0,-25.0,-25.0,-70.0,-81.2,-88.0,-98.5,-98.8
36,1470,大統新創,23.95,0.05,0.21,30,09/11,50.0,0.0,-25.0,-25.0,-40.0,-25.0,-50.0,-57.1,-62.5,-40.0
37,2014,中鴻,16.65,-0.25,-1.48,3239,09/11,-5.58,-22.6,-23.4,-24.4,-28.4,-37.5,-66.3,-72.8,-92.5,-86.0
38,00400A,主動國泰動能高息,14.8,-0.21,-1.4,39736,09/11,-1.07,-10.1,-11.2,-24.3,-12.5,-8.62,-23.2,,,
39,3419,譁裕,11.0,-0.3,-2.65,76,09/11,-0.14,-0.28,-4.63,-24.3,-27.2,-32.7,-44.8,-64.0,-81.6,-75.5
40,00955,中信日本商社,16.43,0.08,0.49,3409,09/11,-3.34,-20.4,-19.6,-23.8,16.9,8.66,-42.1,-63.3,-27.9,-19.1
41,00905,FT臺灣Smart,26.35,-0.39,-1.46,1314,09/11,0.3,1.22,4.08,-23.1,-1.48,-18.4,48.2,65.2,-45.6,10.7
42,00971,野村美國研發龍頭,17.16,-0.04,-0.23,118,09/11,0.0,-23.1,-23.1,-23.1,-56.5,-23.1,-80.4,-95.6,-93.8,-96.1
43,2889,國票金,16.75,0.2,1.21,17403,09/11,-5.59,-2.78,-27.4,-22.6,-1.36,4.22,27.0,278.0,7.87,166.0
44,3038,全台,20.0,-0.1,-0.5,351,09/11,-10.8,-15.3,-18.4,-22.5,-23.3,-21.1,-3.77,-6.89,-28.3,-18.6
45,3168,眾福科,42.75,0.3,0.71,4,09/11,0.0,0.0,0.0,-22.2,0.0,-26.3,-40.4,-39.1,7.69,-24.3
46,9925,新保,39.55,-0.15,-0.38,385,09/11,-12.5,-22.2,-22.2,-22.2,0.0,250.0,-22.2,75.0,40.0,-50.0
47,2030,彰源,23.5,-0.15,-0.63,2375,09/11,-5.5,-9.39,-7.61,-22.2,-26.1,-33.5,28.1,46.8,130.0,68.8
48,4442,竣邦-KY,55.0,1.0,1.85,814,09/11,-3.91,-33.9,-37.6,-22.2,-22.6,-30.1,95.2,-57.0,,30.9
49,009824,群益美國科技巨頭,10.02,-0.05,-0.5,3484,09/11,-3.97,-3.88,-5.08,-21.3,-27.9,-41.9,,,,
50,00989A,主動摩根美國科技,16.68,-0.14,-0.83,151,09/11,-1.27,-1.27,-1.27,-21.2,-22.8,-45.5,-35.0,-83.5,,-86.9
51,2801,彰銀,27.9,1.05,3.91,38087,09/11,-25.3,-23.5,-30.6,-20.3,-11.9,-15.0,-53.9,-33.9,-5.16,-6.99
52,5876,上海商銀,48.65,0.75,1.57,7005,09/11,2.28,-0.74,0.94,-20.1,-30.6,-31.2,-54.7,-61.6,-30.5,-67.5
53,1264,德麥,248.5,-0.5,-0.2,30,09/11,0.0,0.0,-42.9,-20.0,-20.0,100.0,300.0,,,
54,3611,鼎翰,182.0,-1.0,-0.55,44,09/11,-10.0,-20.4,-20.4,-20.0,-18.6,-32.4,-11.1,-14.8,-16.8,-29.8
55,2886,兆豐金,51.7,1.8,3.61,35913,09/11,-6.29,-3.72,-4.22,-19.9,-36.8,-22.2,108.0,39.6,15.4,22.4
56,2912,統一超,216.5,-2.0,-0.92,1098,09/11,-0.57,-17.9,-18.3,-19.4,-15.6,-24.3,-9.9,-18.0,8.35,-23.5
57,9905,大華,21.35,-0.15,-0.7,121,09/11,-7.41,-19.4,-19.4,-19.4,-21.9,0.0,-21.9,-79.3,-84.4,-76.9
58,6790,永豐實,37.8,-0.1,-0.26,178,09/11,-19.1,-19.1,-19.1,-19.1,-19.1,-22.1,46.2,28.1,-1.94,24.9
59,00915,凱基優選高股息30,32.92,0.1,0.3,2601,09/11,-2.97,1.03,0.0,-19.0,53.1,206.0,-14.8,-49.2,-88.2,-76.7
60,00878,國泰永續高股息,34.0,-0.15,-0.44,36780,09/11,-0.34,-2.17,-7.74,-18.9,-48.6,-32.8,-5.23,-21.5,-50.9,-11.0
61,8464,億豐,371.0,2.5,0.68,341,09/11,-10.2,-3.64,-19.7,-18.5,-41.8,12.8,-54.3,-59.5,-97.5,-69.2
62,3711,日月光投控,618.0,-32.0,-4.92,22696,09/11,5.45,0.01,-6.17,-18.3,-15.7,-17.8,26.1,126.0,49.1,12.3
63,2885,元大金,70.0,0.3,0.43,17924,09/11,-8.58,-8.96,-9.45,-18.2,-41.4,-16.2,-38.3,-13.5,-42.4,40.1
64,1219,福壽,11.4,-0.15,-1.3,246,09/11,-9.66,-14.1,-15.4,-17.8,-23.4,45.2,-47.3,-70.3,-80.8,-56.0
65,9962,有益,9.98,-0.07,-0.7,65,09/11,-13.7,-18.0,-18.0,-17.7,-17.5,-10.0,-9.73,-35.3,-9.45,-13.7
66,2423,固緯,72.2,-0.8,-1.1,121,09/11,-10.4,-17.7,-17.5,-17.7,-22.4,-44.1,-34.4,233.0,-4.08,126.0
67,6423,億而得,81.5,-1.7,-2.04,35,09/11,0.19,0.39,0.58,-17.7,-17.7,-23.2,-24.7,38.6,644.0,604.0
68,2103,台橡,25.75,-0.1,-0.39,2540,09/11,-2.02,-7.29,-3.88,-17.7,-14.5,-18.7,-1.65,1.49,126.0,117.0
69,2114,鑫永銓,89.2,0.1,0.11,26,09/11,0.0,-6.67,-6.67,-17.6,-48.1,133.0,-17.6,-78.8,-33.3,-65.9
70,2637,慧洋-KY,101.0,0.5,0.5,6806,09/11,-6.48,-14.5,-18.0,-17.6,-27.0,18.4,-4.72,-44.7,-72.5,-63.2
71,3066,李洲,23.2,-0.7,-2.93,382,09/11,0.0,-1.65,-0.09,-17.5,-22.8,-18.1,34.0,59.1,89.6,95.1
72,6804,明係,17.8,-0.45,-2.47,119,09/11,-17.0,-17.0,-17.0,-17.0,-22.9,-30.7,-40.6,-8.66,201.0,-4.17
73,6206,飛捷,138.0,3.0,2.22,1817,09/11,-0.81,0.38,-9.94,-17.0,-21.2,-34.3,-25.4,-45.7,-57.5,-43.7
74,4168,醣聯,21.8,0.2,0.93,93,09/11,-15.8,-15.8,-16.9,-16.9,-19.0,-31.2,-59.7,-77.2,-92.0,-85.9
75,7767,仁大資訊,45.65,0.95,2.13,53,09/11,0.0,0.0,0.0,-16.7,-16.7,,,,,
76,4306,炎洲,14.7,-0.2,-1.34,1649,09/11,-15.7,-15.5,-15.8,-16.4,-12.9,-2.51,-0.65,20.8,13.1,17.0
77,00995A,主動中信台灣卓越,17.06,-0.32,-1.84,3642,09/11,-1.85,-1.68,-13.4,-16.3,-8.17,16.5,-3.13,-18.0,,
78,009811,統一美國50,13.14,-0.02,-0.15,1293,09/11,0.0,-3.7,-7.14,-16.1,-38.1,-33.3,-71.1,-91.8,-98.5,-93.6
79,6640,均華,1170.0,-40.0,-3.31,394,09/11,-2.33,-5.23,-11.1,-15.8,20.2,18.4,40.5,28.1,,690.0
80,2455,全新,515.0,-17.0,-3.2,1842,09/11,-1.2,-2.82,-5.81,-15.7,-6.03,-29.9,-17.8,-22.1,75.1,11.3
81,1323,永裕,21.65,0.3,1.41,164,09/11,-5.8,-5.8,-5.8,-15.6,-15.6,-20.7,-76.5,35.4,-33.0,1.56
82,2601,益航,6.54,-0.12,-1.8,2501,09/11,-12.3,-14.5,-15.1,-15.5,-17.8,-41.6,-71.7,-89.9,-96.4,-94.6
83,1590,亞德客-KY,1285.0,-20.0,-1.53,1173,09/11,0.92,-1.79,8.91,-15.4,-20.9,-52.6,-37.1,-5.17,-80.3,-36.0
84,1560,中砂,790.0,57.0,7.78,4096,09/11,-7.83,-9.24,-12.4,-15.4,-11.2,-26.7,-23.6,-42.1,-70.3,-62.3
85,1527,鑽全,32.45,-0.15,-0.46,144,09/11,-3.3,-5.46,-12.2,-15.1,-23.6,-26.3,-34.0,-31.8,-6.16,-24.0
86,6719,力智,180.0,-4.5,-2.44,694,09/11,-1.69,-2.21,-10.0,-14.9,-15.2,-8.71,10.8,198.0,34.7,173.0
87,2707,晶華,177.5,0.0,0.0,96,09/11,-5.26,-11.3,-13.7,-14.9,-3.82,-24.6,12.5,-22.2,-43.2,-48.6
88,00947,台新臺灣IC設計,36.98,-1.16,-3.04,5348,09/11,5.62,11.7,-4.86,-14.7,-27.2,-28.5,52.7,224.0,1105.0,826.0
89,2880,華南金,45.85,1.05,2.34,18674,09/11,-27.5,-6.59,-4.45,-14.7,-65.9,-34.3,-9.57,102.0,14.2,48.9
90,3441,聯一光,166.0,15.0,9.93,23116,09/11,-9.46,-4.43,-2.24,-14.4,14.6,24.8,44.7,119.0,231.0,92.0
91,8401,白紗科,22.65,0.0,0.0,87,09/11,0.0,0.0,-14.6,-14.3,-14.6,-14.9,-21.1,-30.7,-38.1,-4.02
92,6510,精測,3480.0,-190.0,-5.18,1105,09/11,-10.6,-13.8,-22.1,-14.3,-0.13,13.9,31.3,171.0,-14.3,139.0
93,00850,元大臺灣ESG永續,92.1,-1.15,-1.23,385,09/11,-7.69,-7.69,-20.0,-14.3,-20.0,-29.4,71.4,71.4,9.09,9.09
94,8102,傑霖科技,63.0,-0.1,-0.16,6,09/11,0.0,0.0,-14.3,-14.3,-14.3,-45.5,,,,
95,6771,平和環保-創,41.75,0.05,0.12,24,09/11,-3.51,-9.84,-11.3,-14.1,-28.6,-59.6,12.2,-14.1,-66.0,-23.6
96,00892,富邦台灣半導體,41.41,-1.01,-2.38,5798,09/11,0.18,-1.07,-5.77,-14.0,-13.8,-27.4,85.3,3071.0,2543.0,9991.0
97,00888,永豐台灣ESG,34.04,-0.56,-1.62,6372,09/11,-13.0,-3.66,-5.14,-13.6,-26.5,-36.6,708.0,6066.0,9623.0,1585.0
98,00993A,主動安聯台灣,13.14,-0.27,-2.01,4335,09/11,4.0,-0.11,7.8,-13.6,-3.28,-38.7,-58.0,-88.2,,
99,00683L,期元大美元指正2,21.27,0.15,0.71,144,09/11,0.0,0.0,8.33,-13.3,8.33,-77.5,-14.5,-88.7,-91.0,-86.8
100,3211,順達,362.0,-12.0,-3.21,1804,09/11,-0.77,-1.7,-8.8,-13.0,-14.8,-33.5,-18.7,26.7,-16.3,72.5
101,2546,根基,101.0,-2.5,-2.42,157,09/11,-4.55,-4.0,-5.62,-13.0,-26.6,30.2,185.0,93.1,-36.8,97.6
102,2855,統一證,51.9,0.2,0.39,3714,09/11,-1.67,-7.14,-9.83,-12.9,-9.75,-17.9,-39.5,-1.77,15.7,47.9
103,2603,長榮,234.5,3.5,1.52,8626,09/11,-2.41,-3.25,-10.6,-12.9,-11.4,-28.7,-16.8,-36.1,-39.7,-41.7
104,00647L,元大S&P500正2,134.8,-1.45,-1.06,42,09/11,-19.0,-17.1,-15.0,-12.8,-17.1,-12.8,-22.7,-24.4,-40.4,3.03
105,2207,和泰車,530.0,2.0,0.38,157,09/11,0.0,-4.65,-10.9,-12.8,-31.7,-45.3,-71.3,-61.0,-43.1,-57.7
106,4585,達明,298.0,7.5,2.58,775,09/11,-0.49,-0.33,2.36,-12.7,-9.81,-0.49,0.0,,,
107,1503,士電,202.0,-3.0,-1.46,1253,09/11,-1.27,-8.31,-13.2,-12.6,-18.1,-4.45,-25.0,-7.25,-36.4,-31.7
108,4745,合富-KY,11.7,-0.05,-0.43,21,09/11,0.0,-2.17,-3.23,-12.6,-11.8,-27.4,-46.7,-81.7,-63.0,-91.0
109,4707,磐亞,26.15,-0.6,-2.24,2066,09/11,-0.12,0.38,-8.65,-12.6,-11.5,-12.1,17.6,450.0,434.0,434.0
110,00909,國泰數位支付服務,46.59,-1.22,-2.55,1013,09/11,-1.27,-10.1,-11.5,-12.6,-28.5,-8.73,-3.02,-55.5,-6.53,-74.1
111,6021,美好證,43.05,0.25,0.58,389,09/11,-5.71,-4.29,-4.9,-12.5,-17.1,10.4,-55.8,-29.4,-0.22,6.19
112,00895,富邦未來車,49.65,-0.75,-1.49,222,09/11,-2.53,-8.33,-8.33,-12.5,-17.2,16.7,18.5,-56.7,-57.7,-73.5
113,5903,全家,184.0,-1.0,-0.54,10,09/11,0.0,0.0,0.0,-12.5,-12.5,-12.5,-53.3,-65.0,-82.1,-69.6
114,6933,AMAX-KY,320.0,-16.0,-4.76,493,09/11,-7.03,-9.17,-9.75,-12.4,9.46,50.2,117.0,191.0,146.0,140.0
115,7753,星亞,36.2,-0.25,-0.69,15,09/11,0.0,-12.3,-12.3,-12.3,-12.3,-14.5,20.3,610.0,,
116,00646,元大S&P500,75.85,-0.15,-0.2,1742,09/11,-5.88,-5.88,-11.1,-12.3,-61.0,23.1,-35.4,-20.0,-40.2,-64.6
117,2534,宏盛,16.75,-0.05,-0.3,142,09/11,-0.01,-0.17,-0.17,-12.3,-12.0,-37.3,-36.8,-35.3,-11.1,-26.4
118,00858,永豐美國500大,35.41,-0.1,-0.28,627,09/11,0.0,0.0,-12.3,-12.3,-15.3,-18.0,100.0,-59.0,-71.4,-65.5
119,00980A,主動野村臺灣優選,24.32,-0.42,-1.7,8302,09/11,-4.24,-5.91,-6.28,-12.1,-24.0,-33.5,-22.4,-26.8,-33.7,11.2
120,6171,大城地產,25.95,-0.35,-1.33,53,09/11,0.43,0.43,0.87,-12.1,-10.7,-13.4,-16.2,-13.1,45.6,35.5
121,4163,鐿鈦,128.5,-0.5,-0.39,52,09/11,-0.65,-2.55,-8.38,-12.1,-7.27,-16.4,-41.2,248.0,282.0,446.0
122,00410A,主動永豐科技趨勢,11.84,-0.11,-0.92,7295,09/11,-15.1,-11.8,-9.44,-12.0,40.4,886.0,,,,
123,1102,亞泥,35.3,-0.15,-0.42,5226,09/11,-1.85,-3.75,-5.7,-12.0,-30.6,-55.1,-65.0,-47.5,-45.8,-51.7
124,8916,光隆,41.0,0.0,0.0,13,09/11,-0.61,-3.55,-3.55,-11.9,-17.3,-20.5,10.1,20.7,-5.78,35.8
125,2392,正崴,42.3,-1.1,-2.53,2532,09/11,-3.14,-3.93,-5.1,-11.8,-23.7,-23.6,-30.2,-48.9,-61.8,-52.0
126,2359,所羅門,128.0,-2.0,-1.54,2493,09/11,0.07,-3.56,-4.14,-11.8,-9.9,-5.06,6.6,5.35,-28.6,-4.9
127,00700,富邦恒生國企,16.83,0.02,0.12,112,09/11,-9.29,-11.8,-11.8,-11.8,-14.2,-22.6,-31.0,-31.0,-23.0,-2.31
128,009819,中信數據及電力,9.72,-0.09,-0.92,2964,09/11,-6.14,-9.69,-15.8,-11.8,-4.43,2.3,-43.3,,,
129,6223,旺矽,5620.0,0.0,0.0,739,09/11,-2.31,-3.77,-8.03,-11.5,-5.42,30.4,-9.92,18.6,-40.9,-6.07
130,6491,晶碩,367.5,1.0,0.27,274,09/11,-5.72,-7.54,-9.3,-11.5,3.69,-0.62,-12.8,-38.1,-63.2,-38.3
131,6792,詠業,57.6,-1.0,-1.71,29,09/11,-1.85,-0.75,-11.0,-11.3,-1.85,-0.37,-11.0,-31.6,-33.3,-3.97
132,00692,富邦公司治理,92.2,-1.25,-1.34,415,09/11,0.0,0.0,0.0,-11.3,-26.6,-47.2,-14.5,38.2,422.0,-24.2
133,7631,聚賢研發-創,138.0,-3.5,-2.47,93,09/11,-8.84,-12.2,-12.0,-11.3,-8.33,143.0,,,,
134,8929,富堡,12.95,-0.05,-0.38,5,09/11,0.0,0.0,-3.74,-11.2,-12.7,-18.3,-46.1,-69.8,-69.3,-68.5
135,7788,松川精密,286.5,-21.5,-6.98,1966,09/11,-1.07,2.55,-6.06,-11.1,5.28,50.1,33.3,,,
136,2820,華票,17.4,0.35,2.05,6055,09/11,-3.84,0.86,0.0,-11.1,-25.3,-31.4,-55.5,-50.8,-18.0,39.3
137,4767,誠泰科技,27.9,-1.35,-4.62,41,09/11,6.67,14.3,-5.88,-11.1,129.0,220.0,167.0,-30.4,6.67,23.1
138,6996,力領科技,165.0,-3.5,-2.08,60,09/11,-7.79,-7.79,-8.68,-11.0,-12.9,-17.4,-25.8,125.0,42.0,34.6
139,1714,和桐,15.35,-1.15,-6.97,19763,09/11,-11.0,-11.7,-11.9,-10.9,5.52,11.1,-9.13,223.0,197.0,241.0
140,8085,福華,14.45,-0.5,-3.34,236,09/11,-8.47,-9.19,-9.91,-10.7,-14.2,-17.1,-38.0,-74.1,-89.1,-81.3
141,3564,其陽,47.3,0.0,0.0,88,09/11,-0.47,-4.93,-3.78,-10.7,25.4,1.27,-6.47,-40.7,-60.2,-43.2
142,6664,群翊,336.0,-10.5,-3.03,344,09/11,-6.41,-7.79,-10.2,-10.7,-9.91,-6.66,-16.1,47.8,-34.7,-8.28
