排名,代號,名稱,成交,漲跌 價,漲跌 幅,法人 買賣 日期,當日 買賣超 佔 成交,2日 買賣超 佔 成交,3日 買賣超 佔 成交,5日 買賣超 佔 成交,10日 買賣超 佔 成交,1個月 買賣超 佔 成交,3個月 買賣超 佔 成交,半年 買賣超 佔 成交,1年 買賣超 佔 成交,3年 買賣超 佔 成交,10年 買賣超 佔 成交,今年 買賣超 佔 成交
1,009803,玉山市值動能50,21.64,-0.12,-0.55,09/14,-91.3,-91.2,-90.7,-89.4,-80.6,-73.6,-48.2,-33.5,-27.4,,,-30.7
2,020036,元大金融配息N,11.6,0.0,0.0,09/14,,,-100.0,-84.6,-50.0,-55.6,13.4,5.57,17.1,21.2,,10.0
3,00962,台新AI優息動能,15.0,-0.01,-0.07,09/14,-94.0,-91.5,-90.2,-84.6,-79.6,-72.1,-49.8,-30.4,-17.2,,,-23.7
4,00712,復華富時不動產,8.32,-0.06,-0.72,09/14,-87.4,-88.0,-85.6,-84.5,-83.4,-75.7,-13.7,-17.8,-11.9,-14.6,,-14.1
5,0053,元大電子,238.95,-2.2,-0.91,09/14,-66.5,-88.2,-89.3,-83.5,-69.9,-59.8,-32.7,-24.7,-19.2,-10.8,8.71,-20.2
6,00982T,平衡兆豐台美動能,15.84,-0.07,-0.44,09/14,-77.0,-83.8,-78.9,-83.2,-58.9,-44.8,-0.96,8.24,,,,4.41
7,00770,國泰北美科技,67.75,0.15,0.22,09/14,-92.6,-91.9,-88.5,-82.4,-69.5,-67.8,-29.1,7.94,-7.11,-5.85,,-6.39
8,00896,中信綠能及電動車,27.83,-0.09,-0.32,09/14,-80.8,-84.2,-82.6,-80.8,-71.8,-65.1,-23.8,-27.1,-23.8,-13.0,,-21.6
9,020039,元大加權N,14.66,-0.1,-0.68,09/14,-100.0,-90.2,-87.2,-79.0,24.8,48.9,46.1,48.5,33.6,,,38.8
10,00961,FT臺灣永續高息,13.4,0.04,0.3,09/14,-78.5,-79.2,-82.2,-78.8,-61.3,-57.3,-56.2,-47.7,-19.9,,,-41.7
11,00930,永豐ESG低碳高息,23.85,-0.06,-0.25,09/14,-64.6,-83.8,-80.5,-78.4,-58.7,-42.2,-1.33,34.2,46.6,-1.04,,44.1
12,2939,永邑-KY,19.55,-0.15,-0.76,09/14,-38.4,-98.1,-83.4,-76.3,-74.8,-68.8,-28.6,-19.7,-14.2,4.39,,-16.4
13,00867B,台新A-BBB電信債,28.79,0.0,0.0,09/14,-100.0,-96.1,-98.2,-76.3,-9.6,-5.62,-2.75,-1.26,66.9,75.4,,-0.28
14,00918,大華優利高填息30,35.51,0.17,0.48,09/14,-67.6,-72.4,-75.7,-74.7,-71.7,-66.9,-18.4,-7.6,-4.46,-20.7,,-3.46
15,009826,貝萊德世界股票,9.98,0.01,0.1,09/14,-69.2,-74.0,-78.4,-72.5,-68.2,-70.2,,,,,,
16,00929,復華台灣科技優息,28.6,-0.02,-0.07,09/14,-68.1,-76.5,-74.7,-72.4,-54.0,-50.0,-32.6,10.0,27.3,-3.08,,23.3
17,00982B,FT投資級債20+,9.33,0.02,0.21,09/14,-21.4,-0.85,-30.5,-72.2,-74.1,-68.2,-33.0,6.13,14.2,,,20.5
18,00673R,期元大S&P原油反1,10.04,-0.02,-0.2,09/14,-71.2,-74.6,-73.8,-68.0,-75.2,-67.1,-24.2,-19.6,-16.0,-0.46,,-21.1
19,020041,兆豐半導體氣候N,19.79,-0.15,-0.75,09/14,-33.3,-3.7,-47.2,-66.7,-47.5,-22.2,-19.0,8.33,-4.81,,,-4.85
20,00406A,主動中信台灣收益,9.39,-0.05,-0.53,09/14,-64.3,-76.0,-75.2,-63.6,-49.8,-52.5,-47.5,,,,,
21,00919,群益台灣精選高息,32.89,0.41,1.26,09/14,-41.7,-55.2,-58.3,-63.1,-52.9,-35.1,-11.2,-0.65,3.81,-23.5,,-0.51
22,020033,統一恒生科期N,3.45,-0.01,-0.29,09/14,-100.0,-21.4,-49.6,-61.4,-64.1,-46.6,44.9,24.2,-8.51,-1.4,,18.4
23,00404A,主動聯博動能50,9.8,-0.02,-0.2,09/14,-69.3,-71.9,-67.9,-61.1,-42.7,-31.7,-16.1,,,,,
24,00998A,主動復華金融股息,17.77,0.09,0.51,09/14,-71.8,-27.8,-42.1,-57.9,-57.0,-54.7,-29.2,,,,,
25,00401A,主動摩根台灣鑫收,13.87,-0.07,-0.5,09/14,-30.8,-57.3,-56.4,-56.0,-29.5,-13.7,-4.08,,,,,
26,00921,兆豐龍頭等權重,24.1,-0.24,-0.99,09/14,-61.6,-68.3,-66.5,-55.8,-59.8,-51.4,-11.0,24.3,44.0,0.52,,42.0
27,2506,太設,8.58,-0.12,-1.38,09/14,-62.1,-69.8,-57.9,-53.6,-43.8,-38.2,-7.19,-1.14,-1.97,0.01,-1.12,-0.95
28,1733,五鼎,30.35,-0.45,-1.46,09/14,-76.3,-61.7,-56.7,-53.1,-12.3,-8.22,2.71,-0.49,-3.75,-0.41,-0.24,-3.45
29,00917,中信特選金融,23.8,0.15,0.63,09/14,-42.2,-17.8,-34.8,-52.5,-33.5,-24.8,-2.01,10.8,-9.75,-3.18,,-11.3
30,00682U,期元大美元指數,20.39,0.0,0.0,09/14,,-57.2,-40.0,-52.1,0.84,25.2,26.4,46.3,16.2,28.3,,15.2
31,009828,中信台日韓PCB,9.35,-0.1,-1.06,09/14,-42.9,-53.0,-52.3,-50.9,,,,,,,,
32,00646,元大S&P500,76.15,0.3,0.4,09/14,-43.0,-46.7,-49.7,-50.8,-63.1,-60.3,-31.1,-25.5,-15.7,-13.0,-13.5,-23.4
33,3666,光耀,25.0,0.0,0.0,09/14,25.0,2.23,5.16,-50.6,-33.6,-16.0,-5.78,-2.77,1.25,0.15,-0.03,0.72
34,6890,來億-KY,147.5,-2.5,-1.67,09/14,-38.9,-38.4,-38.9,-49.6,-29.9,-16.7,-1.07,11.0,4.35,,,7.21
35,00999A,主動野村臺灣高息,11.33,-0.03,-0.26,09/14,-48.9,-58.9,-58.0,-49.5,-25.4,11.8,29.8,,,,,
36,3716,中化控股,33.85,0.0,0.0,09/14,-36.1,-29.4,-40.0,-48.3,-30.7,-11.1,-0.41,3.39,3.84,,,3.8
37,0055,元大MSCI金融,50.3,0.98,1.99,09/14,-59.0,-43.4,-44.5,-48.1,-46.7,-34.1,-14.2,-9.99,-7.74,4.77,-0.14,-10.2
38,00985B,群益ESG投等債0-5,10.09,0.01,0.1,09/14,-33.2,-44.6,-41.1,-47.5,-59.1,-57.7,-26.0,-15.2,6.14,,,-10.4
39,006203,元大MSCI台灣,194.6,-1.65,-0.84,09/14,-34.9,-55.7,-57.3,-47.4,-23.4,-24.1,-13.2,-2.7,-1.34,-1.18,-3.96,-2.57
40,3416,融程電,161.0,0.5,0.31,09/14,-6.99,2.39,-11.4,-47.2,-37.4,-24.5,5.24,3.45,1.32,-0.15,0.27,2.43
41,00662,富邦NASDAQ,118.15,-0.25,-0.21,09/14,-55.9,-56.7,-49.0,-46.4,-44.8,-34.6,-29.2,-29.2,-28.5,-21.4,-21.0,-29.1
42,2762,世界健身-KY,79.5,-0.4,-0.5,09/14,-78.4,-47.2,-45.3,-46.4,-40.4,-23.3,-11.9,-2.8,18.9,,,-2.78
43,00753L,中信中國50正2,8.89,0.04,0.45,09/14,10.1,-30.5,-40.8,-46.1,-25.8,-16.3,4.59,1.72,-0.04,-0.7,,2.3
44,00943,兆豐電子高息等權,20.87,0.03,0.14,09/14,-23.0,-30.1,-41.5,-45.5,-39.3,-30.4,-4.39,22.1,39.8,,,33.5
45,00648R,元大S&P500反1,3.96,0.0,0.0,09/14,-65.5,-31.4,-27.2,-44.9,-33.8,6.5,-8.25,-1.45,6.1,0.15,0.75,6.84
46,5522,遠雄,61.1,-1.5,-2.4,09/14,-75.2,-61.0,-57.1,-44.7,-20.2,-10.2,-12.4,-5.56,0.33,0.95,-0.4,-4.61
47,1723,中碳,81.9,0.2,0.24,09/14,-36.9,-47.4,-55.9,-44.1,-34.5,-5.33,2.78,6.78,2.96,-0.99,0.39,6.17
48,2538,基泰,8.67,-0.07,-0.8,09/14,-25.0,-24.9,-42.3,-44.0,-37.6,-22.8,-17.4,-6.9,-5.38,-1.26,-1.47,-6.99
49,00990B,國泰收益非投等債,9.91,0.01,0.1,09/14,-82.7,-9.86,-13.0,-43.8,-45.7,-16.6,,,,,,
50,00739,元大MSCI A股,27.25,0.15,0.55,09/14,5.61,-45.2,-32.6,-43.7,-2.64,6.26,12.7,16.4,22.5,14.2,,21.9
51,1783,和康生,36.4,0.0,0.0,09/14,-54.2,-50.0,-46.8,-43.7,-24.2,-8.51,1.64,-0.65,-1.1,0.42,0.02,-0.17
52,3669,圓展,32.35,0.05,0.15,09/14,-11.9,-37.5,-29.7,-43.7,-36.3,-14.1,1.18,1.37,0.91,0.39,0.09,1.41
53,00964,中信亞太高股息,14.93,0.07,0.47,09/14,-48.8,-58.1,-55.0,-43.3,-41.9,-7.47,-5.85,-7.25,-10.7,,,-10.0
54,6863,永道-KY,92.9,1.7,1.86,09/14,-13.4,-45.4,-46.0,-42.3,-33.1,-19.7,2.29,0.53,-0.74,-0.01,,-1.08
55,6129,普誠,13.75,-1.0,-6.78,09/14,-42.0,-42.0,-42.0,-42.0,0.45,-6.85,-1.71,-0.16,0.84,1.1,-0.19,0.26
