排名,代號,名稱,成交,漲跌 價,漲跌 幅,更新 日期,當日 增減 張數,2日 增減 張數,3日 增減 張數,5日 增減 張數,10日 增減 張數,1個月 增減 張數,3個月 增減 張數,半年 增減 張數,1年 增減 張數,今年 增減 張數
1,2409,友達,27.9,-0.8,-2.79,09/15,25021,7675,-52005,-88278,-88287,-86732.0,-88568.0,-65736.0,407439.0,434542.0
2,1101,台泥,23.8,-0.1,-0.42,09/15,-1079,-10544,-17975,-41668,-398023,-393965.0,-316756.0,9724.0,22475.0,93782.0
3,2834,臺企銀,18.0,-0.35,-1.91,09/15,-4063,-12379,-22628,-26893,-381408,-307095.0,-222873.0,-28666.0,34482.0,44619.0
4,3036,文曄,192.5,0.5,0.26,09/15,-4075,-7035,-18480,-21224,-14318,-2154.0,-18335.0,21410.0,52112.0,34625.0
5,2344,華邦電,159.5,-0.5,-0.31,09/15,7703,27461,22904,-15929,-50091,8253.0,-78908.0,43266.0,21354.0,63100.0
6,2317,鴻海,246.5,-2.0,-0.8,09/15,-2021,-9751,-13478,-15291,-15719,-8202.0,-18667.0,-43766.0,-26715.0,385.0
7,5876,上海商銀,49.8,-0.1,-0.2,09/15,-503,-4971,-6146,-14687,-20063,-26479.0,-38634.0,36586.0,40149.0,50979.0
8,6770,力積電,66.9,-3.8,-5.37,09/15,1158,1409,199,-13066,-28969,-80397.0,-220533.0,38269.0,-20135.0,42495.0
9,1216,統一,74.5,-0.1,-0.13,09/15,-2345,-5670,-9632,-12912,-26324,-104178.0,-118673.0,-75611.0,44989.0,-27673.0
10,2812,台中銀,19.35,-0.1,-0.51,09/15,-2348,-11103,-12603,-12649,-31907,-31324.0,-85090.0,15850.0,52563.0,45330.0
11,1312,國喬,14.35,-0.1,-0.69,09/15,-797,-3582,-7094,-10186,-13304,-10277.0,-5250.0,10611.0,7761.0,17988.0
12,2880,華南金,46.9,0.6,1.3,09/15,-8737,-7994,-8061,-9048,-46492,-68541.0,150193.0,276819.0,291228.0,265662.0
13,00637L,元大滬深300正2,19.26,-0.09,-0.47,09/15,0,-96,-8638,-8638,-8414,-7613.0,-5299.0,-14645.0,-9879.0,-4633.0
14,00953B,群益優選非投等債,9.56,0.03,0.31,09/15,0,-600,-8600,-7848,-9046,4088.0,14261.0,10755.0,31001.0,36435.0
15,2354,鴻準,64.6,-0.1,-0.15,09/15,-2377,-3502,-5299,-7378,-16536,-29975.0,-44856.0,-10707.0,1864.0,-7606.0
16,2845,遠東銀,13.6,-0.15,-1.09,09/15,-1839,-2924,-4627,-6714,-41436,-38982.0,-51732.0,-7509.0,9897.0,13117.0
17,00937B,群益ESG投等債20+,14.13,0.0,0.0,09/15,-2089,-3089,-6635,-6635,-6434,-29950.0,-3294.0,-42077.0,-95002.0,-47567.0
18,2886,兆豐金,51.8,-0.7,-1.33,09/15,-3851,-5036,-6134,-5644,-43401,-160822.0,253.0,-3189.0,-10071.0,17612.0
19,3702,大聯大,107.0,0.0,0.0,09/15,-592,-5461,-5232,-5232,-7080,-10309.0,-20654.0,-8741.0,-7296.0,-5651.0
20,00662,富邦NASDAQ,118.55,0.4,0.34,09/15,-4748,-4748,-4748,-4959,-4398,-4300.0,-27370.0,-17084.0,14894.0,637.0
21,0056,元大高股息,55.0,-0.4,-0.72,09/15,-545,-537,-3392,-4796,-11767,-23175.0,-66525.0,-53192.0,45993.0,-113224.0
22,2408,南亞科,465.5,-7.5,-1.59,09/15,2771,3593,604,-4554,-27345,-25931.0,1292.0,9598.0,4176.0,10192.0
23,2323,中環,10.4,-0.1,-0.95,09/15,-4386,-4386,-4386,-4417,-5628,-10037.0,-16121.0,-10770.0,-11402.0,-6624.0
24,3711,日月光投控,592.0,-20.0,-3.27,09/15,-34,-268,365,-4106,-7010,-4975.0,-31269.0,-4701.0,-91356.0,-3676.0
25,00948B,中信優息投資級債,9.03,0.02,0.22,09/15,-3200,-3200,-3346,-3346,-4674,-8200.0,1128.0,296.0,660.0,-503.0
26,1301,台塑,62.0,-0.9,-1.43,09/15,216,-605,-2750,-3300,-8771,-14494.0,-140382.0,-207283.0,-220540.0,-208590.0
27,8069,元太,146.0,0.5,0.34,09/15,-125,-40,-3322,-3272,-7026,9960.0,47939.0,52254.0,67350.0,59739.0
28,2371,大同,28.1,0.45,1.63,09/15,-874,15,-967,-3237,-12067,-15533.0,-29281.0,43695.0,95578.0,71430.0
29,2382,廣達,333.0,0.5,0.15,09/15,-257,-565,-1259,-3151,-8658,-78539.0,-156477.0,-25554.0,-55589.0,-44116.0
30,00985A,主動野村台灣50,22.37,-0.18,-0.8,09/15,0,0,0,-3100,-3100,-2801.0,-4658.0,-3631.0,1622.0,-2865.0
31,1710,東聯,15.7,-0.35,-2.18,09/15,-842,-776,-2616,-2859,-5219,-7116.0,595.0,6604.0,9651.0,10734.0
32,1605,華新,36.35,-0.65,-1.76,09/15,505,-939,-2576,-2610,-24242,-64319.0,-62472.0,-108495.0,-79658.0,-179508.0
33,6282,康舒,41.55,-0.95,-2.24,09/15,-32,-432,-689,-2602,-8768,-4192.0,14807.0,16583.0,22124.0,-10738.0
34,00865B,國泰US短期公債,48.86,0.21,0.43,09/15,-10,-10,-2510,-2510,-2049,-655.0,-3368.0,2892.0,7213.0,3905.0
35,3714,富采,60.1,-1.4,-2.28,09/15,-1422,-2074,-2084,-2399,-7917,-12532.0,-25676.0,5250.0,8422.0,7030.0
