排名,代號,名稱,成交,漲跌 價,漲跌 幅,成交 張數,更新 日期,當日 增減 (%),2日 增減 (%),3日 增減 (%),5日 增減 (%),10日 增減 (%),1個月 增減 (%),3個月 增減 (%),半年 增減 (%),1年 增減 (%),今年 增減 (%)
1,2427,三商電,24.35,1.55,6.8,5301,09/15,255.0,350.0,1025.0,13400.0,611.0,187.0,650.0,133.0,-95.7,-68.5
2,9938,百和,37.85,-0.1,-0.26,875,09/15,4.55,5.5,3733.0,3733.0,5650.0,98.3,2200.0,2775.0,2200.0,858.0
3,2468,華經,43.25,3.9,9.91,7141,09/15,93.3,162.0,1950.0,3089.0,2770.0,57300.0,1540.0,732.0,268.0,3089.0
4,6890,來億-KY,148.5,1.0,0.68,157,09/15,0.0,0.0,-3.64,2550.0,2550.0,5200.0,-80.6,39.5,308.0,-31.2
5,6994,富威電力,26.1,-1.9,-6.79,1892,09/15,1.39,-5.21,2325.0,2545.0,393.0,369.0,978.0,,9600.0,223.0
6,8227,巨有科技,249.5,8.5,3.53,1881,09/15,-23.9,-9.42,54.3,2244.0,3309.0,6150.0,3025.0,,460.0,18650.0
7,6148,驊宏資,37.5,3.4,9.97,4829,09/15,93.6,323.0,2700.0,2041.0,1483.0,264.0,2175.0,478.0,-26.2,121.0
8,2338,光罩,46.1,-1.9,-3.96,29585,09/15,-20.0,15.9,156.0,1929.0,1888.0,1083.0,1429.0,-81.1,-50.7,318.0
9,3016,嘉晶,110.0,-2.5,-2.22,30912,09/15,-3.46,148.0,168.0,1758.0,2302.0,561.0,999.0,1056.0,74.2,297.0
10,5388,中磊,72.0,1.0,1.41,1658,09/15,1.55,0.77,0.0,1356.0,3175.0,836.0,719.0,228.0,157.0,167.0
11,6112,邁達特,48.15,-2.45,-4.84,21595,09/15,-84.9,1300.0,1300.0,1300.0,1300.0,367.0,-46.2,40.0,-46.2,40.0
12,6841,長佳智能,51.9,-0.1,-0.19,75,09/15,0.0,0.0,1200.0,1200.0,1200.0,1200.0,550.0,550.0,62.5,225.0
13,3229,晟鈦,60.3,-6.6,-9.87,7363,09/15,-30.2,-9.46,97.1,1118.0,6600.0,,,,,
14,6949,沛爾生醫*-創,51.4,-4.4,-7.89,7426,09/15,40.7,-60.2,617.0,1058.0,,7425.0,30000.0,4917.0,,254.0
15,6861,睿生光電,228.0,-7.5,-3.18,3945,09/15,-36.7,107.0,210.0,933.0,675.0,288.0,288.0,93.8,417.0,
16,1466,聚隆,14.7,-0.15,-1.01,171,09/15,-10.0,50.0,350.0,800.0,350.0,-25.0,80.0,-85.5,-60.9,-52.6
17,2453,凌群,53.6,-1.7,-3.07,1043,09/15,125.0,800.0,800.0,800.0,800.0,800.0,350.0,125.0,-79.5,800.0
18,2305,全友,44.95,-0.2,-0.44,93620,09/15,-24.3,108.0,114.0,767.0,1995.0,1266.0,852.0,8280.0,8879.0,15612.0
19,5434,崇越,537.0,-2.0,-0.37,424,09/15,700.0,167.0,700.0,700.0,700.0,700.0,-46.7,100.0,300.0,100.0
20,00406A,主動中信台灣收益,9.28,-0.11,-1.17,172774,09/15,28.3,112.0,238.0,578.0,,2101.0,,,,
21,3029,零壹,118.5,2.0,1.72,7858,09/15,38.6,103.0,281.0,578.0,408.0,455.0,917.0,,-54.1,177.0
22,1714,和桐,15.15,0.2,1.34,5071,09/15,371.0,248.0,79.8,567.0,125.0,,-91.2,,,3900.0
23,1528,恩德,24.65,1.35,5.79,37110,09/15,41.4,578.0,1257.0,535.0,1469.0,1334.0,249.0,,,-82.8
24,1409,新纖,23.9,-0.45,-1.85,9754,09/15,-17.4,-43.0,-79.6,533.0,1.79,7.55,-5.0,153.0,217.0,11.8
25,4714,永捷,11.1,-0.3,-2.63,1995,09/15,5.88,20.0,200.0,500.0,350.0,-41.9,,350.0,-77.5,12.5
26,6591,動力-KY,41.5,-0.15,-0.36,24,09/15,0.0,0.0,500.0,500.0,500.0,500.0,0.0,-64.7,-88.0,-68.4
27,8076,伍豐,21.05,-0.55,-2.55,776,09/15,500.0,500.0,500.0,500.0,,414.0,125.0,89.5,1700.0,1700.0
28,5258,虹堡,41.95,-0.35,-0.83,137,09/15,0.0,-6.25,,400.0,400.0,,200.0,50.0,-90.2,36.4
29,7734,印能科技,2555.0,70.0,2.82,164,09/15,66.7,25.0,400.0,400.0,,400.0,400.0,,,400.0
30,6683,雍智科技,1450.0,115.0,8.61,2204,09/15,11.4,14.7,8.33,388.0,290.0,388.0,34.5,-42.6,,1850.0
31,00693U,期街口S&P黃豆,23.64,0.04,0.17,988,09/15,3.57,20.8,38.1,383.0,107.0,2800.0,2800.0,190.0,1350.0,867.0
32,00830,國泰費城半導體,79.0,-1.95,-2.41,12679,09/15,358.0,355.0,350.0,344.0,329.0,310.0,259.0,286.0,482.0,303.0
33,3624,光頡,123.5,-0.5,-0.4,33227,09/15,-2.4,-53.8,115.0,344.0,1044.0,1149.0,25.7,2220.0,16140.0,227.0
34,6173,信昌電,294.5,1.0,0.34,29160,09/15,22.7,3.72,159.0,343.0,1075.0,212.0,150.0,2152.0,50086.0,281.0
35,8249,菱光,37.1,-0.45,-1.2,141,09/15,0.0,0.0,333.0,333.0,30.0,8.33,1200.0,18.2,-90.8,-63.9
36,2483,百容,30.3,-0.55,-1.78,304,09/15,-6.25,15.4,57.9,329.0,233.0,50.0,-33.3,,,400.0
37,1568,倉佑,28.8,-0.15,-0.52,105,09/15,0.0,100.0,300.0,300.0,300.0,100.0,,300.0,300.0,
38,2471,資通,51.7,0.8,1.57,1987,09/15,100.0,100.0,300.0,300.0,300.0,100.0,,,33.3,
39,3236,千如,42.45,-0.65,-1.51,1330,09/15,51.7,300.0,76.0,300.0,1367.0,-6.38,-84.1,-69.7,,-82.5
40,5251,天鉞電,29.15,2.65,10.0,678,09/15,300.0,300.0,300.0,300.0,300.0,300.0,-20.0,-82.6,-98.6,-96.3
41,5284,jpp-KY,290.0,-7.0,-2.36,207,09/15,140.0,500.0,200.0,300.0,100.0,-7.69,-52.0,-69.2,-93.5,-84.8
42,6143,振曜,81.3,1.1,1.37,508,09/15,-11.1,0.0,300.0,300.0,-52.9,14.3,14.3,-83.3,-96.5,-91.0
43,8478,東哥遊艇,141.5,-0.5,-0.35,41,09/15,,,300.0,300.0,300.0,300.0,-60.0,100.0,-84.0,-81.0
44,6957,裕慶-KY,245.0,5.0,2.08,171,09/15,27.4,59.7,215.0,296.0,257.0,118.0,3467.0,,10600.0,2575.0
