排名,代號,名稱,成交,漲跌 價,漲跌 幅,更新 日期,當日 增減 (%),2日 增減 (%),3日 增減 (%),5日 增減 (%),10日 增減 (%),1個月 增減 (%),3個月 增減 (%),半年 增減 (%),1年 增減 (%),今年 增減 (%)
1,00962,台新AI優息動能,14.74,0.08,0.55,09/16,0.0,0.0,9.83,469.0,469.0,438.0,486.0,352.0,-6.33,362.0
2,0055,元大MSCI金融,50.3,0.54,1.09,09/16,28.6,28.6,66.6,307.0,242.0,242.0,286.0,442.0,181.0,597.0
3,00990B,國泰收益非投等債,9.93,-0.01,-0.1,09/16,0.0,0.0,0.0,148.0,148.0,,,,,
4,00770,國泰北美科技,61.7,-0.05,-0.08,09/16,0.0,65.1,86.7,142.0,505.0,551.0,478.0,51.4,195.0,92.0
5,1563,巧新,73.7,-0.3,-0.41,09/16,4.88,8.4,8.4,135.0,,-83.2,-89.9,-92.6,-88.5,-90.7
6,00915,凱基優選高股息30,32.59,0.3,0.93,09/16,0.0,83.7,83.8,116.0,106.0,99.4,44.5,0.79,-21.8,11.8
7,009828,中信台日韓PCB,9.36,0.1,1.08,09/16,5.89,13.6,24.4,114.0,,,,,,
8,00998A,主動復華金融股息,17.78,0.03,0.17,09/16,76.0,76.0,76.0,108.0,165.0,165.0,20.8,,,
9,00961,FT臺灣永續高息,13.17,0.03,0.23,09/16,0.14,3.18,6.49,107.0,194.0,155.0,524.0,545.0,275.0,482.0
10,3718,中光電投控,64.9,5.3,8.89,09/16,1.99,7.69,19.2,104.0,,,,,,
11,7610,聯友金屬-創,1730.0,75.0,4.53,09/16,230.0,139.0,105.0,102.0,150.0,102.0,422.0,,,
12,6722,輝創,32.5,0.5,1.56,09/16,0.0,14.3,100.0,100.0,300.0,,,,,
13,4556,旭然,81.4,-3.6,-4.24,09/16,42.3,91.7,94.7,98.9,102.0,208.0,227.0,1176.0,1956.0,1956.0
14,00850,元大臺灣ESG永續,91.5,0.55,0.6,09/16,2.85,15.1,27.9,94.0,-81.9,-81.9,-85.4,-90.4,-93.3,-93.0
15,3661,世芯-KY,3345.0,-10.0,-0.3,09/16,6.59,19.6,26.0,90.5,260.0,25.9,-60.3,-75.9,-46.3,-41.1
16,009829,大華韓國KOSPI50,10.41,0.05,0.48,09/16,65.7,67.9,67.7,83.7,489.0,,,,,
17,3016,嘉晶,115.5,5.5,5.0,09/16,8.2,21.6,46.4,79.5,109.0,118.0,252.0,101.0,-12.5,-13.4
18,00918,大華優利高填息30,35.68,0.25,0.71,09/16,7.79,14.5,21.0,77.4,137.0,792.0,14.5,246.0,192.0,2.17
19,6861,睿生光電,223.0,-5.0,-2.19,09/16,17.2,32.7,35.1,77.3,55.5,37.3,166.0,191.0,320.0,40.4
20,6531,愛普*,949.0,59.0,6.63,09/16,17.0,84.7,86.9,76.0,38.2,33.1,18.7,13.9,3.23,24.3
21,00712,復華富時不動產,8.21,-0.08,-0.97,09/16,10.4,12.8,13.0,73.9,64.2,330.0,159.0,22.3,119.0,452.0
22,009803,玉山市值動能50,20.63,0.07,0.34,09/16,-0.19,-0.19,71.5,71.5,89.8,119.0,99.3,189.0,489.0,58.6
23,009827,玉山未來全球算力,9.91,-0.03,-0.3,09/16,5.47,12.5,12.5,68.8,,,,,,
24,00673R,期元大S&P原油反1,9.95,-0.04,-0.4,09/16,17.8,24.9,27.4,66.2,68.8,199.0,124.0,221.0,1523.0,
25,00657,國泰日經225,75.35,0.1,0.13,09/16,0.0,8.33,62.5,62.5,62.5,62.5,65.1,0.97,-11.9,7.22
26,2025,千興,12.0,0.15,1.27,09/16,-2.97,0.0,18.1,58.1,717.0,,,,,
27,7717,萊德光電-KY,527.0,47.5,9.91,09/16,8.33,11.1,36.4,57.9,78.2,37.3,31.5,1373.0,,
28,1709,和益,39.05,3.55,10.0,09/16,6.51,13.3,34.7,55.7,79.3,91.2,133.0,209.0,152.0,197.0
29,2337,旺宏,119.0,4.5,3.93,09/16,0.8,42.8,45.9,53.0,42.6,49.7,82.7,81.2,-59.4,-61.1
30,00749B,凱基新興債10+,30.28,-0.12,-0.39,09/16,52.9,52.9,52.9,52.9,85.7,550.0,2500.0,,,
31,2464,盟立,183.0,7.0,3.98,09/16,8.27,13.8,19.6,49.9,91.9,10.4,21.8,-24.1,-45.8,-44.7
32,5206,坤悅,21.3,0.0,0.0,09/16,0.0,-1.49,15.4,48.6,164.0,170.0,61.8,55.9,65.8,46.9
33,7795,長廣,476.0,10.0,2.15,09/16,-1.38,4.14,9.74,48.6,104.0,161.0,,,,
34,3624,光頡,123.0,-0.5,-0.4,09/16,2.65,9.57,12.8,47.7,41.1,151.0,83.7,82.5,351.0,-1.7
35,7769,鴻勁,6125.0,-10.0,-0.16,09/16,11.5,29.5,45.0,46.5,40.8,11.5,-18.1,-15.7,,
36,5464,霖宏,93.7,8.5,9.98,09/16,1.76,7.83,12.7,45.1,2.56,-32.6,225.0,872.0,610.0,605.0
37,6515,穎崴,6210.0,-100.0,-1.58,09/16,-3.33,-3.14,2.28,43.2,93.0,93.0,143.0,-22.8,-41.1,-37.8
38,00981A,主動統一台股增長,28.33,0.1,0.35,09/16,19.3,30.0,37.3,43.1,34.6,-35.4,-30.4,-35.3,261.0,132.0
39,3376,新日興,176.5,3.5,2.02,09/16,2.74,11.6,20.6,42.7,49.3,15.5,27.8,33.2,51.0,125.0
40,00939,統一台灣高息動能,24.17,0.27,1.13,09/16,4.75,13.4,23.6,41.1,124.0,288.0,13.7,738.0,83.4,273.0
41,6505,台塑化,80.5,-2.4,-2.9,09/16,0.61,6.42,15.1,40.9,29.7,-4.09,-58.4,-70.0,-72.9,-43.4
42,00404A,主動聯博動能50,9.46,0.1,1.07,09/16,0.0,0.0,11.5,40.4,255.0,765.0,,,,
43,00714,群益道瓊美國地產,21.22,-0.04,-0.19,09/16,7.17,7.17,21.0,38.0,38.0,38.0,36.9,29.6,142.0,29.6
44,00989B,台新美國非投等債,9.93,-0.01,-0.1,09/16,0.0,0.0,41.3,37.9,193.0,657.0,28400.0,,,
45,1591,駿吉-KY,38.35,-0.65,-1.67,09/16,3.1,30.0,30.0,37.8,48.8,132.0,,-60.5,-58.5,-61.4
46,00864B,中信美國公債0-1,46.09,-0.03,-0.07,09/16,18.4,18.4,37.3,37.3,22.3,22.3,-62.1,-26.4,-30.8,-35.7
47,00921,兆豐龍頭等權重,23.0,-0.04,-0.17,09/16,0.0,0.0,36.0,36.0,36.0,36.0,-39.8,-39.8,-59.7,-39.8
48,2395,研華,695.0,10.0,1.46,09/16,7.4,16.1,28.3,35.8,3.29,30.4,-64.9,-90.7,55.5,-58.9
49,00927,群益半導體收益,37.21,0.58,1.58,09/16,0.0,0.0,0.0,35.6,21.1,20.7,16.4,68.0,242.0,169.0
50,3467,台灣精材,71.6,0.8,1.13,09/16,26.1,26.1,23.4,34.9,45.0,45.0,-7.94,65.7,,75.8
51,7730,暉盛-創,169.0,0.0,0.0,09/16,33.3,45.5,45.5,33.3,129.0,77.8,220.0,,,
52,00896,中信綠能及電動車,26.42,0.18,0.69,09/16,0.01,8.65,10.8,33.2,93.6,129.0,52.2,123.0,429.0,235.0
53,1444,力麗,6.69,0.03,0.45,09/16,2.44,9.66,16.1,32.1,1020.0,,,-5.0,-84.7,-64.6
54,3704,合勤控,40.15,0.35,0.88,09/16,4.66,19.4,20.4,31.4,86.3,176.0,86.5,-57.3,-53.5,-52.6
55,6446,藥華藥,1205.0,0.0,0.0,09/16,5.84,10.6,21.5,31.4,111.0,227.0,538.0,139.0,-56.0,-42.5
56,6133,金橋,23.7,0.75,3.27,09/16,-0.6,7.97,17.5,30.8,15.3,-11.2,-15.5,-2.51,206.0,8.09
57,1815,富喬,118.5,4.0,3.49,09/16,26.4,50.8,69.1,30.0,-27.3,-72.9,-74.4,-46.9,-60.9,-41.1
58,00881,國泰台灣科技龍頭,49.65,0.44,0.89,09/16,0.23,0.85,4.73,29.7,16.0,-22.9,-10.3,-21.3,38.8,25.0
59,6416,瑞祺電通,118.0,0.0,0.0,09/16,5.47,7.72,17.9,29.0,56.4,37.4,70.8,12.5,95.5,54.5
60,6474,華豫寧,35.3,0.1,0.28,09/16,12.5,17.4,28.6,28.6,28.6,12.5,,,,
61,8084,巨虹,41.45,0.3,0.73,09/16,7.09,19.3,19.3,28.3,54.5,78.9,0.0,0.0,0.0,0.0
62,6005,群益證,30.85,-0.25,-0.8,09/16,7.14,19.4,21.7,28.3,30.4,55.2,-23.6,27.7,41.3,7.85
63,00919,群益台灣精選高息,31.99,0.35,1.11,09/16,5.09,17.1,18.6,27.9,36.8,34.3,-8.34,-2.86,3.16,-11.2
64,00830,國泰費城半導體,79.45,0.45,0.57,09/16,0.69,5.55,27.8,27.7,-8.46,-2.64,-71.4,-69.2,7.41,-22.3
65,6226,光鼎,39.9,3.6,9.92,09/16,6.85,11.1,18.5,27.5,18.8,50.9,845.0,,,
66,1737,臺鹽,30.5,0.1,0.33,09/16,4.65,9.62,15.0,27.0,56.9,73.2,146.0,171.0,223.0,195.0
67,00951,台新日本半導體,16.43,0.08,0.49,09/16,0.0,0.0,6.37,26.3,-5.38,15.9,24.6,-12.5,-48.1,28.3
68,7828,創新服務,2005.0,160.0,8.67,09/16,21.4,36.0,21.4,25.9,8.51,18.6,,,,
69,2303,聯電,142.0,3.5,2.53,09/16,13.5,22.9,27.7,25.8,19.8,47.0,-65.1,-85.6,-93.3,-87.9
70,9951,皇田,48.0,-0.75,-1.54,09/16,6.67,9.59,12.1,25.7,43.7,19.4,-24.8,-17.5,-14.3,-8.05
71,6176,瑞儀,92.2,0.2,0.22,09/16,1.58,3.4,10.8,25.6,65.4,,-76.8,-51.8,-22.8,-55.6
72,00400A,主動國泰動能高息,14.52,0.1,0.69,09/16,9.24,23.0,25.3,25.3,16.3,23.7,214.0,,,
73,3455,由田,240.5,15.0,6.65,09/16,-0.76,3.15,9.0,25.1,52.4,72.4,23.5,6.84,41.1,50.2
74,2751,王座,53.5,-0.8,-1.47,09/16,0.0,0.0,0.0,25.0,25.0,-16.7,-16.7,25.0,,400.0
75,2910,統領,23.3,0.0,0.0,09/16,25.0,25.0,25.0,25.0,25.0,25.0,25.0,-86.5,-87.2,-86.5
76,6934,心誠鎂,73.3,1.0,1.38,09/16,25.0,25.0,25.0,25.0,25.0,,,,,
77,2049,上銀,331.5,2.5,0.76,09/16,-4.74,-4.87,19.7,24.9,20.3,79.2,-47.1,-57.8,-81.6,-79.2
78,6584,南俊國際,555.0,18.0,3.35,09/16,1.86,2.03,5.24,24.9,47.5,36.2,50.1,468.0,39.0,156.0
79,2884,玉山金,46.45,0.8,1.75,09/16,4.78,6.52,11.7,24.4,-34.2,-43.2,-55.0,-59.9,1045.0,-48.0
80,6715,嘉基,393.0,35.5,9.93,09/16,1.86,4.67,6.48,24.3,77.9,175.0,193.0,305.0,325.0,316.0
81,1717,長興,70.7,2.6,3.82,09/16,5.25,9.42,17.0,24.3,22.8,-28.7,-44.6,-18.9,-5.09,16.0
82,1303,南亞,224.0,2.5,1.13,09/16,5.45,23.4,39.3,24.3,18.7,1.73,821.0,-5.96,-82.8,-69.4
83,2338,光罩,50.7,4.6,9.98,09/16,3.16,10.4,16.7,23.8,26.0,27.2,52.6,65.8,17.0,62.9
84,2472,立隆電,210.5,2.5,1.2,09/16,-0.94,22.7,23.5,23.5,6.41,-18.3,-28.2,45.3,34.1,8.39
85,3605,宏致,140.0,12.5,9.8,09/16,7.54,10.6,13.5,23.5,55.2,165.0,-12.0,-16.8,34.9,-6.18
86,7788,松川精密,292.0,11.5,4.1,09/16,-0.73,16.7,19.8,23.4,289.0,132.0,381.0,,,
87,6214,精誠,191.0,1.0,0.53,09/16,3.43,4.29,18.8,23.2,46.7,57.7,19.3,-30.4,169.0,-30.3
88,00935,野村臺灣新科技50,56.35,0.8,1.44,09/16,-0.14,2.47,3.5,23.2,11.6,-2.29,14.1,12.1,103.0,125.0
89,2762,世界健身-KY,79.3,-0.1,-0.13,09/16,-4.91,-4.91,4.03,23.0,40.9,42.2,33.6,80.2,19.2,115.0
90,00929,復華台灣科技優息,28.84,0.38,1.34,09/16,0.94,2.71,6.72,23.0,16.5,8.87,36.6,27.3,176.0,59.8
91,3006,晶豪科,281.0,17.0,6.44,09/16,5.14,11.9,20.6,22.8,44.6,65.6,10.7,8.39,-60.2,-26.2
92,2027,大成鋼,46.55,1.55,3.44,09/16,1.58,6.8,6.08,22.8,-4.91,-55.0,-96.9,-98.8,-89.5,-97.1
93,7765,中華資安,240.0,5.0,2.13,09/16,5.65,12.8,13.7,22.5,41.0,34.7,143.0,,,
94,7751,竑騰,1400.0,40.0,2.94,09/16,3.95,14.5,25.4,22.2,21.5,172.0,524.0,1029.0,,404.0
95,3029,零壹,119.5,1.0,0.84,09/16,9.57,19.9,25.1,22.0,9.37,-15.2,-51.5,-43.4,11.8,-23.3
96,6753,龍德造船,132.5,2.5,1.92,09/16,0.36,-0.35,4.16,21.6,31.7,25.4,1.35,-13.4,5.51,-11.0
97,6603,富強鑫,25.4,0.35,1.4,09/16,2.84,12.5,20.7,21.4,26.1,8.8,10.8,156.0,383.0,240.0
98,6994,富威電力,27.0,0.9,3.45,09/16,-1.44,5.18,6.3,20.8,21.9,13.4,-0.36,97.3,413.0,213.0
99,6874,倍力,69.4,0.0,0.0,09/16,3.45,7.14,11.1,20.0,20.0,13.2,-13.0,22.4,62.2,66.7
100,00753L,中信中國50正2,8.82,-0.06,-0.68,09/16,8.65,11.7,15.5,19.9,17.5,12.2,-52.1,-64.5,-31.0,-64.0
101,6968,萬達寵物,41.5,-0.05,-0.12,09/16,3.66,6.26,10.4,19.7,19.7,10.4,8.99,3.66,32.7,11.9
102,009814,富邦標普500,11.28,0.01,0.09,09/16,19.7,19.7,19.7,19.7,19.7,166.0,172.0,625.0,,
103,2492,華新科,307.5,7.5,2.5,09/16,-2.42,-1.68,6.2,19.6,0.11,55.6,493.0,169.0,179.0,-11.5
104,3533,嘉澤,1510.0,-10.0,-0.66,09/16,2.7,7.31,12.5,19.5,9.4,21.4,146.0,-32.2,-45.1,-24.3
105,6196,帆宣,521.0,3.0,0.58,09/16,0.23,-0.47,1.67,19.4,3.89,30.4,-61.6,-54.3,-82.8,-31.7
106,5340,建榮,84.0,2.2,2.69,09/16,4.66,7.11,17.1,19.4,33.5,41.1,50.8,84.7,21.9,51.2
107,00983D,主動富邦複合收益,9.72,0.02,0.21,09/16,0.0,0.0,14.2,19.4,19.6,19.6,37.9,22.1,,-24.8
108,1714,和桐,15.6,0.45,2.97,09/16,2.89,3.57,4.92,19.3,37.2,55.1,286.0,553.0,656.0,1006.0
