排名,代號,名稱,成交,漲跌 價,漲跌 幅,法人 買賣 日期,當日 買賣超 佔 發行 張數,2日 買賣超 佔 發行 張數,3日 買賣超 佔 發行 張數,5日 買賣超 佔 發行 張數,10日 買賣超 佔 發行 張數,1個月 買賣超 佔 發行 張數,3個月 買賣超 佔 發行 張數,半年 買賣超 佔 發行 張數,1年 買賣超 佔 發行 張數,3年 買賣超 佔 發行 張數,10年 買賣超 佔 發行 張數,今年 買賣超 佔 發行 張數
1,6226,光鼎,45.7,1.85,4.22,09/18,2.16,5.16,4.94,10.9,4.25,11.4,8.25,11.6,12.0,12.4,14.3,12.1
2,00411A,主動統一前沿科技,10.13,0.22,2.22,09/18,9.16,9.88,9.88,9.81,10.2,,,,,,,
3,00714,群益道瓊美國地產,21.12,-0.08,-0.38,09/18,-0.01,-0.01,-0.02,6.73,9.32,7.32,12.0,26.3,35.9,35.2,,33.4
4,1727,中華化,106.0,1.0,0.95,09/18,1.32,4.0,5.68,5.58,3.62,5.49,8.67,4.5,10.2,10.3,6.48,6.9
5,6182,合晶,116.0,5.5,4.98,09/18,3.1,3.1,4.7,5.19,4.96,0.76,-5.42,5.76,2.86,3.87,2.34,5.53
6,3094,聯傑,51.7,4.7,10.0,09/18,3.3,3.92,4.6,5.05,4.3,9.96,5.43,8.46,7.65,8.66,5.97,8.37
7,8227,巨有科技,279.0,21.0,8.14,09/18,0.07,0.98,0.98,4.93,9.38,8.84,7.13,7.94,8.07,8.42,,6.83
8,6168,宏齊,38.85,3.5,9.9,09/18,2.03,2.58,3.81,4.71,4.56,4.6,6.21,4.82,4.61,0.8,1.56,4.04
9,6257,矽格,244.5,22.0,9.89,09/18,2.73,4.5,4.67,4.68,5.08,2.04,1.84,6.57,3.31,8.32,9.97,2.74
10,6426,統新,373.5,10.5,2.89,09/18,3.13,3.44,4.37,4.37,6.74,8.77,9.29,9.3,4.56,11.5,10.5,10.4
11,00983A,主動中信ARK創新,12.82,0.43,3.47,09/18,2.34,3.04,3.07,4.34,3.7,13.0,28.5,104.0,98.3,,,106.0
12,2305,全友,58.7,4.4,8.1,09/18,1.18,1.92,4.28,3.92,4.73,4.07,-0.29,3.12,4.01,6.39,4.97,3.38
13,3605,宏致,154.0,14.0,10.0,09/18,2.84,3.06,3.67,3.9,0.27,-8.13,10.5,11.9,7.57,12.7,12.3,9.15
14,00736,國泰新興市場,31.73,0.3,0.95,09/18,3.67,3.66,3.66,3.66,3.67,3.67,11.5,11.5,11.5,-0.01,,11.5
15,3105,穩懋,500.0,29.0,6.16,09/18,2.09,1.96,2.06,3.43,1.89,2.04,-2.11,-5.89,-0.01,-8.7,-29.4,-6.68
16,6147,頎邦,229.0,19.5,9.31,09/18,0.92,0.41,-0.36,3.23,2.03,-0.32,5.72,1.92,5.73,0.23,-14.4,3.03
17,3042,晶技,184.5,6.0,3.36,09/18,1.18,1.49,1.99,3.12,2.24,2.72,5.29,8.34,11.5,7.22,-4.24,12.2
18,3066,李洲,29.9,1.6,5.65,09/18,0.39,2.46,2.97,3.01,2.55,3.32,3.27,4.39,5.11,5.12,5.1,5.04
19,6133,金橋,27.45,1.4,5.37,09/18,0.01,2.69,3.36,2.88,1.98,2.73,2.16,1.45,1.42,3.33,-3.41,-0.12
20,3717,聯嘉投控,25.1,2.2,9.61,09/18,2.34,2.72,2.87,2.81,1.86,1.67,-1.48,3.25,3.74,,,3.62
21,009810,玉山全球藍籌100,21.23,0.11,0.52,09/18,1.32,1.66,2.56,2.58,2.59,3.2,3.14,3.04,2.77,,,3.17
22,009824,群益美國科技巨頭,10.19,0.14,1.39,09/18,2.18,2.21,2.21,2.48,2.57,3.96,,,,,,
23,6693,廣閎科,183.5,3.0,1.66,09/18,0.14,0.56,1.26,2.34,0.69,-2.96,-1.16,-0.6,3.89,5.09,,3.61
24,4923,力士,60.8,5.5,9.95,09/18,1.42,1.91,2.03,2.27,1.83,2.84,4.37,4.17,4.04,3.85,,4.1
25,5483,中美晶,187.5,5.5,3.02,09/18,0.74,1.39,1.86,2.24,1.78,0.94,-1.91,2.54,6.1,-6.26,5.54,4.6
26,00898,國泰基因免疫革命,11.43,0.32,2.88,09/18,0.74,1.88,2.14,2.21,2.91,7.19,28.8,47.0,72.8,152.0,,57.1
27,3661,世芯-KY,3540.0,245.0,7.44,09/18,2.95,2.47,1.96,2.19,-1.06,-0.85,-4.14,3.06,-7.98,-13.7,0.68,-1.18
28,8150,南茂,94.0,7.3,8.42,09/18,1.92,2.12,2.49,2.18,1.8,2.98,-3.09,-4.25,-4.36,-4.89,-4.78,-1.92
29,2449,京元電子,291.5,26.5,10.0,09/18,1.7,1.87,1.91,2.08,2.07,0.57,-1.6,-2.43,-6.06,-12.8,-20.3,-5.18
30,00681R,元大美債20反1,21.81,-0.24,-1.09,09/18,0.0,0.0,0.0,2.08,-0.05,-0.45,3.13,5.54,9.86,71.1,,9.56
31,8064,東捷,136.0,6.0,4.62,09/18,1.78,2.16,2.6,2.04,0.23,0.16,-1.24,-11.9,-13.4,-14.1,-14.0,-7.58
32,4956,光鋐,42.6,3.85,9.94,09/18,-0.63,0.54,1.74,2.02,0.73,0.51,1.12,0.19,1.18,0.75,-8.28,4.27
33,6840,東研信超,108.0,6.5,6.4,09/18,-0.16,1.39,1.57,1.95,1.54,1.6,3.25,2.82,3.09,3.0,,3.18
34,6770,力積電,74.0,2.8,3.93,09/18,1.65,2.34,3.25,1.87,4.11,2.74,-0.55,-5.38,1.7,-2.6,,-3.28
35,4961,天鈺,183.5,2.5,1.38,09/18,0.27,0.72,1.15,1.86,3.26,2.99,5.35,7.22,7.97,5.83,,6.37
36,8261,富鼎,177.0,8.0,4.73,09/18,1.03,0.97,1.4,1.86,1.46,0.28,3.35,-1.26,0.77,-0.21,-0.28,0.39
37,2302,麗正,44.4,0.2,0.45,09/18,0.28,0.57,1.62,1.82,1.21,1.37,1.69,0.37,0.54,1.27,-4.63,1.54
38,6533,晶心科,270.5,19.0,7.55,09/18,1.73,1.86,1.99,1.79,1.0,1.21,0.45,-1.95,-10.5,-11.6,,-3.6
39,6290,良維,282.5,16.5,6.2,09/18,0.86,1.2,1.83,1.78,0.26,-1.39,-3.33,-8.47,0.47,5.08,0.03,-2.99
40,00989A,主動摩根美國科技,17.13,0.15,0.88,09/18,0.0,0.32,0.31,1.76,1.77,4.81,6.45,56.8,,,,75.0
41,6672,騰輝電子-KY,302.0,8.5,2.9,09/18,1.97,-0.02,0.67,1.73,0.71,0.94,1.57,-4.4,2.56,-7.67,,0.55
42,4416,三圓,12.15,1.1,9.95,09/18,1.99,1.86,1.74,1.62,1.65,1.99,1.8,2.53,2.87,3.36,3.36,2.72
43,5269,祥碩,1495.0,15.0,1.01,09/18,0.43,0.79,1.54,1.62,1.12,1.32,3.56,0.37,-9.24,-11.4,-3.4,-6.14
44,2472,立隆電,216.0,7.5,3.6,09/18,0.32,0.51,0.84,1.6,2.92,3.18,7.2,2.43,3.22,10.3,9.58,4.63
