排名,代號,名稱,成交,漲跌 價,漲跌 幅,法人 買賣 日期,當日 賣出 佔 成交,2日 賣出 佔 成交,3日 賣出 佔 成交,5日 賣出 佔 成交,10日 賣出 佔 成交,1個月 賣出 佔 成交,3個月 賣出 佔 成交,半年 賣出 佔 成交,1年 賣出 佔 成交,3年 賣出 佔 成交,10年 賣出 佔 成交,今年 賣出 佔 成交
1,1590,亞德客-KY,1240.0,20.0,1.64,09/21,91.2,92.7,94.0,91.1,89.0,83.2,75.1,75.1,71.9,72.3,55.2,73.1
2,2633,台灣高鐵,25.7,-0.05,-0.19,09/21,74.3,93.9,90.5,88.2,80.6,73.0,62.3,72.5,70.0,58.8,,71.9
3,3716,中化控股,34.15,0.65,1.94,09/21,14.7,90.5,90.1,88.7,82.8,69.4,43.5,35.2,31.2,,,33.1
4,8415,大國鋼,35.0,0.65,1.89,09/21,34.7,90.9,88.8,83.1,73.1,65.7,40.3,34.4,23.3,8.16,0.9,29.2
5,3332,幸康,60.0,-0.7,-1.15,09/21,63.9,94.7,87.7,73.8,61.2,39.3,14.1,11.5,23.1,18.4,16.8,19.2
6,2102,泰豐,17.05,-0.2,-1.16,09/21,29.9,87.1,85.4,83.9,76.5,67.4,49.8,43.8,37.8,31.2,17.2,38.4
7,9925,新保,39.6,-0.05,-0.13,09/21,85.1,85.5,84.8,80.1,66.8,83.4,69.1,61.5,46.0,21.3,7.84,53.0
8,9921,巨大,90.5,-0.3,-0.33,09/21,61.4,86.8,83.4,75.1,68.7,62.9,48.8,49.2,30.3,11.0,4.77,40.5
9,2106,建大,16.6,0.2,1.22,09/21,60.5,86.7,83.3,84.5,78.1,82.8,64.2,54.8,50.7,40.4,31.5,51.6
10,2538,基泰,8.57,0.11,1.3,09/21,25.1,82.8,82.0,80.7,79.1,69.7,59.5,42.4,36.5,29.3,20.3,38.8
11,2207,和泰車,523.0,-14.0,-2.61,09/21,94.6,89.2,81.7,65.8,66.5,68.6,60.8,57.6,62.2,66.0,60.8,59.7
12,6121,新普,373.5,2.0,0.54,09/21,34.3,81.0,81.3,76.8,74.8,61.8,39.7,39.0,43.0,41.0,34.5,40.0
13,5871,中租-KY,110.5,-1.5,-1.34,09/21,84.5,85.1,81.0,75.1,65.8,64.0,55.9,56.9,52.9,57.9,56.0,54.6
14,7732,金興精密,34.45,0.0,0.0,09/21,50.0,40.0,80.0,72.2,42.7,32.6,14.6,13.8,7.25,,,11.5
15,1201,味全,11.75,0.2,1.73,09/21,18.5,80.8,79.7,79.0,76.1,71.2,56.2,45.0,37.6,35.2,20.0,40.8
16,1707,葡萄王,87.3,0.0,0.0,09/21,75.4,82.5,79.0,71.0,67.4,77.4,55.4,48.8,45.9,37.0,26.8,46.8
17,1737,臺鹽,30.3,1.0,3.41,09/21,11.8,79.0,78.6,77.1,72.2,67.2,54.2,42.5,36.0,21.7,17.7,39.6
18,1476,儒鴻,279.0,-3.0,-1.06,09/21,76.0,76.3,78.6,63.0,61.0,58.4,56.6,59.2,63.3,62.2,49.2,62.3
19,2505,國揚,17.0,0.3,1.8,09/21,17.2,79.0,78.6,78.4,75.0,71.3,51.4,42.5,36.8,30.1,20.6,38.3
20,8044,網家,24.05,0.55,2.34,09/21,28.9,81.2,78.2,76.4,68.4,53.0,40.7,29.7,17.1,4.33,1.05,26.2
21,6446,藥華藥,1150.0,-30.0,-2.54,09/21,45.4,78.6,77.9,71.1,58.6,49.4,42.7,38.1,35.4,33.3,26.8,35.0
22,7751,竑騰,1445.0,-40.0,-2.69,09/21,52.5,81.7,77.4,66.6,45.4,30.6,29.5,26.4,12.9,,,21.2
23,4745,合富-KY,11.85,0.1,0.85,09/21,34.8,78.7,77.3,68.4,50.1,36.4,12.3,25.8,18.1,17.1,7.81,25.9
24,2105,正新,30.05,0.05,0.17,09/21,58.6,81.7,77.3,74.9,69.1,62.5,42.8,46.7,52.0,52.8,46.8,49.9
