排名,代號,名稱,成交,漲跌 價,漲跌 幅,法人 買賣 日期,當日 買賣超 佔 成交,2日 買賣超 佔 成交,3日 買賣超 佔 成交,5日 買賣超 佔 成交,10日 買賣超 佔 成交,1個月 買賣超 佔 成交,3個月 買賣超 佔 成交,半年 買賣超 佔 成交,1年 買賣超 佔 成交,3年 買賣超 佔 成交,10年 買賣超 佔 成交,今年 買賣超 佔 成交
1,0061,元大寶滬深,24.27,0.14,0.58,09/22,83.3,81.5,81.6,74.9,56.3,17.0,11.8,8.71,14.4,1.71,5.74,9.76
2,00717,富邦美國特別股,14.64,-0.01,-0.07,09/22,0.0,67.0,66.0,69.4,66.8,55.9,64.6,73.6,64.8,49.3,,67.1
3,7839,達人網,43.3,0.0,0.0,09/22,47.0,57.9,59.6,65.0,47.9,17.4,12.4,,,,,
4,00409A,主動復華全球50,10.07,0.18,1.82,09/22,67.8,62.9,60.5,55.3,43.8,,,,,,,
5,00898,國泰基因免疫革命,11.5,0.05,0.44,09/22,55.6,66.3,44.7,52.0,43.1,34.6,41.5,45.0,40.4,36.2,,42.3
6,00634R,富邦上証反1,3.13,-0.04,-1.26,09/22,81.8,80.1,77.8,50.3,22.5,-44.5,-3.43,1.08,-0.07,0.41,0.19,-0.07
7,4305,世坤,42.15,0.0,0.0,09/22,,50.0,49.7,48.8,-6.2,-6.57,-2.35,-1.48,-0.81,-0.11,-0.01,-1.1
8,6763,綠界科技*,41.6,0.25,0.6,09/22,67.0,59.9,54.2,48.8,23.2,4.4,5.04,-0.01,-0.35,-1.09,,0.65
9,00861,元大全球未來通訊,87.95,1.9,2.21,09/22,67.5,60.1,53.3,48.6,27.0,23.2,2.21,10.0,7.86,8.9,,9.79
10,3558,神準,124.0,0.0,0.0,09/22,12.1,34.6,47.9,47.8,38.4,10.1,6.6,0.61,-3.95,0.26,-0.18,-1.03
11,009810,玉山全球藍籌100,21.5,0.21,0.99,09/22,3.35,0.54,55.1,47.8,29.2,18.7,6.9,2.08,0.7,,,1.33
12,2379,瑞昱,755.0,15.0,2.03,09/22,54.2,54.3,49.8,47.5,38.3,13.2,-4.41,-0.31,-0.62,0.1,-1.22,-0.04
13,3083,網龍,23.0,0.3,1.32,09/22,47.6,43.4,48.9,47.1,23.7,11.9,4.94,-3.27,-0.89,0.04,-0.01,-1.24
14,5703,亞都,13.9,0.0,0.0,09/22,0.0,0.0,53.3,46.8,15.2,4.75,5.66,2.55,0.75,0.04,0.02,1.93
15,6835,圓裕,31.75,0.65,2.09,09/22,65.5,62.0,60.4,46.8,38.4,28.9,-5.63,-1.93,-1.86,-0.32,,-2.31
16,00402A,主動安聯美國科技,10.0,0.25,2.56,09/22,55.5,52.6,50.3,45.4,35.9,21.3,6.44,,,,,
17,00411A,主動統一前沿科技,10.48,0.26,2.54,09/22,46.4,39.1,49.0,45.1,31.3,,,,,,,
18,5299,杰力,96.4,0.2,0.21,09/22,25.8,29.6,37.6,44.9,33.0,7.86,-1.7,-1.24,-0.99,-0.76,,-0.97
19,00893,國泰智能電動車,45.77,1.4,3.16,09/22,2.12,54.4,47.8,44.7,30.0,33.4,13.8,18.6,15.1,16.8,,19.1
20,6189,豐藝,48.0,-0.25,-0.52,09/22,20.3,27.4,37.6,44.0,26.0,12.8,14.0,3.79,1.02,0.12,-0.17,1.46
21,3206,志豐,35.4,0.1,0.28,09/22,74.2,62.3,51.9,42.7,31.3,22.2,13.5,-0.67,-0.91,-1.65,0.05,-0.87
22,8109,博大,131.0,-2.5,-1.87,09/22,16.0,19.2,49.2,42.7,25.1,0.52,-7.3,-3.0,-1.58,-0.96,-0.43,-0.35
23,2439,美律,78.1,-0.5,-0.64,09/22,10.3,31.1,24.0,42.5,27.9,2.28,-10.5,-7.21,-0.99,-0.75,-0.52,-7.45
24,3545,敦泰,52.0,0.3,0.58,09/22,41.9,33.3,39.2,41.6,21.6,13.7,4.8,3.66,-2.79,0.36,-0.16,0.96
25,2482,連宇,16.4,0.45,2.82,09/22,50.1,42.5,44.2,41.5,24.5,11.2,-1.62,-1.03,-0.14,0.44,-0.04,0.76
26,00736,國泰新興市場,32.0,0.09,0.28,09/22,0.0,35.4,54.0,41.2,29.0,13.8,10.9,5.52,2.8,0.12,,3.95
