Unnamed: 0_level_0_Unnamed: 0_level_1,Unnamed: 1_level_0_Unnamed: 1_level_1,Unnamed: 2_level_0_Unnamed: 2_level_1,交易口數與契約金額_多方,交易口數與契約金額_多方,交易口數與契約金額_空方,交易口數與契約金額_空方,交易口數與契約金額_多空淨額,交易口數與契約金額_多空淨額,未平倉餘額_多方,未平倉餘額_多方,未平倉餘額_空方,未平倉餘額_空方,未平倉餘額_多空淨額,未平倉餘額_多空淨額
1,臺股期貨,自營商,3676,35560918,3235,31325797,441,4235122,2381,23039881,5437,52561882,-3056,-29522001
1,臺股期貨,投信,15,144920,433,4181992,-418,-4037072,76472,738903053,2913,28146571,73559,710756482
1,臺股期貨,外資,36860,356598963,37378,361571704,-518,-4972741,10855,104889546,86939,840120252,-76084,-735230706
2,電子期貨,自營商,34,418163,15,184477,19,233686,6,74036,220,2710928,-214,-2636892
2,電子期貨,投信,0,0,0,0,0,0,177,2181065,0,0,177,2181065
2,電子期貨,外資,42,516662,70,860895,-28,-344232,144,1774426,178,2193387,-34,-418961
3,金融期貨,自營商,10,36155,31,111890,-21,-75735,31,111978,121,437076,-90,-325098
3,金融期貨,投信,0,0,0,0,0,0,34,122815,0,0,34,122815
3,金融期貨,外資,109,393773,126,455597,-17,-61824,73,263691,176,635747,-103,-372056
4,小型臺指期貨,自營商,5927,14345005,6850,16573988,-923,-2228983,857,2074104,7738,18724123,-6881,-16650019
4,小型臺指期貨,投信,1,2416,0,0,1,2416,88,212573,103,248807,-15,-36234
4,小型臺指期貨,外資,73775,178416081,74436,180003225,-661,-1587144,3520,8503571,768,1855441,2752,6648130
5,微型臺指期貨,自營商,9809,4753201,12307,5951523,-2498,-1198322,6966,3369202,7162,3488483,-196,-119281
5,微型臺指期貨,投信,0,0,0,0,0,0,0,0,0,0,0,0
5,微型臺指期貨,外資,109142,52781776,107743,52096321,1399,685455,4656,2249407,1835,886657,2821,1362750
6,小型電子期貨,自營商,110,169187,68,104497,42,64690,98,151120,206,317302,-108,-166182
6,小型電子期貨,投信,0,0,0,0,0,0,75,115523,0,0,75,115523
6,小型電子期貨,外資,273,419800,303,465797,-30,-45997,9,13863,16,24645,-7,-10782
7,小型金融期貨,自營商,14,12657,38,34316,-24,-21659,90,81275,28,25285,62,55990
7,小型金融期貨,投信,0,0,0,0,0,0,0,0,0,0,0,0
7,小型金融期貨,外資,56,50630,50,45195,6,5435,0,0,25,22576,-25,-22576
8,股票期貨,自營商,36183,14645359,34756,17245364,1427,-2600004,67379,23057347,300948,221403909,-233569,-198346562
8,股票期貨,投信,481,725512,3,50320,478,675192,4618,8172653,218,37536,4400,8135117
8,股票期貨,外資,243281,137031931,261463,140133152,-18182,-3101221,168302,142008642,576598,355784425,-408296,-213775783
9,ETF期貨,自營商,1846,891315,2700,1534863,-854,-643549,10004,3689881,35792,27561956,-25788,-23872075
9,ETF期貨,投信,0,0,0,0,0,0,11326,11766374,45,18126,11281,11748248
9,ETF期貨,外資,4363,3377422,4027,2868936,336,508486,16271,14842102,2650,2675844,13621,12166258
10,櫃買指數期貨,自營商,0,0,0,0,0,0,0,0,0,0,0,0
10,櫃買指數期貨,投信,0,0,0,0,0,0,0,0,0,0,0,0
10,櫃買指數期貨,外資,0,0,0,0,0,0,0,0,0,0,0,0
11,非金電期貨,自營商,9,1483,36,5957,-27,-4474,303,49994,51,8428,252,41566
11,非金電期貨,投信,0,0,0,0,0,0,0,0,0,0,0,0
11,非金電期貨,外資,4,662,8,1320,-4,-659,84,13855,30,4948,54,8907
12,富櫃200期貨,自營商,0,0,0,0,0,0,0,0,16,15400,-16,-15400
12,富櫃200期貨,投信,0,0,0,0,0,0,29,27913,0,0,29,27913
12,富櫃200期貨,外資,0,0,0,0,0,0,0,0,0,0,0,0
13,臺灣中型100期貨,自營商,289,105832,277,101430,12,4402,424,154186,238,86567,186,67619
13,臺灣中型100期貨,投信,0,0,0,0,0,0,0,0,0,0,0,0
13,臺灣中型100期貨,外資,27,9873,16,5856,11,4018,0,0,0,0,0,0
14,臺灣永續期貨,自營商,0,0,0,0,0,0,18,49323,18,49323,0,0
14,臺灣永續期貨,投信,0,0,0,0,0,0,0,0,0,0,0,0
14,臺灣永續期貨,外資,0,0,0,0,0,0,0,0,0,0,0,0
15,臺灣生技期貨,自營商,0,0,0,0,0,0,0,0,9,1890,-9,-1890
15,臺灣生技期貨,投信,0,0,0,0,0,0,0,0,0,0,0,0
15,臺灣生技期貨,外資,0,0,0,0,0,0,0,0,0,0,0,0
16,半導體30期貨,自營商,14,11941,15,12771,-1,-830,19,16217,9,7667,10,8550
16,半導體30期貨,投信,0,0,0,0,0,0,0,0,0,0,0,0
16,半導體30期貨,外資,0,0,0,0,0,0,0,0,0,0,0,0
17,航運期貨,自營商,0,0,13,2778,-13,-2778,1,213,34,7265,-33,-7052
17,航運期貨,投信,0,0,0,0,0,0,0,0,0,0,0,0
17,航運期貨,外資,0,0,0,0,0,0,0,0,0,0,0,0
18,東證期貨,自營商,680,561081,706,582597,-26,-21516,28,23098,85,70120,-57,-47022
18,東證期貨,投信,0,0,0,0,0,0,0,0,0,0,0,0
18,東證期貨,外資,797,657721,770,635380,27,22341,13,10731,81,66789,-68,-56058
19,美國標普500期貨,自營商,8,12549,0,0,8,12549,0,0,70,109718,-70,-109718
19,美國標普500期貨,投信,0,0,0,0,0,0,0,0,0,0,0,0
19,美國標普500期貨,外資,0,0,10,15681,-10,-15681,20,31348,23,36050,-3,-4702
20,美國那斯達克100期貨,自營商,71,110311,93,144464,-22,-34153,0,0,223,346375,-223,-346375
20,美國那斯達克100期貨,投信,0,0,0,0,0,0,0,0,0,0,0,0
20,美國那斯達克100期貨,外資,142,220365,103,159764,39,60600,33,51437,90,139793,-57,-88356
21,美國道瓊期貨,自營商,2,2094,44,46496,-42,-44402,43,45029,20,21144,23,23885
21,美國道瓊期貨,投信,0,0,0,0,0,0,0,0,0,0,0,0
21,美國道瓊期貨,外資,73,76973,60,62899,13,14075,40,42117,177,185351,-137,-143234
22,美國費城半導體期貨,自營商,0,0,10,10212,-10,-10212,4,4086,77,78651,-73,-74565
22,美國費城半導體期貨,投信,0,0,0,0,0,0,0,0,0,0,0,0
22,美國費城半導體期貨,外資,63,63301,57,56989,6,6312,25,25555,122,124664,-97,-99109
23,英國富時100期貨,自營商,29,15730,15,8139,14,7591,51,27628,0,0,51,27628
23,英國富時100期貨,投信,0,0,0,0,0,0,0,0,0,0,0,0
23,英國富時100期貨,外資,27,14596,42,22732,-15,-8136,0,0,75,40622,-75,-40622
期貨 小計,期貨 小計,自營商,58711,71652981,61209,73981559,-2498,-2328577,88703,56018598,358502,328033492,-269799,-272014894
期貨 小計,期貨 小計,投信,497,872848,436,4232312,61,-3359464,92819,761501969,3279,28451040,89540,733050929
期貨 小計,期貨 小計,外資,469034,730630529,486662,739461443,-17628,-8830913,204045,274720291,669783,1204797191,-465738,-930076900
期貨合計,期貨合計,期貨合計,528242,803156358,548307,817675314,-20065,-14518954,385567,1092240858,1031564,1561281723,-645997,-469040865
