排名,代號,名稱,成交,漲跌 價,漲跌 幅,更新 日期,當日 增減 (%),2日 增減 (%),3日 增減 (%),5日 增減 (%),10日 增減 (%),1個月 增減 (%),3個月 增減 (%),半年 增減 (%),1年 增減 (%),今年 增減 (%)
1,00847B,中信美國市政債,24.22,-0.05,-0.21,09/23,,,,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
2,5905,南仁湖,7.26,0.0,0.0,09/23,,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
3,6919,康霈*,80.6,-2.0,-2.42,09/23,,,,-100.0,-100.0,-100.0,-100.0,-100.0,0.0,0.0
4,7823,奧義賽博-KY創,80.4,0.4,0.5,09/23,,,,-100.0,-100.0,-100.0,,,,
5,00792B,群益A級公司債,30.24,0.03,0.1,09/23,0.0,0.0,0.0,-90.2,-90.2,-89.7,-89.7,,-95.8,-91.8
6,2323,中環,10.8,-0.05,-0.46,09/23,0.0,0.0,0.0,-86.7,-98.0,-98.5,-99.2,-99.1,-99.1,-98.6
7,8443,阿瘦,11.25,0.0,0.0,09/23,0.0,-75.0,-75.0,-75.0,-75.0,-75.0,-94.4,-99.3,-97.8,-99.3
8,3661,世芯-KY,3760.0,45.0,1.21,09/23,-40.6,-44.9,-73.0,-68.4,-39.9,-35.8,-90.8,-92.4,-86.2,-81.4
9,3716,中化控股,33.95,0.1,0.3,09/23,0.0,-56.0,-57.2,-51.2,-49.0,-43.2,-35.8,28.2,44.9,48.0
10,5206,坤悅,22.95,0.0,0.0,09/23,1.82,8.39,9.09,-49.1,-24.3,37.7,58.5,-20.6,-16.4,-25.2
11,5531,鄉林,7.03,-0.04,-0.57,09/23,0.46,-45.2,-45.5,-45.0,-43.3,-39.6,-19.2,6565.0,-5.97,202.0
12,1201,味全,11.65,-0.05,-0.43,09/23,-0.77,-43.7,-43.5,-42.5,-37.4,-30.4,-23.3,18.5,23.2,32.9
13,3711,日月光投控,693.0,0.0,0.0,09/23,-25.8,-35.2,-40.9,-42.3,-41.5,-52.5,-68.0,-55.7,-87.2,-48.7
14,4207,環泰,19.7,0.35,1.81,09/23,-0.58,-41.1,-41.1,-41.1,-57.6,-57.6,-58.3,-43.4,-20.7,-40.0
15,00770,國泰北美科技,65.6,0.25,0.38,09/23,-11.4,-11.0,-11.0,-39.7,46.1,288.0,295.0,-8.64,166.0,15.8
16,00696B,富邦美債20年,27.97,0.08,0.29,09/23,0.0,0.0,0.0,-37.9,-41.2,-51.1,-79.5,-80.7,-80.5,-82.4
17,2025,千興,12.65,0.1,0.8,09/23,-4.69,0.0,-30.7,-37.8,-1.61,,,,,
18,1611,中電,11.35,-0.15,-1.3,09/23,-3.69,-39.0,-39.7,-37.6,-32.2,-40.3,-12.8,5.48,-3.25,-25.3
19,3231,緯創,180.0,-0.5,-0.28,09/23,-17.2,-18.0,-21.8,-37.3,-37.2,-20.9,21.6,9.4,256.0,48.0
20,2027,大成鋼,46.6,0.1,0.22,09/23,0.0,-18.6,-39.0,-35.8,-21.1,-63.6,-97.9,-99.2,-94.2,-98.2
21,00404A,主動聯博動能50,9.88,0.01,0.1,09/23,0.0,0.0,0.0,-35.4,-9.25,459.0,2753.0,,,
22,6505,台塑化,87.3,0.1,0.11,09/23,-21.2,-30.7,-34.5,-35.2,-8.71,0.86,-71.4,-86.7,-80.3,-63.4
23,6257,矽格,247.0,-2.0,-0.8,09/23,-3.21,-23.9,-35.1,-34.3,-37.7,43.2,-16.5,-47.8,42.4,-32.5
24,009803,玉山市值動能50,21.66,0.09,0.42,09/23,0.0,0.0,-3.26,-33.7,13.6,45.4,32.1,92.5,373.0,5.07
25,00885,富邦越南,18.27,0.01,0.05,09/23,-9.01,-32.9,-32.9,-33.0,-31.9,-40.0,-38.4,-70.5,-83.2,-80.9
26,3073,天方能源,20.3,0.0,0.0,09/23,0.0,0.0,-2.62,-31.4,-32.7,-32.5,-32.2,-43.5,-8.02,-27.1
27,2538,基泰,8.67,0.06,0.7,09/23,-7.88,-35.6,-34.0,-31.3,-24.8,-6.8,37.9,58.4,32.0,24.7
28,1737,臺鹽,30.2,0.1,0.33,09/23,1.12,-34.9,-34.2,-31.2,-12.7,28.9,64.2,79.5,118.0,103.0
29,00923,群益台ESG低碳50,41.84,0.25,0.6,09/23,-26.1,-26.1,-26.1,-30.6,-34.6,-42.8,485.0,95.1,226.0,786.0
30,00952,凱基台灣AI50,18.28,0.0,0.0,09/23,-13.3,-13.3,-13.3,-30.1,-30.1,-29.7,-11.4,143.0,36.2,191.0
31,1103,嘉泥,13.15,0.05,0.38,09/23,-0.41,-28.6,-29.0,-29.0,-28.2,-8.2,-16.0,-29.1,-40.6,-26.3
32,4174,浩鼎,32.6,2.95,9.95,09/23,-2.38,-25.5,-29.6,-28.9,-28.8,-4.84,12.4,,-75.6,768.0
33,6526,達發,840.0,76.0,9.95,09/23,-16.6,-30.4,-30.7,-28.9,-37.4,-47.8,-59.9,-69.0,-5.51,-52.7
34,2345,智邦,1890.0,-25.0,-1.31,09/23,-3.97,-8.54,-18.4,-26.2,-37.9,-49.9,-52.1,-17.5,-70.9,-78.9
35,00409A,主動復華全球50,10.14,0.07,0.7,09/23,-23.4,-15.0,-15.0,-25.2,-31.0,,,,,
36,8227,巨有科技,310.0,5.0,1.64,09/23,-0.77,-1.91,-7.98,-24.7,-28.8,-33.9,-4.02,-21.1,-15.8,-12.3
37,00997A,主動群益美國增長,11.6,0.15,1.31,09/23,-7.01,-9.65,-9.65,-24.1,-35.9,-28.6,-39.1,,,
38,00921,兆豐龍頭等權重,23.47,-0.09,-0.38,09/23,0.0,0.0,0.0,-23.3,4.32,4.32,-53.8,-53.8,-61.5,-53.8
39,9902,台火,13.3,-0.15,-1.12,09/23,0.83,1.0,0.83,-22.7,-27.1,-34.3,-28.2,-48.4,-56.0,-61.4
40,006208,富邦台50,257.0,1.3,0.51,09/23,-15.1,-17.7,-25.8,-22.5,-20.9,-32.1,-21.6,-58.4,-65.9,-37.3
41,2308,台達電,1900.0,0.0,0.0,09/23,-22.4,-22.3,-21.4,-22.2,-8.75,-22.1,-31.9,75.2,13.8,185.0
42,009826,貝萊德世界股票,10.12,0.02,0.2,09/23,-19.7,-19.7,-19.7,-22.0,-26.4,7.02,,,,
43,5209,新鼎,167.5,-2.0,-1.18,09/23,-12.3,-15.8,-16.1,-21.8,-23.7,-6.1,61.0,8.2,-11.8,6.54
44,8415,大國鋼,35.15,0.2,0.57,09/23,-7.77,-26.3,-26.4,-21.6,-24.8,-7.28,-39.2,-52.1,-37.4,-40.0
45,2471,資通,51.8,-0.4,-0.77,09/23,-4.16,-6.55,-6.84,-21.5,-17.4,-14.1,5.46,10.1,-67.5,-55.7
