排名,代號,名稱,成交,漲跌 價,漲跌 幅,成交 張數,更新 日期,當日 增減 張數,2日 增減 張數,3日 增減 張數,5日 增減 張數,10日 增減 張數,1個月 增減 張數,3個月 增減 張數,半年 增減 張數,1年 增減 張數,今年 增減 張數
1,2409,友達,34.7,-1.95,-5.32,948644,09/23,29479,38373,46518,54201,63134,73513.0,76151.0,122891.0,224117.0,173680.0
2,0050,元大台灣50,112.45,0.6,0.54,58059,09/23,-7648,-8186,31110,46662,47549,46416.0,51974.0,51700.0,59004.0,56123.0
3,1314,中石化,9.01,0.27,3.09,99542,09/23,4070,4779,7675,27215,23887,11076.0,36010.0,31493.0,34647.0,32146.0
4,3481,群創,49.6,-0.9,-1.78,219243,09/23,5242,-8275,4864,8705,1212,15790.0,-131671.0,6858.0,153289.0,113237.0
5,00632R,元大台灣50反1,9.49,-0.03,-0.32,68319,09/23,812,1531,8735,8528,1528,1137.0,7098.0,37948.0,56532.0,64388.0
6,6147,頎邦,214.5,-4.5,-2.05,39797,09/23,407,2721,4048,6568,2889,13356.0,-10444.0,29303.0,38399.0,40017.0
7,00712,復華富時不動產,7.98,0.07,0.88,35385,09/23,275,1547,842,6466,14482,18370.0,15838.0,15231.0,12195.0,18305.0
8,2030,彰源,27.65,0.4,1.47,26838,09/23,3142,5493,5522,6051,5330,3870.0,5216.0,6417.0,7409.0,6963.0
9,4919,新唐,134.0,0.5,0.37,43703,09/23,2485,4060,5866,6005,5786,5772.0,-609.0,4250.0,11942.0,11724.0
10,6182,合晶,115.5,-3.5,-2.94,117147,09/23,4119,5701,5675,5335,3475,4996.0,6459.0,55170.0,56987.0,57615.0
11,6456,GIS-KY,78.6,5.0,6.79,26940,09/23,2224,3673,4655,5000,4978,5415.0,8916.0,10833.0,17706.0,17363.0
12,1101,台泥,25.65,1.1,4.48,130649,09/23,6001,4615,5273,4931,5377,3630.0,8075.0,11555.0,11593.0,7354.0
13,2834,臺企銀,17.9,-0.35,-1.92,37735,09/23,507,396,98,4448,6037,4097.0,22988.0,25295.0,25008.0,26341.0
14,2327,國巨*,573.0,2.0,0.35,42588,09/23,1139,2101,3137,4274,4837,9641.0,-7017.0,11313.0,8386.0,4155.0
15,3264,欣銓,252.0,-24.5,-8.86,29512,09/23,1697,1907,2452,4230,4628,4878.0,3491.0,2025.0,1964.0,-5732.0
16,6116,彩晶,15.0,-0.45,-2.91,81652,09/23,1580,2685,2919,4165,4787,5967.0,-3245.0,7570.0,13674.0,14967.0
17,3717,聯嘉投控,26.05,0.8,3.17,30360,09/23,711,772,-55,3816,3767,4410.0,7727.0,8359.0,9491.0,9857.0
18,00406A,主動中信台灣收益,9.92,0.08,0.81,188142,09/23,1875,1324,1522,3730,16382,33640.0,54940.0,,,
19,3016,嘉晶,145.5,13.0,9.81,31086,09/23,1179,2207,2081,3636,5717,6264.0,5733.0,9492.0,8145.0,9650.0
20,00918,大華優利高填息30,34.03,-0.07,-0.21,39900,09/23,-926,-1669,-2006,3539,12815,24467.0,21214.0,23892.0,24347.0,24629.0
21,4958,臻鼎-KY,473.0,-16.0,-3.27,39517,09/23,2103,529,1683,3487,2787,4194.0,9206.0,19693.0,24455.0,26201.0
22,3042,晶技,198.0,14.5,7.9,33267,09/23,5243,4637,4385,3445,5201,3473.0,-1573.0,14514.0,12827.0,13807.0
23,5314,世紀*,26.0,-0.15,-0.57,12117,09/23,-387,-1607,-1948,3195,3517,1237.0,-2546.0,-4180.0,-6787.0,-6640.0
24,6488,環球晶,950.0,-21.0,-2.16,28715,09/23,1754,2578,2521,3189,3331,4268.0,6814.0,11672.0,9592.0,11075.0
25,2426,鼎元,97.8,-1.0,-1.01,25572,09/23,-280,838,931,3186,2067,11483.0,7285.0,21295.0,24216.0,24245.0
26,2481,強茂,173.0,2.0,1.17,39482,09/23,591,399,2110,3126,2509,2569.0,6276.0,4868.0,5288.0,-811.0
27,3707,漢磊,70.2,0.7,1.01,55914,09/23,1609,3356,3309,3014,3227,2853.0,-278.0,1581.0,2306.0,4325.0
28,4979,華星光,590.0,-15.0,-2.48,7373,09/23,476,1146,1617,2985,1750,3253.0,3070.0,1595.0,-5281.0,-1173.0
29,2368,金像電,1140.0,100.0,9.62,14174,09/23,350,1111,1363,2917,2577,4453.0,6008.0,6657.0,6462.0,5835.0
30,1815,富喬,120.0,-2.0,-1.64,32612,09/23,244,564,-2482,2861,-646,-6983.0,-16213.0,-20479.0,-30500.0,-37990.0
31,2484,希華,72.9,3.3,4.74,18374,09/23,2720,2552,2609,2679,2266,3795.0,-656.0,14713.0,16626.0,16639.0
