排名,代號,名稱,成交,漲跌 價,漲跌 幅,更新 日期,當日 增減 張數,2日 增減 張數,3日 增減 張數,5日 增減 張數,10日 增減 張數,1個月 增減 張數,3個月 增減 張數,半年 增減 張數,1年 增減 張數,今年 增減 張數
1,2887,台新新光金,42.5,-0.45,-1.05,09/24,-239,7169,22738,45252,59770,129541.0,269989.0,296117.0,442332.0,286309.0
2,1303,南亞,238.0,10.5,4.62,09/24,3925,10939,18036,30305,43291,31527.0,67248.0,25529.0,-163116.0,-51424.0
3,2002,中鋼,18.65,0.0,0.0,09/24,2726,11069,19712,29999,61299,35682.0,-165900.0,-91985.0,22267.0,-194115.0
4,0050,元大台灣50,112.4,-0.05,-0.04,09/24,16541,16761,17358,17283,35590,29625.0,75364.0,84386.0,61070.0,101674.0
5,2801,彰銀,27.75,-0.1,-0.36,09/24,-1932,2766,4150,12842,22396,43893.0,54909.0,77217.0,83808.0,75370.0
6,4958,臻鼎-KY,475.5,2.5,0.53,09/24,5327,12776,15143,12179,11740,11815.0,10014.0,27982.0,-27080.0,26298.0
7,2542,興富發,39.5,-0.05,-0.13,09/24,2036,3061,6160,11536,18699,20143.0,35708.0,61033.0,86406.0,61697.0
8,2884,玉山金,45.6,0.0,0.0,09/24,-11518,-5231,-4132,10914,35490,-87057.0,-128067.0,-136425.0,117353.0,-77134.0
9,6488,環球晶,948.0,-2.0,-0.21,09/24,742,3473,5799,9470,12985,22766.0,22867.0,14414.0,15335.0,20981.0
10,1709,和益,43.5,-4.8,-9.94,09/24,1639,3413,4653,7991,10498,11311.0,11685.0,11823.0,11344.0,11838.0
11,4763,材料*-KY,46.1,-0.3,-0.65,09/24,1674,3996,6135,7867,11310,11780.0,10448.0,-1237.0,7876.0,241.0
12,0056,元大高股息,56.65,0.05,0.09,09/24,1570,5645,6301,6900,-33276,-43289.0,-83369.0,-112146.0,16988.0,-143108.0
13,00673R,期元大S&P原油反1,10.69,-0.25,-2.29,09/24,1057,-2822,-2215,6685,24065,32885.0,33024.0,34657.0,43494.0,45475.0
14,6147,頎邦,213.5,-1.0,-0.47,09/24,699,2083,3300,6562,7544,9859.0,-11850.0,11280.0,9629.0,17475.0
15,5871,中租-KY,107.0,-1.0,-0.93,09/24,1206,3143,4756,5373,4054,5526.0,-1179.0,66272.0,45966.0,36177.0
16,5904,寶雅*,69.3,-1.5,-2.12,09/24,-5,845,2449,4913,10310,19472.0,33318.0,33238.0,33384.0,33173.0
17,8422,可寧衛*,25.55,-0.1,-0.39,09/24,1258,1672,2755,4720,5142,439.0,10443.0,-2316.0,92290.0,622.0
18,8028,昇陽半導體,269.0,11.0,4.26,09/24,861,2004,3037,4661,5258,5540.0,6303.0,2684.0,1539.0,-5198.0
19,00878,國泰永續高股息,34.88,-0.21,-0.6,09/24,1681,1744,2494,4481,8348,-22692.0,15417.0,61362.0,42145.0,54926.0
20,2376,技嘉,361.5,-3.5,-0.96,09/24,1004,2373,3244,4478,6820,10134.0,15586.0,7921.0,40559.0,27726.0
21,4919,新唐,136.0,2.0,1.49,09/24,1439,2811,3851,4409,4889,2234.0,-893.0,-1833.0,2441.0,3900.0
22,3481,群創,49.55,-0.05,-0.1,09/24,-3534,5838,-2206,4402,-4053,-3923.0,113049.0,4905.0,575959.0,388426.0
23,2324,仁寶,36.5,-0.3,-0.82,09/24,-912,-205,1172,4339,1255,-17460.0,-122302.0,-389184.0,-61066.0,-264425.0
24,00991A,主動復華未來50,18.15,0.15,0.83,09/24,-8038,-7973,-7337,4176,2045,-3932.0,6040.0,39148.0,,85179.0
25,00919,群益台灣精選高息,31.83,-0.23,-0.72,09/24,25,1180,1180,3947,38378,48718.0,24714.0,-33456.0,-9987.0,-29948.0
26,2489,瑞軒,40.8,-0.25,-0.61,09/24,1193,2046,3280,3470,5422,3872.0,13601.0,21847.0,46973.0,42368.0
27,1722,台肥,41.3,-0.45,-1.08,09/24,893,1756,2195,3355,7303,2621.0,6417.0,10811.0,20540.0,15332.0
28,2891,中信金,68.5,-0.4,-0.58,09/24,-449,358,-3076,3349,4143,28886.0,8598.0,55655.0,101729.0,132313.0
29,3450,聯鈞,513.0,-7.0,-1.35,09/24,501,906,1940,3288,4876,2387.0,3538.0,-2993.0,-6722.0,-6754.0
30,00982A,主動群益台灣強棒,23.14,0.08,0.35,09/24,65,177,400,3269,3983,-16208.0,-14687.0,1406.0,11168.0,22357.0
31,2892,第一金,39.5,-0.35,-0.88,09/24,-3681,-406,1123,3188,3200,-2384.0,-7863.0,8018.0,6181.0,5749.0
32,8112,至上,83.5,0.9,1.09,09/24,-673,51,1818,3174,5185,9823.0,418.0,18166.0,2825.0,-15181.0
33,00929,復華台灣科技優息,29.18,0.04,0.14,09/24,3059,3514,3171,3147,14558,5748.0,21468.0,18355.0,45154.0,29187.0
34,00795B,中信美國公債20年,25.41,-0.37,-1.44,09/24,2748,2748,2748,3053,3053,3506.0,8884.0,8311.0,-13438.0,5208.0
35,2313,華通,222.5,-1.5,-0.67,09/24,-561,-327,111,3010,9088,13746.0,43683.0,37956.0,51389.0,45289.0
