代號,名稱,成交,漲跌 價,漲跌 幅,法人 買賣 週別,更新 日期,外資 連續 買賣 週數,外資 連續 買賣 張數,外資 連續 買賣 佔 成交 (%),外資 連續 買賣 佔發 行量 (%),投信 連續 買賣 週數,投信 連續 買賣 張數,投信 連續 買賣 佔 成交 (%),投信 連續 買賣 佔發 行量 (%),自營 商 連續 買賣 週數,自營 商 連續 買賣 張數,自營 商 連續 買賣 佔 成交 (%),自營 商 連續 買賣 佔發 行量 (%),三大 法人 連續 買賣 週數,三大 法人 連續 買賣 張數,三大 法人 連續 買賣 佔 成交 (%),三大 法人 連續 買賣 佔發 行量 (%)
00717,富邦美國特別股,14.54,-0.08,-0.55,26W39,09/24,65,32276,61.0,27.4,0,0,0.0,0.0,1,135,17.4,0.11,30,21924,72.3,18.6
00931B,統一美債20年,12.78,-0.19,-1.46,26W39,09/24,36,342580,45.6,15.3,0,0,0.0,0.0,-1,-563,-6.07,-0.03,6,12782,17.0,0.57
00900,富邦特選高股息30,19.53,-0.05,-0.26,26W39,09/24,25,276314,24.6,18.3,0,0,0.0,0.0,25,416244,37.1,27.6,25,711057,63.3,47.1
00898,國泰基因免疫革命,11.49,-0.27,-2.3,26W39,09/24,18,41422,41.9,38.7,0,0,0.0,0.0,7,9705,19.4,9.07,33,74269,52.9,69.4
3206,志豐,34.6,-0.35,-1.0,26W39,09/24,13,584,15.2,0.99,0,0,0.0,0.0,-1,-1,-0.4,0.0,13,585,15.2,0.99
00997A,主動群益美國增長,11.7,0.1,0.86,26W39,09/24,12,87949,11.6,7.98,0,0,0.0,0.0,8,61539,18.2,5.58,10,101322,21.5,9.2
00955,中信日本商社,16.08,-0.29,-1.77,26W39,09/24,11,21573,8.04,4.47,0,0,0.0,0.0,1,974,13.1,0.2,11,106678,39.8,22.1
2534,宏盛,16.7,-0.25,-1.47,26W39,09/24,11,5462,27.5,1.15,0,0,0.0,0.0,2,49,2.01,0.01,3,573,17.5,0.12
3034,聯詠,543.0,-2.0,-0.37,26W39,09/24,11,47928,21.4,7.88,-1,-170,-1.29,-0.03,2,479,1.58,0.08,21,76786,13.9,12.6
3232,昱捷,21.1,-0.1,-0.47,26W39,09/24,11,135,5.86,0.29,0,0,0.0,0.0,0,0,0.0,0.0,11,136,5.9,0.29
6224,聚鼎,82.2,0.0,0.0,26W39,09/24,11,4360,6.01,5.09,0,0,0.0,0.0,-1,-235,-3.61,-0.27,11,4536,6.25,5.3
6441,廣錠,24.9,0.4,1.63,26W39,09/24,11,465,3.81,0.87,0,0,0.0,0.0,1,0,0.03,0.0,11,468,3.84,0.88
6596,寬宏藝術,96.8,-0.2,-0.21,26W39,09/24,11,859,13.7,2.26,0,0,0.0,0.0,9,13,0.27,0.03,11,871,13.9,2.29
00400A,主動國泰動能高息,15.66,0.09,0.58,26W39,09/24,10,180627,8.88,9.6,0,0,0.0,0.0,1,20671,14.9,1.1,1,59300,42.6,3.15
