排名,代號,名稱,成交,漲跌 價,漲跌 幅,法人 買賣 日期,當日 賣出 佔 成交,2日 賣出 佔 成交,3日 賣出 佔 成交,5日 賣出 佔 成交,10日 賣出 佔 成交,1個月 賣出 佔 成交,3個月 賣出 佔 成交,半年 賣出 佔 成交,1年 賣出 佔 成交,3年 賣出 佔 成交,10年 賣出 佔 成交,今年 賣出 佔 成交
1,6223,旺矽,5415.0,-205.0,-3.65,09/24,14.7,13.6,28.8,24.5,16.1,14.6,9.22,6.23,5.9,3.66,2.28,6.28
2,2383,台光電,5050.0,30.0,0.6,09/24,17.7,11.0,17.7,21.0,16.2,12.5,6.23,4.74,3.97,5.29,4.25,4.38
3,6669,緯穎,2115.0,10.0,0.48,09/24,15.4,21.3,20.8,20.2,12.4,10.9,8.05,5.68,4.98,3.89,,5.81
4,6442,光聖,1530.0,15.0,0.99,09/24,20.0,22.3,22.6,19.5,9.93,3.98,2.72,3.88,2.49,1.05,0.84,3.29
5,9802,鈺齊-KY,63.7,-0.5,-0.78,09/24,11.4,14.6,18.9,18.9,10.1,4.32,4.32,2.93,1.21,0.37,0.11,2.55
6,6515,穎崴,5850.0,-145.0,-2.42,09/24,8.09,5.73,15.0,18.9,16.6,9.69,15.2,13.5,7.65,5.53,,9.99
7,4749,新應材,728.0,2.0,0.28,09/24,1.52,19.5,22.5,17.8,11.3,4.32,2.67,2.52,2.3,,,2.4
8,3227,原相,183.5,-2.0,-1.08,09/24,22.0,20.1,17.2,17.7,14.6,10.3,4.7,3.21,2.91,2.22,1.66,3.19
9,2886,兆豐金,49.6,-0.4,-0.8,09/24,0.71,12.7,18.8,17.0,8.12,5.96,3.13,3.03,3.94,6.24,3.61,3.1
10,3661,世芯-KY,3770.0,10.0,0.27,09/24,2.82,1.23,0.55,16.7,9.67,5.66,3.36,2.86,2.87,2.25,1.67,2.78
11,6535,順藥,80.5,-1.8,-2.19,09/24,17.1,12.8,16.4,16.5,19.3,8.1,10.5,6.39,2.67,0.74,0.27,4.67
12,9941,裕融,79.2,-0.5,-0.63,09/24,30.1,22.2,20.4,15.9,7.45,3.69,1.97,1.72,0.97,0.4,0.18,2.21
13,8210,勤誠,897.0,5.0,0.56,09/24,3.61,13.9,8.75,15.9,12.4,10.8,10.3,6.54,2.78,0.66,0.37,4.44
14,3706,神達,78.5,-0.1,-0.13,09/24,23.2,26.1,23.9,15.8,7.87,2.55,0.73,0.33,0.69,0.83,0.93,0.33
15,2345,智邦,1895.0,5.0,0.26,09/24,18.7,15.2,11.2,15.0,15.1,13.4,7.64,5.15,4.09,4.31,3.74,4.54
16,006201,元大富櫃50,46.17,-0.11,-0.24,09/24,0.0,0.0,12.8,13.0,7.87,4.1,2.14,2.19,4.25,6.77,11.9,3.46
17,6187,萬潤,1195.0,-10.0,-0.83,09/24,16.4,13.4,14.0,13.0,7.51,4.7,5.02,4.39,2.76,1.76,1.94,3.01
18,3004,豐達科,117.0,-1.0,-0.85,09/24,0.0,0.0,0.0,11.2,16.0,5.84,1.29,0.66,1.42,0.55,0.44,0.49
19,7769,鴻勁,5670.0,-305.0,-5.1,09/24,12.2,12.4,14.0,11.1,8.83,9.36,6.59,6.26,,,,3.95
20,2393,億光,63.4,1.2,1.93,09/24,18.6,20.6,19.1,11.0,6.62,6.49,6.22,4.3,11.4,8.21,3.42,4.63
21,7734,印能科技,2750.0,170.0,6.59,09/24,0.0,7.07,8.81,10.9,16.8,18.6,12.4,6.41,3.82,,,4.2
22,1402,遠東新,28.15,0.25,0.9,09/24,0.04,0.02,0.04,10.9,19.3,13.5,3.47,8.19,8.38,10.6,5.96,8.26
23,5274,信驊,19835.0,-445.0,-2.19,09/24,25.6,25.0,15.0,10.6,6.9,9.12,7.42,6.67,4.48,4.4,4.6,5.37
24,2357,華碩,953.0,-5.0,-0.52,09/24,0.87,2.54,1.97,10.6,6.45,3.12,5.96,5.91,5.5,6.5,3.99,5.62
25,5534,長虹,73.9,-0.4,-0.54,09/24,32.3,38.2,31.1,10.4,10.0,4.24,2.0,1.0,1.37,4.73,3.27,0.8
26,6274,台燿,1495.0,35.0,2.4,09/24,0.63,0.85,0.75,10.3,11.0,13.1,7.13,4.38,3.85,2.84,3.49,5.59
27,2727,王品,232.0,2.0,0.87,09/24,9.31,13.1,14.2,10.2,5.98,8.51,2.04,2.01,2.93,1.49,1.01,1.59
28,4746,台耀,48.05,-0.6,-1.23,09/24,25.7,17.9,14.8,9.8,5.7,4.23,1.46,0.7,0.39,1.79,1.04,0.48
29,4979,華星光,563.0,-27.0,-4.58,09/24,23.1,21.7,18.3,9.68,10.2,6.08,3.03,3.08,1.64,1.15,0.98,2.12
30,2880,華南金,45.75,-0.05,-0.11,09/24,0.95,0.3,1.44,8.78,7.02,6.82,5.53,7.91,6.88,6.07,2.68,7.13
31,2882,國泰金,110.5,-1.0,-0.9,09/24,1.33,0.96,0.89,8.78,5.47,2.82,6.38,13.6,13.9,6.35,3.06,12.7
32,3702,大聯大,117.5,3.5,3.07,09/24,11.3,17.2,15.4,8.63,6.94,4.74,3.82,10.2,11.0,12.9,7.8,9.45
33,3264,欣銓,246.0,-6.0,-2.38,09/24,1.09,15.4,13.4,8.58,6.87,6.15,5.43,5.1,4.24,6.07,4.24,4.42
34,6831,邁科,497.5,-17.5,-3.4,09/24,3.51,10.1,10.4,8.57,7.6,7.64,7.32,3.6,,,,2.79
35,2472,立隆電,218.5,2.0,0.92,09/24,8.52,3.76,2.28,8.33,15.3,12.9,4.49,1.85,1.41,0.98,0.7,1.74
36,6239,力成,287.0,0.5,0.17,09/24,0.04,2.3,7.22,7.85,6.4,3.0,4.0,4.43,5.64,6.33,4.48,4.37
37,2360,致茂,2295.0,-30.0,-1.29,09/24,10.9,11.1,8.96,7.78,5.49,3.77,7.03,6.55,5.13,4.57,3.37,5.65
