本國上櫃證券國際證券辨識號碼一覽表
最近更新日期:2026/08/21
掛牌日以正式公告為準
有價證券代號及名稱	國際證券辨識號碼(ISIN Code)	上市日	市場別	產業別	CFICode	備註
上櫃認購(售)權證
700019　宏捷科統一5C購01	TW25Z7000198	2025/10/01	上櫃		RWSCCA	
700020　佳邦統一5C購01	TW25Z7000206	2025/10/01	上櫃		RWSCCA	
700021　長佳智統一5C購02	TW25Z7000214	2025/10/01	上櫃		RWSCCA	
700022　華星光統一5C購01	TW25Z7000222	2025/10/01	上櫃		RWSCCA	
700023　新應材統一5B購02	TW25Z7000230	2025/10/01	上櫃		RWSCCA	
700024　新應材統一64購02	TW25Z7000248	2025/10/01	上櫃		RWSCCA	
700025　雙鴻統一5B購01	TW25Z7000255	2025/10/01	上櫃		RWSCCA	
700028　雙鴻中信59購01	TW25Z7000289	2025/10/01	上櫃		RWSCCE	
700043　新應材永豐59購01	TW25Z7000438	2025/10/01	上櫃		RWSCCA	
700047　宏捷科凱基59購01	TW25Z7000479	2025/10/01	上櫃		RWSCCA	
700065　系統電統一5A購01	TW25Z7000651	2025/10/02	上櫃		RWSCCA	
700074　驊訊元富5A購01	TW25Z7000743	2025/10/02	上櫃		RWSCCA	
700079　華義永豐5A購01	TW25Z7000792	2025/10/02	上櫃		RWSCCA	
700086　博智群益5A購01	TW25Z7000867	2025/10/02	上櫃		RWSCCA	
700103　中光電元大5A購01	TW25Z7001030	2025/10/02	上櫃		RWSCCA	
700113　雙鴻元大5A購01	TW25Z7001139	2025/10/02	上櫃		RWSCCA	
700126　威剛國票61購01	TW25Z7001261	2025/10/03	上櫃		RWSCCA	
700155　中光電元大5A購02	TW25Z7001550	2025/10/03	上櫃		RWSCCA	
700173　雙鴻元大5A購02	TW25Z7001733	2025/10/03	上櫃		RWSCCA	
700176　中光電群益5A購01	TW25Z7001766	2025/10/03	上櫃		RWSCCA	
700185　中光電統一59購04	TW25Z7001857	2025/10/03	上櫃		RWSCCA	
700186　中光電統一6A購01	TW25Z7001865	2025/10/03	上櫃		RWSCCA	
700188　中美晶統一5A購02	TW25Z7001881	2025/10/03	上櫃		RWSCCA	
700189　協易機統一5A購01	TW25Z7001899	2025/10/03	上櫃		RWSCCA	
700190　昇達科統一65購01	TW25Z7001907	2025/10/03	上櫃		RWSCCA	
700191　朋程統一5A購01	TW25Z7001915	2025/10/03	上櫃		RWSCCA	
700192　朋程統一6A購01	TW25Z7001923	2025/10/03	上櫃		RWSCCA	
700193　東洋統一61購01	TW25Z7001931	2025/10/03	上櫃		RWSCCA	
700194　長聖統一61購01	TW25Z7001949	2025/10/03	上櫃		RWSCCA	
700195　家登統一5A購01	TW25Z7001956	2025/10/03	上櫃		RWSCCA	
700196　振曜統一5A購01	TW25Z7001964	2025/10/03	上櫃		RWSCCA	
700197　晶宏統一5A購01	TW25Z7001972	2025/10/03	上櫃		RWSCCA	
700198　智冠統一5C購01	TW25Z7001980	2025/10/03	上櫃		RWSCCA	
700199　華景電統一61購01	TW25Z7001998	2025/10/03	上櫃		RWSCCA	
700201　萬潤統一6A購01	TW25Z7002012	2025/10/03	上櫃		RWSCCA	
700202　鈺太統一5A購01	TW25Z7002020	2025/10/03	上櫃		RWSCCA	
700203　聰泰統一5A購01	TW25Z7002038	2025/10/03	上櫃		RWSCCA	
700204　雙鴻統一5A購01	TW25Z7002046	2025/10/03	上櫃		RWSCCA	
700205　雙鴻統一61購01	TW25Z7002053	2025/10/03	上櫃		RWSCCA	
700206　雙鴻統一61購02	TW25Z7002061	2025/10/03	上櫃		RWSCCA	
700207　雙鴻統一6A購01	TW25Z7002079	2025/10/03	上櫃		RWSCCA	
700208　騰雲統一6A購01	TW25Z7002087	2025/10/03	上櫃		RWSCCA	
700228　系微元大59購02	TW25Z7002285	2025/10/07	上櫃		RWSCCA	
700231　旺矽元大5A購01	TW25Z7002319	2025/10/07	上櫃		RWSCCA	
700243　萬潤元大59購01	TW25Z7002434	2025/10/07	上櫃		RWSCCA	
700257　大世科統一6A購01	TW25Z7002574	2025/10/07	上櫃		RWSCCA	
700258　大綜統一6A購01	TW25Z7002582	2025/10/07	上櫃		RWSCCA	
700259　光焱統一5A購02	TW25Z7002590	2025/10/07	上櫃		RWSCCA	
700260　同致統一5A購01	TW25Z7002608	2025/10/07	上櫃		RWSCCA	
700261　宜鼎統一6A購01	TW25Z7002616	2025/10/07	上櫃		RWSCCA	
700262　尚凡*統一6A購01	TW25Z7002624	2025/10/07	上櫃		RWSCCA	
700263　旺矽統一6A購01	TW25Z7002632	2025/10/07	上櫃		RWSCCA	
700264　長聖統一6A購01	TW25Z7002640	2025/10/07	上櫃		RWSCCA	
700267　建榮統一6A購01	TW25Z7002673	2025/10/07	上櫃		RWSCCA	
700269　昱展統一6A購01	TW25Z7002699	2025/10/07	上櫃		RWSCCA	
700270　創惟統一5A購01	TW25Z7002707	2025/10/07	上櫃		RWSCCA	
700271　新鉅科統一6A購01	TW25Z7002715	2025/10/07	上櫃		RWSCCA	
700272　聖暉*統一59購01	TW25Z7002723	2025/10/07	上櫃		RWSCCA	
700273　優群統一6A購01	TW25Z7002731	2025/10/07	上櫃		RWSCCA	
700274　鴻呈統一5A購01	TW25Z7002749	2025/10/07	上櫃		RWSCCA	
700275　雙鴻統一6A購02	TW25Z7002756	2025/10/07	上櫃		RWSCCA	
700276　鏵友益統一6A購01	TW25Z7002764	2025/10/07	上櫃		RWSCCA	
700277　鑫聯統一5A購01	TW25Z7002772	2025/10/07	上櫃		RWSCCA	
700279　良維國票5C購01	TW25Z7002798	2025/10/07	上櫃		RWSCCA	
700300　雙鴻中信5A購01	TW25Z7003002	2025/10/07	上櫃		RWSCCE	
700330　旺矽凱基5A購01	TW25Z7003309	2025/10/08	上櫃		RWSCCA	
700342　大世科統一6A購02	TW25Z7003424	2025/10/08	上櫃		RWSCCA	
700343　中光電統一6A購02	TW25Z7003432	2025/10/08	上櫃		RWSCCA	
700344　尼克森統一5A購01	TW25Z7003440	2025/10/08	上櫃		RWSCCA	
700345　立碁統一6A購01	TW25Z7003457	2025/10/08	上櫃		RWSCCA	
700346　良維統一6A購01	TW25Z7003465	2025/10/08	上櫃		RWSCCA	
700347　尚凡*統一5A購01	TW25Z7003473	2025/10/08	上櫃		RWSCCA	
700348　昱展統一6A購02	TW25Z7003481	2025/10/08	上櫃		RWSCCA	
700350　茂達統一61購01	TW25Z7003507	2025/10/08	上櫃		RWSCCA	
700351　竑騰統一5A購01	TW25Z7003515	2025/10/08	上櫃		RWSCCA	
700352　新鉅科統一5A購01	TW25Z7003523	2025/10/08	上櫃		RWSCCA	
700353　新鉅科統一6A購02	TW25Z7003531	2025/10/08	上櫃		RWSCCA	
700354　聖暉*統一6A購01	TW25Z7003549	2025/10/08	上櫃		RWSCCA	
700355　撼訊統一6A購01	TW25Z7003556	2025/10/08	上櫃		RWSCCA	
700356　擎亞統一6A購01	TW25Z7003564	2025/10/08	上櫃		RWSCCA	
700357　聰泰統一6A購01	TW25Z7003572	2025/10/08	上櫃		RWSCCA	
700358　寶島科統一64購01	TW25Z7003580	2025/10/08	上櫃		RWSCCA	
700359　鏵友益統一5A購01	TW25Z7003598	2025/10/08	上櫃		RWSCCA	
700360　鑫聯統一5A購02	TW25Z7003606	2025/10/08	上櫃		RWSCCA	
700385　中光電元富5A購01	TW25Z7003853	2025/10/08	上櫃		RWSCCA	
700402　博智凱基59購01	TW25Z7004026	2025/10/09	上櫃		RWSCCA	
700410　中光電統一5C購01	TW25Z7004109	2025/10/09	上櫃		RWSCCA	
700412　旺矽統一6A購02	TW25Z7004125	2025/10/09	上櫃		RWSCCA	
700413　金山電統一5C購01	TW25Z7004133	2025/10/09	上櫃		RWSCCA	
700414　長聖統一6A購02	TW25Z7004141	2025/10/09	上櫃		RWSCCA	
700415　建榮統一6A購02	TW25Z7004158	2025/10/09	上櫃		RWSCCA	
700416　高技統一5A購01	TW25Z7004166	2025/10/09	上櫃		RWSCCA	
700417　聰泰統一6A購02	TW25Z7004174	2025/10/09	上櫃		RWSCCA	
700419　力旺元大59購01	TW25Z7004190	2025/10/09	上櫃		RWSCCA	
700451　臺慶科國票5A購01	TW25Z7004513	2025/10/09	上櫃		RWSCCA	
700469　中光電凱基59購01	TW25Z7004695	2025/10/13	上櫃		RWSCCA	
700482　昇達科元大59購02	TW25Z7004828	2025/10/13	上櫃		RWSCCA	
700522　宜鼎元大59購02	TW25Z7005221	2025/10/14	上櫃		RWSCCA	
700542　雙鴻凱基59購03	TW25Z7005429	2025/10/15	上櫃		RWSCCA	
700571　宜鼎元大59購03	TW25Z7005718	2025/10/15	上櫃		RWSCCA	
700580　宜鼎兆豐5A購01	TW25Z7005809	2025/10/16	上櫃		RWSCCA	
700582　弘塑國票59購01	TW25Z7005825	2025/10/16	上櫃		RWSCCA	
700594　原相元大5A購01	TW25Z7005940	2025/10/16	上櫃		RWSCCA	
700595　華星光元大59購01	TW25Z7005957	2025/10/16	上櫃		RWSCCA	
700607　宜鼎凱基59購01	TW25Z7006070	2025/10/16	上櫃		RWSCCA	
700608　昇達科凱基59購01	TW25Z7006088	2025/10/16	上櫃		RWSCCA	
700638　原相元大5A購02	TW25Z7006385	2025/10/17	上櫃		RWSCCA	
700670　中光電統一6A購03	TW25Z7006708	2025/10/17	上櫃		RWSCCA	
700671　正德統一5A購01	TW25Z7006716	2025/10/17	上櫃		RWSCCA	
700672　旺矽統一5A購01	TW25Z7006724	2025/10/17	上櫃		RWSCCA	
700673　信昌電統一6A購01	TW25Z7006732	2025/10/17	上櫃		RWSCCA	
700674　信昌電統一6A購02	TW25Z7006740	2025/10/17	上櫃		RWSCCA	
700675　高技統一5A購02	TW25Z7006757	2025/10/17	上櫃		RWSCCA	
700676　高技統一6A購01	TW25Z7006765	2025/10/17	上櫃		RWSCCA	
700677　高技統一6A購02	TW25Z7006773	2025/10/17	上櫃		RWSCCA	
700678　智通*統一6A購01	TW25Z7006781	2025/10/17	上櫃		RWSCCA	
700679　智擎統一6A購01	TW25Z7006799	2025/10/17	上櫃		RWSCCA	
700681　鈊象統一6A購01	TW25Z7006815	2025/10/17	上櫃		RWSCCA	
700682　萬潤統一6A購02	TW25Z7006823	2025/10/17	上櫃		RWSCCA	
700683　雍智統一6A購01	TW25Z7006831	2025/10/17	上櫃		RWSCCA	
700684　雍智統一6A購02	TW25Z7006849	2025/10/17	上櫃		RWSCCA	
700685　臺慶科統一5A購01	TW25Z7006856	2025/10/17	上櫃		RWSCCA	
700686　臺慶科統一6A購01	TW25Z7006864	2025/10/17	上櫃		RWSCCA	
700687　緯軟統一6A購01	TW25Z7006872	2025/10/17	上櫃		RWSCCA	
700688　營邦統一6A購01	TW25Z7006880	2025/10/17	上櫃		RWSCCA	
700689　聯合統一61購01	TW25Z7006898	2025/10/17	上櫃		RWSCCA	
700706　中光電統一5A購01	TW25Z7007060	2025/10/20	上櫃		RWSCCA	
700708　信立統一6A購01	TW25Z7007086	2025/10/20	上櫃		RWSCCA	
700709　神盾統一5C購02	TW25Z7007094	2025/10/20	上櫃		RWSCCA	
700710　智通*統一6A購02	TW25Z7007102	2025/10/20	上櫃		RWSCCA	
700711　華星光統一6A購01	TW25Z7007110	2025/10/20	上櫃		RWSCCA	
700712　聖暉*統一6A購02	TW25Z7007128	2025/10/20	上櫃		RWSCCA	
700717　宜鼎元大5A購01	TW25Z7007177	2025/10/20	上櫃		RWSCCA	
700737　鴻呈國票59購01	TW25Z7007375	2025/10/20	上櫃		RWSCCA	
700742　聖暉*永豐5A購01	TW25Z7007425	2025/10/20	上櫃		RWSCCA	
700746　雙鴻中信5A購02	TW25Z7007466	2025/10/20	上櫃		RWSCCE	
700754　台半統一5C購02	TW25Z7007540	2025/10/21	上櫃		RWSCCA	
700755　宜鼎統一6A購02	TW25Z7007557	2025/10/21	上櫃		RWSCCA	
700756　威剛統一5C購03	TW25Z7007565	2025/10/21	上櫃		RWSCCA	
700757　竑騰統一5C購01	TW25Z7007573	2025/10/21	上櫃		RWSCCA	
700758　穩得統一5C購01	TW25Z7007581	2025/10/21	上櫃		RWSCCA	
700786　威剛永豐5A購01	TW25Z7007862	2025/10/21	上櫃		RWSCCA	
700810　山富統一5C購01	TW25Z7008100	2025/10/22	上櫃		RWSCCA	
700811　光頡統一5C購01	TW25Z7008118	2025/10/22	上櫃		RWSCCA	
700812　信昌電統一5C購01	TW25Z7008126	2025/10/22	上櫃		RWSCCA	
700827　信立永豐5A購01	TW25Z7008274	2025/10/22	上櫃		RWSCCA	
700828　威剛永豐64購01	TW25Z7008282	2025/10/22	上櫃		RWSCCA	
700830　中美晶元大5A購01	TW25Z7008308	2025/10/22	上櫃		RWSCCA	
700843　世界統一5C購01	TW25Z7008431	2025/10/23	上櫃		RWSCCA	
700844　立敦統一5C購01	TW25Z7008449	2025/10/23	上櫃		RWSCCA	
700845　臺慶科統一5C購01	TW25Z7008456	2025/10/23	上櫃		RWSCCA	
700850　臺慶科國票5C購01	TW25Z7008506	2025/10/23	上櫃		RWSCCA	
700857　良維元大5A購01	TW25Z7008571	2025/10/23	上櫃		RWSCCA	
700875　良維元大5A購02	TW25Z7008753	2025/10/27	上櫃		RWSCCA	
700898　力旺統一5A購01	TW25Z7008985	2025/10/27	上櫃		RWSCCA	
